Uniprot,iBAQ A549_1,iBAQ A549_2,iBAQ A549_3,iBAQ GAMG_1,iBAQ GAMG_2,iBAQ GAMG_3,iBAQ HEK293_1,iBAQ HEK293_2,iBAQ HEK293_3,iBAQ HeLa_1,iBAQ HeLa_2,iBAQ HeLa_3,iBAQ HepG2_1,iBAQ HepG2_2,iBAQ HepG2_3,iBAQ Jurkat_1,iBAQ Jurkat_2,iBAQ Jurkat_3,iBAQ K562_1,iBAQ K562_2,iBAQ K562_3,iBAQ LnCap_1,iBAQ LnCap_2,iBAQ LnCap_3,iBAQ MCF7_1,iBAQ MCF7_2,iBAQ MCF7_3,iBAQ RKO_1,iBAQ RKO_2,iBAQ RKO_3,iBAQ U2OS_1,iBAQ U2OS_2,iBAQ U2OS_3
A0AUX1;A8K9X9;B4E0M8;Q06730;Q06732;Q3B799;B4E2J7,NaN,NaN,NaN,NaN,NaN,NaN,4.386356,NaN,4.438115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.006081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AV37;B4DR79;Q99959-2;Q99959;Q99959-1;B8QFA1;B8QGS6;B8QGS7;B8QGS9,3.416408,5.053232,3.922087,5.953547,6.288428,6.013974,4.590418,6.37271,5.999205,5.18418,5.171522,5.63753,6.006038,4.710583,5.423508,NaN,NaN,NaN,4.339769,NaN,4.438653,4.689841,5.474551,4.861696,5.695534,6.212401,5.707136,NaN,NaN,NaN,4.794746,5.290769,5.87751
A0AV56;A8K329;B7Z1C7;B7Z2F6;B7Z5X3;B7ZLP6;Q15424;B7Z959;B7ZLP5;Q68DW3;B7Z2Z1;B7Z5B6,6.655033,6.898917,6.838106,6.553883,7.101678,6.869648,7.15664,7.808116,7.339272,7.174118,6.891627,7.323046,6.807156,6.102434,6.67109,6.676922,6.006381,7.184663,7.223262,6.582813,5.232285,6.829298,7.311754,7.287578,6.779012,7.18935,6.88437,6.787807,6.496888,5.155154,6.911552,7.028002,7.448629
A0AV96-1;A0AV96;B7Z8Z7;B7ZLP7;A0AV96-2,5.964561,6.431717,6.154485,4.499714,NaN,5.48636,NaN,NaN,5.287533,5.808609,4.875409,6.047431,4.85665,4.029384,5.079796,NaN,NaN,NaN,NaN,NaN,NaN,6.564737,6.878039,6.809513,6.037267,5.797163,5.873756,NaN,NaN,NaN,NaN,NaN,NaN
A0AVF1;C9J2N7;B7Z5M0;B7Z1H0;B7Z6R6;B7Z2T3,4.444139,5.03274,4.468746,4.685975,4.738725,5.130848,5.533556,6.262309,5.671284,NaN,3.479705,4.700219,NaN,NaN,NaN,NaN,NaN,4.486954,3.948633,NaN,3.398877,5.417388,5.873262,5.741569,4.92343,5.173011,5.361199,4.43369,NaN,4.677589,3.950277,4.920478,5.501142
A0AVI4-1;A0AVI4;B4E1K4;A0AVI4-2,NaN,NaN,3.874412,NaN,4.53599,5.308415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AVK6;B5MEH2,NaN,NaN,5.132772,NaN,NaN,NaN,NaN,NaN,3.576756,NaN,NaN,NaN,NaN,NaN,NaN,4.01102,NaN,4.612975,4.216852,NaN,3.218535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AVT1-1;A0AVT1;B3KSS1;A0AVT1-2,6.274758,6.476498,5.796595,6.427989,6.875744,6.211921,6.346529,6.810273,6.598681,6.262285,5.891521,5.820398,6.63729,6.340821,6.406319,6.6798,5.966634,6.7136,6.911317,6.092089,5.948897,6.5217,7.016156,6.843364,6.44632,6.836425,6.789002,7.075875,6.434409,6.12274,6.654975,7.061603,7.468687
A0EJG6;B3KXQ5;Q14194;B3KT07;B3KV96;Q4W5F1;Q96I11,NaN,4.442809,NaN,NaN,4.958893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.681756,NaN,NaN,NaN,NaN,6.064196,6.43543,7.070666
A0JI59;A0S2J8;A0S330;A0S3I6;A0S4I7;A0S4R5;A0S9T8;A0SAT9;A0SB69;A0SBS7;A0SBW6;A0SC83;A0SCE8;A0SCZ3;A1DUW3;A1DV02;A1E1L5;A1E221;A4GWW9;A4ZYF4;A6YTJ2;A6YV64;A6YVI1;A6YVN3;A6YW38;A6YWC7;A6YWG6;A6YWY5;A6YY11;A6YY37;A6YYH9;A6YYU6;A6YZ50;A6YZL9;A6Z025;A6Z0Q9;A6Z0Y7;A6Z1U8;A6Z2P7;A6Z2W2;A6Z2Y8;A6Z4Y8;A6Z6A5;A6Z8I4;A6Z903;A6Z9H2;A6Z9Z1;A6ZA95;A6ZAN7;A6ZB95;A6ZC44;A6ZCE8;A6ZDE8;A6ZDK0;A6ZEQ1;A6ZF82;A6ZFI6;A6ZFL2;A6ZFQ1;A6ZGR2;A6ZGZ0;A6ZH67;A6ZH80;A6ZHB8;A6ZHE2;A6ZHG7;A6ZHY2;A6ZI08;A7LPC5;A8JL43;A8JLE7;A8JMK3;A8JN36;A9QXT2;A9UJA1;B0FZC1;B2CB20;B2CB33;B2CB59;B2D3N5;B2D597;B2D5J6;B2D647;B2XF03;B2XGQ9;B2XGU8;B2XGY7;B2XH13;B2XHJ4;B2XHT5;B2XI26;B2XI38;B2XJP6;B2XKA3;B2XKB6;B2XKE2;B2XLB7;B2XLJ5;B2XMA4;B2XMD0;B2XMS3;B2XN13;B2XNG6;B2XPV8;B2XQ22;B2XQU2;B2Z4H6;B2Z573;B2ZUL3;B2ZUZ4;B3GTF4;B4YC62;B4YD74;B4YDT0;B5B695;B5LMK0;B5M7J0;B5M7X0;B7TNT0;B7TNY2;B7ZIW0;B7ZJ12;B8R3C3;B8X480;B9EFL3;C1IF78;C7AB29;C7B2P7;C7B2W2;C7B379;C7B3D1;C7B3R1;C7B3Y8;C7SDW7;Q06T85;Q06TD7;Q06TG3;Q06TR7;Q06TW9;Q06U73;Q06UL6;Q0Z7C9;Q0Z7E2;Q0Z7F5;Q0Z7G8;Q0Z7I1;Q0Z7J4;Q0ZDA1;Q0ZFD6;Q0ZK09;Q0ZK87;Q150D3;Q150I3;Q150N3;Q150T3;Q151G4;Q15IN4;Q2LHI0;Q2LHQ8;Q2XV08;Q305A9;Q305I7;Q305N9;Q306D2;Q4EWE8;Q4EWG1;Q4EWK0;Q4EWL3;Q4EX71;Q4EXD6;Q4EY59;Q4EYI9;Q4EYM8;Q4EZ08;Q4EZ60;Q4EZ86;Q4EZ99;Q4EZC5;Q4F061;Q4F0B3;Q4F0F2;Q4F0J1;Q4F1H9;Q4F1P4;Q4F1U6;Q4F224;Q4F250;Q4F2G7;Q4F2K6;Q4F2U7;Q4F2Y6;Q4F2Z9;Q4F325;Q4F3A3;Q4F3E2;Q4F4A4;Q4F4E3;Q4F4I2;Q4F4P7;Q4F553;Q4F5R1;Q4F5S4;Q4F5Y9;Q50HP6;Q5GNC2;Q5MBF0;Q5S8P3;Q5S8Q6;Q5S8X1;Q5S9P4;Q5SA37;Q5SA63;Q5SAF4;Q5SAK6;Q5SAW0;Q5SB90;Q6PZ07;Q6R112;Q6R701;Q6RKX1;Q6RKY0;Q6RL09;Q6RLD5;Q6RLQ6;Q6RM70;Q6RN86;Q6RNC6;Q6RNH7;Q6RNW0;Q6RQ92;Q6RQJ1;Q6RQR4;Q6RQZ5;Q6RR49;Q6RRC2;Q6WQ82;Q6XB16;Q6XB24;Q6XB34;Q6XB68;Q7GXV8;Q7HZN7;Q7Y757;Q7Y784;Q7Y7L1;Q7Y7L3;Q7YCC2;Q7YCC5;Q7YCC9;Q7YCE1;Q7YCE7;Q7YCF5;Q7YCF9;Q7YCG2;Q7YCG3;Q7YCG5;Q7YCH0;Q7YCH2;Q7YED9;Q7YEE2;Q7YEF6;Q7YEF8;Q7YEG2;Q7YEH0;Q7YEH1;Q85BA9;Q85BE0;Q85KS7;Q85KT0;Q85KU0;Q85KU6;Q85KW3;Q85KW7;Q85KX0;Q85KX2;Q85KX6;Q85KY0;Q85KY2;Q85L03;Q85PI3;Q8SF05;Q9G345;Q9MJW3;Q9TES2;P00156;A1DT08;A1DT60;A1DT73;A1DT86;A1DTD8;A1DTL6;A1Z412;A1Z4B6;A1Z552;A1Z565;A1Z5D0;A4UVG7;A4UVJ5;A4ZKW0;A4ZKZ9;A4ZL12;A4ZL38;A4ZLB6;A4ZLC9;A4ZLE2;A4ZLF5;A4ZLG8;A4ZLI1;A4ZLM0;A4ZLP6;A4ZMC6;A4ZMX1;A4ZMZ7;A7IZ65;A7LDE8;A7LEI8;A7XSF7;A7XSL3;A7XT66;A7XT95;A7XTP7;A7XTV3;A7XTX6;A7XU66;A7Y9X0;A7YA93;A8DIL7;A8QJP7;B0EW43;B1W6T3;B1W913;B1W926;B1W9N4;B1WA27;B2KLF7;B2KLH0;B2KLH3;B2KLR1;B2KLW3;B2Y8L2;B2Y8N8;B2YAP0;B2ZW21;B3DDK9;B3DEV1;B4YGJ6;B4YH93;B5B0I2;B5U6B0;B6RGH2;B7TCQ9;B7U870;B8RF24;B8RFE1;B8RFN2;B8RFZ9;B8X4L0;B8X617;B8X669;B8X6H3;B8XZC7;B8YQL0;B9ECT8;B9ECW4;B9ED81;B9EDR3;B9EE04;B9EEA8;B9EF31;B9EFR5;B9EFS8;B9EFW7;C1KR23;C3W5D6;C3W5M2;C4PK48;C4PKA1;C4PKX8;C4RT29;C7FH94;C7SJS6;C7SJV2;C7SK69;C7SK95;C7SL96;C8XV35;C8XV61;C8XX76;C8Y092;C8Y0Y9;C8Y747;C8YAU7;C8YC39;C8YCJ5;C8YCN4;C8YCX5;C8YG56;C8YGU0;C8YID6;C9D4X8;C9D543;C9D5U0;C9D670;C9D6A9;D0UTS9;D0UTU3;Q0ZF97;Q0ZFL4;Q15H01;Q15H14;Q15H53;Q15HD1;Q15HJ6;Q15HK9;Q1ADG7;Q1ADI0;Q2HJZ5;Q2HK97;Q2HKD8;Q2HLC6;Q3S981;Q3S994;Q4G7D5;Q4G8P0;Q4G985;Q4G998;Q4G9L5;Q4G9P1;Q4GA99;Q4GAQ5;Q4GB09;Q4GB22;Q4GBH8;Q4GBL7;Q4GCS0;Q4GDB5;Q4GDF4;Q4GDL9;Q4GE64;Q4GEA3;Q4GEU8;Q4GFM1;Q4GG92;Q4GGB8;Q4GGJ6;Q4GGY9;Q4GHR2;Q4GHW4;Q4GIF9;Q4GJM5;Q4GJV3;Q4GK96;Q4GLU2;Q4GM46;Q4GMZ5;Q4GN21;Q4GN34;Q4GNK3;Q4GP48;Q4GPT2;Q4GQE0;Q4GQN1;Q4GQQ7;Q4GRF4;Q4GS38;Q4GS64;Q4GTI2;Q4GU53;Q4GUR1;Q4GUY9;Q4VFA8;Q4VFD5;Q4VFF9;Q4VFL3;Q4VFQ0;Q4ZEA0;Q4ZEQ6;Q4ZEU5;Q4ZF49;Q4ZF88;Q4ZFC7;Q5XRU6;Q5XRY5;Q5XSB5;Q5XSG7;Q5XT25;Q5XT51;Q5XTB6;Q5XTE2;Q5XTI1;Q6VHA3;Q6VHB3;Q6VHF3;Q6VHH3;Q6VHJ3;Q6VHS6;Q6VI47;Q6VI95;Q6VIA4;Q6VIH9;Q6VIL5;Q6VIN3;Q6VIV3;Q6VJ80;Q6VJC0;Q6VK00;Q6VKB6;Q6VLV1,6.602581,6.9776,NaN,6.323706,7.157124,5.571044,5.527565,6.119388,5.921853,6.551194,6.321288,5.417123,6.70705,6.523539,6.47884,6.397488,5.300182,NaN,5.806105,NaN,4.887207,6.429429,7.316494,7.29979,6.505068,6.851075,7.020113,6.681042,5.731613,5.086609,5.204391,6.626022,6.998551
