gene,abundance
b3987,3028.4153625901
b0114,4937.6427611834
b0118,4637.2380780967
b4143,14847.8319820053
b0014,10485.7019334771
b3774,15922.1972435762
b3544,6461.3325700314
b3988,713.0396591993
b3829,14994.3984331717
b0033,2219.4033119471
b1241,3406.939331165
b0911,16452.2360248195
b3340,16692.5977060955
b2697,1869.6786806622
b2416,5478.0648670797
b3732,12168.8788304262
b1243,7261.6967633827
b2530,7653.1979096341
b1136,17773.3435480047
b0436,10564.0167315258
b0115,4396.1397107121
b3339,58506.1093517825
b3559,1843.7236792992
b3164,4268.8939516798
b0903,2343.5664126482
b0473,2262.1108228143
b3734,10440.3315814661
b3172,6787.9850350955
b3926,740.6834970586
b2551,18107.7985695864
b0726,1252.8567423934
b0194,3338.3762290216
b2926,17198.7420896976
b1415,2311.6269147077
b1761,8123.5411871452
b3213,4515.0115185277
b2779,17936.9697926371
b3870,14058.3249583855
b2029,10172.4128877622
b0177,1526.0633703688
b1779,27519.9259554923
b1676,5794.0640136007
b4177,6543.6389602238
b4015,15278.9601759513
b0723,2049.6082347858
b2150,1710.7594703315
b3426,156.7570364265
b4006,3103.5716386443
b0074,2654.7224367184
b0170,12668.1783884463
b1866,1563.3702543615
b2935,3319.2176577484
b2942,8936.8428296264
b0095,4101.2221603264
b1612,1268.9007522211
b3783,2960.4704972391
b3942,1095.4074171015
b1830,796.3649734031
b3612,2880.650724551
b0680,1466.0047389434
b1713,2273.2992564377
b3403,1835.3269445456
b3871,2441.4244171179
b2976,618.4840807433
b3236,20054.160135899
b2463,512.4776334084
b0116,8117.3552980422
b1084,915.6859139744
b1702,830.5387455847
b0655,3514.4431379788
b0439,880.985261745
b2763,1962.4258393884
b4391,2027.995950013
b0053,2300.206320212
b4034,824.7209496322
b3169,2507.4754173038
b0928,4188.3804482916
b3956,646.9477193044
b3458,3670.2738610139
b3453,1049.254586017
b2425,3017.060643042
b2764,3236.6781291687
b0004,6394.4065589908
b2400,2047.9865427317
b4245,13270.3451638087
b0893,2259.7670903761
b2323,12178.7591906794
b2925,14634.71771291
b0720,3805.221136577
b3699,922.3641324329
b2557,393.592989121
b1479,1063.1394135613
b1048,1856.4847953502
b0688,1302.9391002198
b3671,1922.3879102685
b4213,305.5796376632
b3212,431.7645173157
b2780,1492.8877345986
b3984,10424.3484442593
b3295,9179.863945619
b3708,291.1603373297
b0008,8334.2621574173
b2297,1235.3944677559
b2414,28505.2322064527
b0811,4459.8033855413
b1002,851.1515544318
b0907,8827.2846029356
b3308,16322.9185906456
b2890,1955.8990823086
b3433,14132.670827763
b3460,22264.4500692286
b1440,541.6781937444
b3863,411.7215026995
b2507,2005.3412007552
b2133,565.4278497849
b2296,3047.9095136965
b0438,2258.5107211737
b2533,1846.3737118092
b1920,2893.0615682936
b0161,2586.5626657596
b4019,307.1193102597
b2283,397.6972692989
b0574,2141.0538259291
b1062,4087.7987024317
b3931,1485.4538436091
b2498,11594.1580090388
b1719,534.0769433698
b3733,2988.3305754392
b2095,1027.5070369701
b0098,422.7585946897
b3359,4328.9595011486
b1276,219.8291994044
b3962,645.5171477934
b1286,1099.5252043052
b2465,999.2167844926
b0763,1523.3623583271
b0724,1586.1000385198
b2310,3517.8335562792
b4058,33.956456298
b4383,1863.0740315756
b1261,3944.7427498445
b0882,629.1483098411
b3941,3725.371043924
b4235,1059.7080081637
b2096,4024.1755243484
b3464,1219.262728083
b1197,324.7657628526
b0237,2971.2541960939
