gene,abundance
b3987,2568.3550797806001
b0114,4575.1665087684005
b0118,3835.5197489190004
b4143,14647.162785280601
b0014,9584.298133501401
b3774,13704.126283361298
b3544,6431.2432513382992
b3988,537.93516038230007
b3829,9772.8065515202998
b0033,1547.4461524149999
b1241,2892.0783460491998
b0911,13113.1842267475
b3340,15133.6534909777
b2697,1684.9261105445999
b2416,4775.1841831881002
b3732,10544.284351693499
b1243,6581.0696963308992
b2530,6698.2746020277
b1136,16276.1019814636
b0436,9353.5369683018998
b0115,4305.1544375052999
b3339,52168.386560189407
b3559,1730.3212288875
b3164,3762.2876481615999
b0903,2218.8938373806
b0473,2065.4845286857999
b3734,9086.7161548487002
b3172,5727.5530454715999
b3926,615.02221052200002
b2551,14698.2758680682
b0726,980.77949162570008
b0194,2980.3626335142999
b2926,15476.889540317901
b1415,1879.9799849142
b1761,6229.5077146649
b3213,3866.4276358990001
b2779,16123.986026075199
b3870,9786.6227062061007
b2029,8896.5770315067002
b0177,1510.6058027910999
b1779,24089.989485979801
b1676,5124.0883478851001
b4177,5407.8188871386001
b4015,12902.3058654777
b0723,1587.0447818217001
b2150,1481.3189554004998
b3426,157.3650948451
b4006,2466.2413514282998
b0074,2543.8791687926
b0170,10503.6779175062
b1866,1418.2519107822
b2935,2753.8941966082002
b2942,7930.8425753038
b0095,3752.6337412528997
b1612,1117.6528151407999
b3783,2548.6977466554999
b3942,1067.5277588894999
b1830,759.72034166560002
b3612,2597.6932642032998
b0680,1245.4230517192
b1713,1862.6420312898999
b3403,1689.1365807085001
b3871,2100.1186307998
b2976,517.68793782290004
b3236,19205.393815592801
b2463,410.12403810469999
b0116,7314.4241806455002
b1084,840.11828841009992
b1702,736.64477397270002
b0655,3139.4031581207
b0439,779.82663326149998
b2763,1748.3893016472
b4391,1706.4440875669
b0053,2118.7583802401
b4034,707.08106904869999
b3169,2205.4834525969
b0928,3755.2436556643001
b3956,504.71545998050004
b3458,3216.7397267846004
b3453,775.65097715729996
b2425,2949.3167426484997
b2764,2651.4525418549001
b0004,6017.6635358059993
b2400,1602.9903875883999
b4245,10995.254332344399
b0893,2005.2592776789002
b2323,10777.151607641301
b2925,12446.0267872159
b0720,3003.2972988806
b3699,765.8039061403
b2557,307.25236861650001
b1479,834.48295437619993
b1048,1708.0135411493
b0688,1129.7272187839999
b3671,1791.7640228301002
b4213,296.11881550589999
b3212,295.89061532709997
b2780,1135.9465446982001
b3984,9033.5735553374998
b3295,8004.2317821213001
b3708,281.46573355599998
b0008,7533.4668846660998
b2297,1106.0463286624999
b2414,25669.694040543302
b0811,4228.1513583041997
b1002,713.18754737429992
b0907,8228.3838203357991
b3308,13968.450690316202
b2890,1758.0866167735001
b3433,12692.249032527399
b3460,20727.673834868499
b1440,431.67875820019998
b3863,387.68471098550003
b2507,1586.7806284004
b2133,550.7568317194
b2296,2859.7805320734001
b0438,2176.4443095603001
b2533,1545.6483348028
b1920,2572.0880802162001
b0161,2288.4609383334
b4019,261.10793714819999
b2283,315.19073779090002
b0574,2044.6639753869001
b1062,2960.3440497426
b3931,1375.7140884232001
b2498,9151.5897213568005
b1719,401.55872456430001
b3733,2728.5829534679001
b2095,737.43809029660008
b0098,352.06098269669997
b3359,3395.1264496458002
b1276,168.54987132540001
b3962,537.86295404500004
b1286,917.44849148660001
b2465,946.2241231224001
b0763,1250.3738489858001
b0724,1283.8064941021
b2310,2841.3562383520002
b4058,43.540094633900004
b4383,1668.2460566298998
b1261,3265.7630291343999
b0882,545.69995829029995
b3941,2882.4840986233003
b4235,1019.6747887332001
b2096,3134.0938449940995
b3464,1112.3490030783
b1197,291.45770693089997
b0237,2648.1050626819001
b4069,98.648303216200006
b3176,1153.2008831326
b0325,2415.4878305886
b1487,131.915915426
b4200,15254.378750968701
b1714,2928.7834059082002
b0072,2623.7095144659002
b2476,5341.5642563508
b0728,3384.2586871873
b3919,8336.205280563101
b0930,2466.1099242171999
b3162,441.97703721980002
b1852,825.32757229699996
b1876,632.7482914766
b1854,1576.3632544926002
b3256,1476.1586167969001
b0073,5190.5276756693002
b0863,2577.2319608957
b2132,283.01489529740002
b0606,1389.986278369
b3553,2874.1615535359001
b1678,472.8367320246
b0026,284.29391956199999
b0839,1173.6262012147999
b0032,6178.953934608101
b2294,2078.3020099637001
b2042,3436.9479498136998
b1288,6068.8707556756999
b0526,632.37151651220006
b3619,1923.4423452317999
b3908,3246.4953947347999
b3751,3100.0849550505
b3600,902.05926609649998
b2153,3614.8876644740003
b1207,4476.8174242714003
b3916,2312.7187149089
b0169,11684.8322097778
b0172,4454.5212740063998
b0740,2922.9341215180998
b4266,529.96808018019999
b1018,589.92327558660008
b0754,5038.6874141277003
b0185,2171.8870105913002
b1203,2251.9941768946001
b2898,1997.1751048182998
b2309,4958.7018833382999
b0729,4898.2736096077006
b1740,3264.1848693061997
b0474,4118.1962429627001
b1604,2145.8718664460998
b1614,809.78518409610001
b3067,624.31944673969997
b0243,1090.3402396196
b2614,5062.4891977590005
b1215,2974.0471295149
b0945,1133.5416703952999
b2464,1315.6353832047
b0957,2429.7272198248002
b3251,3495.2825421731
b1092,4803.623581324
b4139,532.85547790800001
b3357,2641.6299166220001
b0632,1382.4021482971
b3982,4220.7539101386001
b1123,1093.9810583603
b3729,709.69997282869997
b2752,2200.2975660283
b3847,1128.2241145293999
b2039,958.4787123973
b0755,8355.4885344419999
b1452,2827.8371549039002
b4382,378.36313693839998
b3432,42.767865541900001
b2526,807.1432986614999
b3306,7453.5147253586001
b1635,1212.9051243255999
b3405,1461.6113401879002
b1131,981.00816997380002
b2508,1995.3723372325001
b3448,644.59051262319997
b1236,2995.7235608009005
b4392,201.79862226610001
b0854,1937.1111786660999
b2036,1156.3653864829
b2041,1042.9903078224002
b0578,2818.4542398590997
b4267,228.94564429709999
b0767,3291.6456930920003
b0126,3205.5163594047999
b0324,391.46152213170001
b3011,2124.0119869742002
b1611,217.76492610619999
b0759,979.01307475639999
b0908,1365.3173548227001
b4381,942.60180409600002
b0426,4729.4448301018001
b0166,7490.4936998293006
b0660,1351.0756874177
b3730,639.54966598830003
b0605,24309.146505851601
b1175,2115.8982982970001
b3644,572.29867686480009
b4051,855.40274923300001
b0133,1191.6149572903998
b3605,318.87672873099996
b2687,5903.8246751275001
b3320,6802.2904645030003
b1817,2218.1926140851001
b3052,773.99329693839991
b1498,127.3611757803
b3384,2311.6857567833999
b1901,333.49287885910002
b3771,504.42844939190002
b0480,628.01327271050002
b3167,2054.2252085556001
b0406,618.69337112469998
b1260,4296.3194766634006
b0756,1545.3733672146
b2599,1498.1582124714998
b2913,3778.5470999671002
b3617,179.81575543549999
b1783,209.84206845630001
b2665,2564.7056650120999
b1093,3188.7321356085999
b3960,1127.4698281075
b4107,244.61810776599998
b3234,587.35423211310001
b2000,76.653981074200004
b4227,373.24471742719999
b3347,3217.8834806707
b2514,944.9978711855
b2417,11570.014915474099
b2114,445.48896101019994
b4054,1439.3628818851
b2891,1437.0307741620002
b4014,374.55404527260004
b0954,4885.3827840889999
b3181,2466.7548142546998
b4226,3599.0072369678005
b4375,487.79022176989997
b3303,13084.103358287501
b0888,2700.8639546087002
b3255,2288.2991578449
b0838,1666.9575814585
b0168,1681.0702503868999
b4252,16894.009073296398
b3305,14332.504006093999
b1646,731.00376016399991
b3447,214.99558042630002
b0154,1651.3426378635002
b3957,1452.7480670717002
b3498,267.7353257963
b0800,999.26547490949997
b0860,4433.4616133652999
b3527,349.06000728379996
b1857,480.03879745059999
b2515,714.7155125022
b2185,9016.4307310494987
b1200,655.60998704839994
b0492,1707.9814706345999
b3012,591.02100918449992
b1263,1263.9613847624
b3341,3097.7319905203003
b2239,195.91235586560001
b1014,16.1033921087
b1091,1680.6021334517002
b3168,241.34735465970002
b4244,9385.8909994131009
b0120,1472.7324615825
b1004,6295.9158635201002
b3752,341.30633313760001
b4401,2454.3949250675
b2091,561.96163413959994
b1095,1919.5492362769
b0819,2305.7791343793001
b3770,2377.1814975755001
b3229,2531.6575226251002
b1658,838.1261460536
b1851,74.027289667100007
b2231,82.170564326600001
b0727,448.72726364459999
b2679,407.48185547480006
b3244,684.58333106040004
b3958,3004.3025095994999
b2329,899.19617746270001
b4005,1462.8857487742998
b2421,1669.1365253865999
b2661,293.70929304980001
b1406,423.43513921150003
b0123,1435.4031569139001
b1232,1350.764450202
b1198,460.71240666769995
b3566,120.30529015969999
b1539,2683.5357188748003
b3147,276.76298763360001
b0059,66.531271152200006
b0104,1472.974910895
b2019,2579.8394140976002
b3315,4415.0352441977002
b0222,2806.4394327170003
b0077,607.00319240220006
b1613,922.35772737759999
b3744,1070.5593943205999
b3966,319.48443423229998
b3500,734.65365920320005
b2021,1329.6882204345
b1723,1652.6038242142999
b0642,86.949674219599984
b3959,3464.8607229171002
b0757,299.21729486859999
b1712,3506.5530681382002
b3986,16537.4464354351
b2962,3397.2455520344001
b4232,628.53895980660002
b2316,1415.3090265076
b3231,11414.9324005697
b3735,2991.0666286062001
b4174,962.01843575119995
b2143,523.78830032330006
b1237,13809.241344056001
b0889,5343.7904503846994
b3764,5269.7506448225004
b3860,2724.7083286787001
b0661,457.14678619370005
b3831,1644.1317889406
b2762,1453.6042688243999
b2938,629.49127587539999
b0897,1626.5528001414002
b0085,328.48288384479997
b1130,1477.6455288318
b0197,2629.1219011974999
b1127,528.19018911470005
b0801,1238.1789759756
b2521,601.98681595669996
b2131,515.54712729059997
b2523,369.97008621830003
b1431,1205.6187395930999
b2169,357.98873017099999
b1525,153.1979445275
b1329,191.53897291909999
b0423,22.421024872299999
b0419,521.7623360668
b1247,55.234601778599995
b4154,92.988443283600006
b4037,672.59026178140005
b2947,696.87746285000003
b0932,155.36253185929999
b2320,510.24673238279996
b2499,2031.1397402267
b1281,772.0966422294
b0015,777.87516039970001
b1189,174.39750037740001
b0381,389.56010137559997
b2478,3031.8615406642998
b3225,191.36681332990003
b4025,246.13882713639998
b0678,1623.715786256
b2518,9232.6782361604
b2699,1192.7627036302999
b2567,554.65142989800006
b0471,3290.7976051628002
b2007,9628.6539827484994
b1056,1185.4046141512999
b1850,4278.8548096199002
b0386,1650.3579985655999
b0125,759.8193645586
b0820,369.79282510569999
b2415,16029.797554781499
b1333,843.80308988030004
b0094,808.07722021509994
b0145,3878.0614800842
b2262,497.36757551660003
b3209,1681.2333761267
b1064,2077.5251534336999
b0369,648.53787604410002
b3670,2229.3486411582003
b2480,4512.8628101060995
b3495,15776.109676648401
b2287,759.88524191679994
b3363,3330.5928105184003
b1637,722.81222070350009
b2662,202.1894737547
b3967,133.08593152980001
b0525,5702.2881795490002
b4322,180.28715244169999
b0054,126.70273068790002
b1967,1345.1491893442999
b3620,106.4296228173
b1376,819.78342937299999
b0607,1164.7695077255
b1831,693.22485392169995
b3407,299.14223978709998
b0628,449.71633498949996
b2569,260.36182418570002
b0891,1058.2017498432001
b0415,6694.2986622026001
b2494,264.26009685869997
b2217,1484.4352767117002
b0870,588.32515811439998
b2431,493.00463110980002
b1743,488.159697639
b2989,914.46948706779995
b2838,639.13877045250001
b2366,155.49009484360002
b3056,113.98877274420001
b0150,42.766259014699997
b2319,1007.7677748925
b4349,182.8089032968
b1749,558.88344494490002
b0565,379.90869789390001
b3287,1199.4438866821001
b1718,2047.9914253726001
b0242,437.2357324793
b2914,3481.7382177960999
b1324,24042.584140064901
b1864,1151.8647868535002
b3866,862.26771525820004
b3701,599.49479918949999
b3925,183.64786310069999
b4207,3015.3702627998
b2183,1537.6491371448001
b0753,742.23553413410002
b1765,1722.3953990883999
b2893,997.99795298610002
b3509,3278.7359120283004
b2113,853.00488450600005
b3003,178.4137639862
b2582,470.19838390209998
b3290,140.4830665579
b2422,605.83095127050001
b2155,168.26104587770001
b3845,185.10675789150002
b2965,19.479505884999998
b1732,309.30454568930003
b4214,996.28085832279999
b1623,587.50052174289999
b0071,4210.836312331
b1847,2698.9250548765999
b0393,483.06474543100001
b1059,1170.5135987803001
b0082,506.24012624129995
b3319,9729.7264580790998
b3414,3529.8311731029999
b2579,2126.6253466853
b0469,2502.7251090885998
b2094,2911.8447380158
b1033,761.84805090689997
b1113,181.16989274459999
b1516,315.54120025060001
b0573,15917.0861839308
b0334,25.038731742700001
b3001,28.084272102399996
b0003,1377.4548022348001
b2601,876.58360845200002
b1710,1613.6823787484
b3805,281.72464807479997
b2020,2408.7320338197001
b0151,156.58520859660001
b3731,5015.3336129465997
b4142,12260.8187921301
b1087,1374.9358797532
b3189,665.30427038970004
b2564,923.44627724919997
b3642,134.57655624169999
b3985,10388.099832928699
b3983,6052.4118789802005
b4203,11809.456110294599
b3321,15081.624111986699
b3314,561.50874905059993
b3296,622.97644283650004
b3649,3725.3487930791998
b3833,1033.2907883340999
b3938,1803.5010134429001
b2268,165.7443771595
b3697,410.5709564581
b0683,2592.8673814391
b3455,493.42025608449995
b2834,791.04015570470006
b0812,900.8748810953
b2529,8959.0996144581004
b2669,3780.4556444535997
b4135,806.15603656649989
b0220,2500.4487156308001
b3200,1348.5535223591
b0441,26.876799824000003
b3310,2340.1625916777998
b0675,826.79504766529999
b1638,898.15033228269999
b0384,237.40571726589999
b1267,1105.5366211242999
b2125,102.7140732527
b0523,2719.8764941371001
b3302,5846.9749941476002
b2610,228.87110586290001
b2581,867.73913106449993
b2024,1013.3484075850999
b3590,195.68544041659999
b2908,321.89516613519999
b2232,891.87608291800007
b0611,394.3383731683
b0674,318.22547153160002
b2733,22.0663423584
b4389,111.4451911279
b0356,1204.0685180850001
b3706,247.67508883330001
b1133,822.51896702850001
b1128,735.6987738931
b2797,181.51034277560001
b1536,726.08386736369994
b1414,452.61095574230001
b1822,42.980270020299997
b2093,5281.6522136921994
b3183,461.59070075279999
b1380,633.04756254940003
b3830,1432.8592040987
b2025,1309.9040479267001
b1209,584.97170216810002
