gene,abundance
b3987,514.0665591572
b0114,998.41184762499995
b0118,3635.3051069517001
b4143,10445.2805556891
b0014,6104.0371982571996
b3774,3418.2434508910997
b3544,17225.7094163521
b3988,85.702489955600001
b3829,1033.9204130828
b0033,161.0549665238
b1241,605.07422061
b0911,5716.2016400593993
b3340,5233.5822933412001
b2697,432.78015432789999
b2416,1135.3477123764999
b3732,7038.7846590968993
b1243,9956.7630241327006
b2530,2472.1118635981002
b1136,13329.841890338301
b0436,4815.3735839298997
b0115,1319.4450582478
b3339,31090.016887053502
b3559,349.27004883269996
b3164,1940.2729466829999
b0903,260.40784405049999
b0473,782.59452690369994
b3734,8260.9107783934996
b3172,1567.699254035
b3926,688.42238559520001
b2551,5276.5727417221005
b0726,369.18039861809996
b0194,1254.0883737781
b2926,13645.4750901598
b1415,6834.2938745504007
b1761,1582.6106252620998
b3213,1057.8549020692999
b2779,9631.1306689514004
b3870,4315.1815302681998
b2029,1514.6258288944
b0177,1058.3463773528999
b1779,11335.8067991556
b1676,2114.1328137507999
b4177,3526.6397328734997
b4015,45685.019237026201
b0723,1566.0163996329002
b2150,23983.601579757298
b3426,142.5475934378
b4006,440.56162706919997
b0074,1413.9354582351
b0170,6627.5424066396999
b1866,417.60442747959996
b2935,431.89700457269998
b2942,3455.4251354884996
b0095,2461.7413030117
b1612,1099.7913553814999
b3783,953.50675981850009
b3942,912.03744957770004
b1830,628.26742045190008
b3612,678.44930876770002
b0680,390.07184783419996
b1713,352.0768482876
b3403,4764.7207976983
b3871,416.02836287800005
b2976,1140.3494834544999
b3236,33010.150943760898
b2463,395.01021585609999
b0116,3471.0870153308001
b1084,280.24789831800001
b1702,270.10647627999998
b0655,7249.5950793953007
b0439,173.46182127099999
b2763,527.97968372870002
b4391,467.54360315599996
b0053,2698.8650528479002
b4034,5553.9744961938004
b3169,1224.0554915729999
b0928,879.04411934669997
b3956,55.981957899199998
b3458,3743.6282880263002
b3453,2088.815664319
b2425,3049.2163171357001
b2764,344.44876780279998
b0004,1080.0394392870001
b2400,700.52387919320006
b4245,3398.0559789478998
b0893,662.73579310640002
b2323,8528.5388743148997
b2925,7071.3560674495993
b0720,1062.8164414713001
b3699,130.48513054579999
b2557,43.923772875099999
b1479,319.42964161650002
b1048,1631.6102361342
b0688,570.87942359260001
b3671,610.24106730660003
b4213,791.60685360280002
b3212,28.131889314899997
b2780,217.3160249037
b3984,5833.7205002056007
b3295,4739.9938992130001
b3708,1191.3322523012
b0008,3298.5855379024001
b2297,360.26967304070001
b2414,14942.6696105223
b0811,11355.310481704599
b1002,4244.5863066153997
b0907,2350.9901153482997
b3308,8546.4878182866996
b2890,219.25565848740001
b3433,2838.1270909655
b3460,46289.729355847099
b1440,3579.2386587153005
b3863,75.304702449499999
b2507,251.41811186009997
b2133,313.75554952959999
b2296,1279.9442353004999
b0438,727.27836499779994
b2533,437.67401240219999
b1920,5223.6259457821998
b0161,2043.2931041982001
b4019,24.220703188400002
b2283,200.0833747186
b0574,1828.3355985742999
b1062,2193.0511901397999
b3931,596.5146327594
b2498,5538.9259759628003
b1719,65.183334930299992
b3733,2350.8074906909001
b2095,1594.5770307343
b0098,63.428949530600008
b3359,1481.2816725498001
b1276,272.81902244220004
b3962,498.72993919830003
b1286,157.0896482382
b2465,233.1181471937
b0763,16628.851804412399
b0724,3585.9136391338002
b2310,21543.713852117598
b4058,44.6340745185
b4383,1665.2217056428001
b1261,1369.7366416622999
b0882,147.5307020903
b3941,793.37297402019999
b4235,407.73331704930001
b2096,14882.653080318401
b3464,648.85724144029996
b1197,970.80894508530002
b0237,1294.8895862011
b4069,262.87163367639999
b3176,479.54193298629997
b0325,2414.6939113127
b1487,594.190728595
b4200,9104.2614728893986
b1714,1219.5685058957999
b0072,2069.9990661695001
b2476,2791.9460860506001
b0728,2577.0647898299999
b3919,7994.7692010249002
b0930,485.62624984640001
b3162,71.3002959234
b1852,93.869676142999992
b1876,154.7506761599
b1854,1195.9972238879
b3256,367.07433738379996
b0073,3273.3540433375001
b0863,5085.8264951646006
