gene,abundance
b0166,3551.1977734569
b0200,738.08391780479997
b0596,30.332348651100002
b2096,19278.797663396002
b0755,9568.6256314027996
b2029,3426.2823229815999
b0415,6082.3598606227006
b1612,2161.5408756700999
b2095,1861.0755012710999
b0754,1875.0915343930999
b0819,1804.7236190919
b3612,563.72526306930001
b4213,515.06076902209998
b3941,1590.4017749088
b1200,676.11849736739998
b4214,934.3653073032001
b3439,695.07071354389996
b2041,670.80618095650004
b1487,374.51706145019995
b1678,533.70362894710001
b2303,865.82361242460001
b0154,545.49560191080002
b1199,284.40493563500002
b1764,406.62706030359999
b2601,796.26703932229998
b2262,463.56870217900001
b3012,593.58169202940007
b1738,648.00890433199993
b4129,95.309746127600008
b2038,518.95130340879996
b0085,146.84605076649999
b3041,273.24983630769998
b4232,435.22605773150002
b1990,203.2456838514
b1896,187.98976809299998
b1198,60.412309766899995
b1190,185.05304530900003
b0207,127.76321560870001
b0110,117.1672443113
b0925,37.190807264600004
b1270,83.585366757399996
b0224,40.654840633299997
b1704,110.7290541947
b3925,97.547318541100012
b2436,33.615662355200001
b3432,17.685661858699998
b1113,65.152623645299997
b4053,34.062253499499995
b3579,3.6076256301999998
b3788,22.787671810300001
b3081,5.0721553449000005
b0662,36.340686359000003
b2965,4.6031185256000002
b3132,0.70391864739999999
b2746,6.7119158830999996
b4571,1.8877541387000001
b4122,1.8676974209999999
b1478,49.810967491899994
b1736,0.17540197660000001
b3987,838.55768967539996
b0114,1390.1688419325001
b0118,6381.7632610249002
b4143,13800.332905289599
b0014,7556.5199660093003
b3774,7246.3628095774002
b3544,11763.5727454147
b3988,123.0190116592
b3829,2100.5509761417002
b0033,292.65202487409999
b1241,1031.7664398265999
b0911,8933.7956526384005
b3340,7789.4855466892004
b2697,502.87755205830001
b2416,1661.2236423467002
b3732,11076.933249018601
b1243,6407.8280075589
b2530,4572.1035730295998
b1136,16359.0995682302
b0436,6295.6718971737
b0115,1413.0558468034001
b3339,37603.318651535497
b3559,761.0621297396001
b3164,2827.5547093580999
b0903,762.9967030099001
b0473,1314.7275019116
b3734,9851.7401929601001
b3172,2274.6563330295003
b3926,573.71131543779995
b2551,8992.2041215265999
b0726,811.16684137160007
b0194,1702.4530347970999
b2926,15873.092045303201
b1415,7785.3085435061002
b1761,3645.4954304839002
b3213,1340.3342510589
b2779,12485.725448794699
b3870,3828.7822209527003
b0177,894.56948522800008
b1779,17337.750650836002
b1676,2643.5122373314998
b4177,4578.6424652434007
b4015,64299.1654589428
b0723,2516.3678006373002
b2150,13089.566773103999
b3426,120.5933876364
b4006,836.56544666360003
b0074,2401.0183782120998
b0170,7758.9590590138005
b1866,647.15345225529995
b2935,1338.7152709718
b2942,3425.0988865196
b0095,2672.8185573118999
b3783,1632.9466568073999
b3942,857.40543595960003
b1830,589.73808688220004
b0680,538.29964170459994
b1713,597.45090064149997
b3403,4936.0422852521006
b3871,572.04629610649999
b2976,1487.9782200117002
b3236,47923.876967926699
b2463,531.87348398619997
b0116,4965.6203061415999
b1084,274.38504315599999
b1702,703.47314704259998
b0655,4974.1981415976998
b0439,224.1064572338
b2763,722.03867163919995
b4391,733.53883573339999
b0053,2014.3044040835998
b4034,1806.976682017
b3169,1604.4938118988
b0928,2647.2310463156
b3956,64.011649146699995
b3458,2291.4564791555999
b3453,1074.2181386658001
b2425,3640.5801045888002
b2764,960.50863645109996
b0004,2026.0071870573001
b2400,762.24064226029998
b4245,8167.8807509202006
b0893,1193.997350006
b2323,8960.4755860096993
b2925,10477.7639259934
b0720,4316.9243146914005
b3699,210.44624240060003
b2557,44.334102030600008
b1479,724.73085855860006
b1048,1402.3020423276
b0688,850.41622325050002
b3671,1191.1565419354999
b3212,31.192460395500003
b2780,373.5434167176
b3984,6716.0807091607994
b3295,6688.9123542473999
b3708,1080.8876314918
b0008,4950.3574468448996
b2297,605.29136928790001
b2414,25833.664052464501
b0811,7489.7065587567004
b1002,2575.5568786241001
b0907,3751.3504160940997
b3308,10770.0057018633
b2890,599.88407741250001
b3433,6076.8728535037999
b3460,27438.988716112202
b1440,1177.3175813542
b3863,164.5856377652
b2507,361.78879701470004
b2133,356.09213371459998
b2296,1735.8763372709
b0438,1130.1234153585999
b2533,889.06000204220004
b1920,4420.1244263721001
b0161,1344.4588829908
b4019,36.644593392300003
b2283,210.34456037999999
b0574,1599.9968998928
b1062,2417.7427172826001
b3931,876.2058662428999
b2498,7538.7443676061002
b1719,111.8940560045
b3733,2981.9457626240996
b0098,95.558313404699987
b3359,1242.3359533472001
b1276,534.14051614440007
b3962,803.72223474949999
b1286,272.59248793339998
b2465,651.38988397540004
b0763,865.59627906619994
b0724,3957.9082598749001
b2310,11955.225565967901
b4058,9.1793914686000004
