gene,abundance
b3987,1258.8359253355
b0114,1748.3818321228
b0118,2522.0315791681001
b4143,17014.351634032901
b0014,9496.1092334686
b3774,8381.9139501128011
b3544,9413.6683872748999
b3988,208.40923854249999
b3829,5711.9986115493994
b0033,552.55325089339999
b1241,2185.4424392330998
b0911,14878.567867801599
b3340,12609.666594131499
b2697,1533.8613605354001
b2416,2793.8710325970001
b3732,12011.735848459499
b1243,11543.768487744699
b2530,4476.1220835548002
b1136,17971.579838519901
b0436,11368.2292504007
b0115,1517.4091275312001
b3339,56177.492871239905
b3559,771.09767865410004
b3164,3639.5397853506001
b0903,1149.9909739310001
b0473,1504.2510607551001
b3734,12029.249343489801
b3172,4262.4623151003007
b3926,538.41742095860002
b2551,17489.295030552599
b0726,441.9797487299
b0194,3089.0057901248997
b2926,21771.794532235901
b1415,1181.0077596884
b1761,3011.1941128847998
b3213,3658.3738340004998
b2779,23996.2576432477
b3870,8340.6380060337997
b2029,6294.1984008831996
b0177,995.38226288809994
b1779,34408.636061500096
b1676,5388.5355382452999
b4177,5298.4780029199001
b4015,12864.0940349469
b0723,1014.4739294339
b2150,1602.2124082424
b3426,135.42988172329999
b4006,1829.6063061582001
b0074,1792.8998972701002
b0170,14426.545884180201
b1866,1051.6811949175001
b2935,1766.1514422425
b2942,9280.2407279283998
b0095,4443.2433102546001
b1612,956.14691608899989
b3783,2090.0951971468999
b3942,705.28239539009996
b1830,860.22408660229996
b3612,3394.6331712538999
b0680,932.80581336809996
b1713,578.43200179569999
b3403,1831.2966381981
b3871,1331.7425697296001
b2976,335.00786337919999
b3236,25649.463683717797
b2463,107.26231175870001
b0116,4574.5164764746005
b1084,596.58977200970003
b1702,352.24688898889997
b0655,5270.2375189822997
b0439,455.80661419160003
b2763,1327.4959546047999
b4391,930.46506649139997
b0053,2603.6208975301997
b4034,530.28127284879997
b3169,2352.8248533306
b0928,1826.7740380035
b3956,169.8910186542
b3458,4053.2734745342
b3453,950.21932102029996
b2425,2500.8592196171999
b2764,936.94251958869995
b0004,3500.0572939789004
b2400,1827.7993310669001
b4245,7681.5027419026001
b0893,1484.2247200639001
b2323,11419.3480350234
b2925,14947.6031502225
b0720,977.49130461759989
b3699,292.73875170220003
b2557,77.7420127261
