gene,abundance
b0166,1730.4159826842001
b0200,535.64127286259998
b0596,19.4911495596
b2096,16059.163154546
b0755,8707.3223530710002
b2029,1315.9957104747
b0415,3709.1629931457001
b1612,882.97466596890001
b2095,1598.5369425838001
b0754,1249.8469344852999
b0819,1992.2390886526998
b3612,623.63884994069997
b4213,957.10704108089999
b3941,635.37440851780002
b1200,727.72397531460001
b4214,1639.9643285098998
b3439,868.3357706011999
b2041,349.01045614339995
b1487,776.69991560389997
b1678,667.72852969960002
b2303,790.59204314880003
b0154,224.03951455580003
b1199,391.14132672279999
b1764,311.57540023749999
b2601,265.8376216886
b2262,256.64627189399999
b3012,688.10103287679988
b1738,758.14298436030003
b4129,146.76331354870001
b2038,344.82437505569999
b0085,107.4986592611
b3041,171.20716957580001
b4232,110.21390890719999
b1990,311.03146363249999
b1896,73.7225293483
b1198,48.737332640799998
b1190,192.18494290839999
b0207,77.219988462200007
b0110,90.121716834899999
b0925,46.841437933999998
b1270,83.801169759499999
b0224,45.728802609799999
b1704,38.211098829999997
b3925,64.115163071200001
b2436,15.991411251800001
b3432,3.6136175268000001
b1113,20.342649787199999
b4053,24.139761565900002
b3579,22.996298728100001
b3788,20.750284883499997
b3081,0.94377830169999999
b0662,7.4303607461999999
b2965,3.7906835224000002
b3132,0.69965353610000003
b2746,0.2864069528
b4571,0.6986568809999999
b4122,2.5341240811000003
b1478,4.0399148618999998
b1736,2.5043135768
b3987,418.14524676000002
b0114,882.29895233779996
b0118,2812.5594991444
b4143,9989.2097221143995
b0014,6678.6363074132996
b3774,2779.4689494446002
b3544,18173.223485448601
b3988,72.598703858100009
b3829,756.06912345149999
b0033,123.46941021559999
b1241,608.79963035859998
b0911,5378.6901747139
b3340,4587.6728222225001
b2697,337.8819873338
b2416,1068.5854270753998
b3732,5711.2937068518995
b1243,10927.413208850799
b2530,2223.0551040148998
b1136,9597.1916350069987
b0436,4048.4802465659004
b0115,1436.1399243874
b3339,28072.8591411952
b3559,342.85517474549999
b3164,1867.8549761873999
b0903,198.4971684155
b0473,647.20278958179995
b3734,7087.2772217129004
b3172,1104.8688172372001
b3926,735.70073443770002
b2551,4621.2543447890002
b0726,299.18514221959998
b0194,1199.9248193524002
b2926,13374.660552148602
b1415,6357.3941925900999
b1761,1036.3904623939
b3213,785.46628861419993
b2779,10199.6317476323
b3870,2946.4740812921004
b0177,1599.4094698182998
b1779,12320.844812552901
b1676,2330.4292292257001
b4177,3173.4849528378004
b4015,43034.267202351002
b0723,1238.4930671722
b2150,25369.173265897796
b3426,87.156775230999997
b4006,344.90071234589999
b0074,1695.8153733006
b0170,6424.0886730827006
b1866,344.72690548400004
b2935,339.17655586270001
b2942,3123.1384929044002
b0095,2428.3563220683
b3783,941.48576634429992
b3942,1032.9836662984001
b1830,649.27890575280003
b0680,415.92948712150002
b1713,233.01700912250001
b3403,4297.3755141287002
b3871,310.02080696040002
b2976,887.72082309170003
b3236,26369.305257837001
b2463,317.22039430820001
b0116,2766.9727808521998
b1084,290.43685630480002
b1702,221.46551264909999
b0655,9187.1939702742002
b0439,166.5898155955
b2763,433.76801448290001
b4391,460.31638196349996
b0053,3195.6695960277002
b4034,4652.9984431759003
b3169,1079.9502935488999
b0928,639.42843565279998
b3956,53.645680883300003
b3458,3579.2311617505998
b3453,3331.8795096839003
b2425,3571.5611994409001
b2764,357.917818861
b0004,947.67629432950002
b2400,716.68092338589997
b4245,4811.9322179039
b0893,595.46418543360005
b2323,8603.321974984101
b2925,7707.8496425113999
b0720,821.49855698550004
b3699,109.5697278894
b2557,29.624091329799999
b1479,309.1976532676
b1048,2011.8423341803
b0688,472.32383642140002
b3671,455.56863525480003
b3212,24.7558541816
b2780,162.73488844409999
b3984,5850.6423750856002
b3295,4881.0687988055997
b3708,1268.1104727712
b0008,3171.1214955756
b2297,299.41622880150004
b2414,16431.270919811202
b0811,12976.232372482
b1002,6473.998098168101
b0907,1838.3407017100001
b3308,6820.0201124903006
b2890,243.52830888419999
b3433,2343.8970668181
b3460,42989.708076800896
b1440,5444.9762376077006
b3863,65.150732543999993
b2507,241.83259292130001
b2133,289.33459488450001
b2296,1479.4934103556
b0438,587.88703464110006
b2533,362.60585440209996
b1920,5335.5469392255
b0161,2504.8395080495002
b4019,19.1259588944
b2283,161.7165661416
b0574,1837.8613723004
b1062,1682.3336278101001
b3931,556.39611540620001
b2498,4378.0170787915004
b1719,65.021338307500002
b3733,2027.4046083113001
b0098,57.753150848599994
b3359,1157.9346611059
b1276,266.26201171069999
b3962,440.24570670239996
b1286,152.92575340049999
b2465,234.79412294759999
b0763,18083.477750285401
b0724,3132.4657259410997
b2310,26813.985084285599
b4058,5.1475252116000005
b4383,2010.4402423204001
b1261,1114.9117218277001
b0882,122.199908924
b4235,412.43134193679998
b3464,639.74569019800003
b1197,1595.2995264410001
b0237,1066.1804306995
b4069,233.87542664060001
b3176,479.40092121230003
b0325,3968.3939691439
b4200,8693.0043942316006
b1714,1026.9279051175999
b0072,2211.3658587942
b2476,2671.6338252658998
b0728,2135.1290211442001
b3919,7851.3612127116003
b0930,469.94183167589995
b3162,95.828995420599995
b1852,77.329295227800003
b1876,165.23140237090001
b1854,882.92648274179987
b3256,347.20706730469999
b0073,3892.9775519629998
b0863,5503.9407441899002
b2132,300.05400649990003
b0606,540.59370039980001
b3553,301.29038225669996
b0026,55.175012033500003
b0839,2074.4108534267002
b0032,1380.1015712720998
b2294,985.4701647142
b2042,1494.8908716973001
b1288,2391.8738067376003
b0526,188.97389781939998
b3619,1309.5861775895
b3908,6577.0949318893008
b3751,22875.539768254501
b3600,1053.2039791251
b2153,1427.4304091029999
b1207,2318.1571697600002
b3916,1133.1098858289999
b0169,5168.9215293732004
b0172,3175.7207294396003
b0740,2633.3229547125002
b4266,360.28374294220004
b1018,561.38365017190006
b0185,1619.0420724839998
b1203,511.74003596800003
b2898,1627.5406690377999
b2309,8484.8889866073005
b0729,7650.8259811415001
b1740,1587.4970344557
b0474,3179.9071153258001
b1604,2902.1180244855
b1614,367.42860134
b3067,76.192097693800008
b0243,602.54682756310001
b2614,3489.1771592866999
b1215,1497.6407289845999
b0945,200.96109678089999
b2464,1184.0570393519999
b0957,1083.4339271711999
b3251,1613.1986486952999
b1092,2854.0575192829997
b4139,384.24731464400003
b3357,2272.3820249145001
b0632,857.45464567089994
b3982,2459.5409043179998
b1123,1763.0977218941
b3729,79.806378326800001
b2752,416.69772963440005
b3847,359.41708970980005
b2039,458.26044494920001
b1452,1495.6160804314002
b4382,380.29280291290002
b2526,167.34216493489998
b3306,4955.0991576665001
