gene,abundance
b0166,3489.2644121384001
b0200,747.7935925485001
b0596,43.3266026899
b2096,13733.9629676401
b0755,8364.3918802522003
b2029,4959.9984703960999
b0415,7296.0485203784001
b1612,2136.7018014893001
b2095,3264.5677333231001
b0754,2604.3655167519
b0819,1875.9253408794
b3612,912.92930997079998
b4213,493.76311579359998
b3941,1746.2307003041001
b1200,689.42872190089997
b4214,885.6906040824
b3439,305.93099553310003
b2041,910.99828761089998
b1487,309.85564534880001
b1678,398.86669245019999
b2303,922.92107655429993
b0154,1078.0554829359
b1199,262.58285551540001
b1764,476.1661316268
b2601,603.46910209750001
b2262,302.50043399250001
b3012,401.13641684330003
b1738,468.562744044
b4129,150.10995116559999
b2038,548.08253551619998
b0085,230.76094249080001
b3041,320.6923323826
b4232,640.66278265929998
b1990,105.7300804616
b1896,169.3566312392
b1198,125.3122200685
b1190,82.0671321162
b0207,189.85768252169999
b0110,99.856841049400003
b0925,19.627609333100001
b1270,104.2119733798
b0224,76.7728114847
b1704,174.35846203209999
b3925,132.0106502184
b2436,54.001762065100003
b3432,59.940550121999998
b1113,146.29314560099999
b4053,43.279227714399994
b3579,6.5308966204999992
b3788,67.655582997799996
b3081,16.087512771900002
b0662,60.221340716299999
b2965,28.845989556199999
b3132,20.664910221500001
b2746,20.8858319026
b4571,9.7759101215999991
b4122,7.7102207023
b1478,0.26097939320000002
b1736,12.8794248559
b3987,1376.2433945757998
b0114,2943.6569115283
b0118,6069.3129855525003
b4143,14339.425741601599
b0014,7511.2752625787998
b3774,7778.1240294304007
b3544,10671.616443860001
b3988,258.59103646529996
b3829,5426.7928683985001
b0033,602.38979698230003
b1241,1182.8281032926
b0911,10638.811188067701
b3340,10558.7947824855
b2697,1026.7789392212001
b2416,2046.8538595710997
b3732,12246.3400987191
b1243,5986.3957099238005
b2530,4088.4244141884997
b1136,16299.045946389198
b0436,6856.8339092768001
b0115,2157.2629502434002
b3339,44078.769778790098
b3559,1290.2385513785
b3164,3404.1542329415997
b0903,1444.5682320364999
b0473,1711.0004959614998
b3734,11419.916421702399
b3172,2952.3659496715004
b3926,679.64204336349997
b2551,11212.0183495699
b0726,1026.6881531421
b0194,2207.3265119173998
b2926,13600.677813972499
b1415,8361.0696990556007
b1761,3467.0897193561
b3213,1399.5024285951999
b2779,11792.930397222201
b3870,5103.4511609885994
b0177,939.01095319380011
b1779,15492.956082328201
b1676,2418.9091604809
b4177,4279.5537140539
b4015,29937.562532022901
b0723,2676.9263204853
b2150,10434.3399204588
b3426,162.265754297
b4006,1375.6485209267998
b0074,1737.4047791948001
b0170,7469.3585634499996
b1866,913.15672319049997
b2935,2742.6976205613
b2942,4790.5321650120004
b0095,2837.5114650321998
b3783,1948.9606071351002
b3942,831.45417643070004
b1830,616.51429551859997
b0680,850.86963080039993
b1713,1041.7721251032001
b3403,6687.9836497001997
b3871,852.04637629939998
b2976,865.78582120649992
b3236,30916.877914523102
b2463,574.4803305762
b0116,6802.8819152663
b1084,314.89243964880001
b1702,1075.2597463247
b0655,3805.3386582213002
b0439,407.43149250839997
b2763,1179.7115383544001
b4391,1241.0240006060001
b0053,1813.0005965585999
b4034,1699.5193629715
b3169,1884.1855390612
b0928,3428.2417744892
b3956,198.98254149459999
b3458,3608.7368660401003
b3453,867.42215962300008
b2425,3082.8362818603996
b2764,1117.1518239402999
b0004,4432.7661275255996
b2400,1136.8061917571999
b4245,10924.283242560401
b0893,1492.5897938203
b2323,10430.0010922771
b2925,9380.942271674201
b0720,5141.6134190778994
b3699,409.92669170959999
b2557,176.22176905410001
b1479,909.01158761809995
b1048,1277.2617040619
b0688,1082.7799019047
b3671,1733.7159823892998
b3212,89.903154426100002
b2780,699.6149835292
b3984,6088.4007454730008
b3295,6378.5192064368002
b3708,1035.6448784894999
b0008,6299.3152500869992
b2297,851.03172512649996
b2414,22325.195018988299
b0811,6637.8404834367002
b1002,1811.6538434515001
b0907,4279.9706866207998
b3308,11064.024248563701
b2890,1216.8070736458001
b3433,7281.9269356363002
b3460,24296.817870658902
b1440,1017.9979706905
b3863,295.22578876389997
b2507,948.96461628190002
b2133,497.41355617930003
b2296,2304.8841492742999
b0438,1433.9991056655999
b2533,1093.1917328016
b1920,2526.1273435155999
b0161,1315.1450223448001
b4019,105.8808623419
b2283,332.402004132
b0574,1368.8835802106
b1062,2467.3028936882997
b3931,1020.3696408208999
b2498,10063.925242981999
b1719,187.67682198310001
b3733,3164.9672004578997
b0098,207.3830370412
b3359,1838.2701421938
b1276,285.22325665810001
b3962,1353.9967339197999
b1286,445.82320904300002
b2465,564.58475072390002
b0763,952.0165295139999
b0724,2667.1927952368001
b2310,6901.2119908318009
b4058,43.400645660800002
b4383,1340.1550165505
b1261,2161.0869289535999
b0882,281.1265267462
b4235,740.59634129800008
b3464,908.59276407130005
b1197,408.43248257530001
b0237,2261.0860523814999
b4069,921.55456351140003
b3176,957.75504364820006
b0325,1941.5844767576998
b4200,13822.890729491399
b1714,2119.4289186495002
b0072,2039.2576999785001
b2476,4881.6241237919003
b0728,6206.9719827716008
b3919,7766.3944364060999
b0930,1580.3937262985
b3162,206.33352491529999
b1852,512.54029087380002
b1876,476.35112822000002
b1854,1382.2241400979001
b3256,825.42418713690006
b0073,3279.5016778422996
b0863,3235.6652557326001
b2132,272.83800125790003
b0606,1030.5918576325
b3553,1678.2547801423002
b0026,139.40609282899999
b0839,857.45517727610002
b0032,4218.2944745256
b2294,1088.8643101738
b2042,2822.3213438921002
b1288,4411.2450965147
b0526,462.90333610519997
b3619,1545.8135597217001
b3908,3010.8537812421
b3751,9911.0416555692009
b3600,1061.5694065335999
b2153,2322.3822209846999
b1207,3990.7485019833002
b3916,1498.3852187932
b0169,9112.0138261368011
b0172,3264.4279093259997
b0740,2261.4983391934002
b4266,500.1165890661
b1018,458.37273285319998
b0185,1819.0989545335999
b1203,1699.5981188003
b2898,1888.295472366
b2309,4224.9026352009005
b0729,8832.2893188492999
b1740,1876.0186683417
b0474,4102.2443193679001
b1604,1664.4577936301998
b1614,512.57361585759998
b3067,360.44164826940005
b0243,674.03401036309992
b2614,4236.6150804913004
b1215,2762.5776128109001
b0945,810.6822531473
b2464,816.03560140720003
b0957,1477.8904277858999
b3251,2515.7109695660997
b1092,4305.7814146063001
b4139,1064.5183795834
b3357,2623.3731023378
b0632,961.71057482640003
b3982,3533.7391895746
b1123,1097.9982909274001
b3729,410.51622317190004
b2752,1699.1734626599
b3847,736.41169565149994
b2039,900.4115463152001
b1452,2318.7294746750999
b4382,314.03037764139998
b2526,509.89031404650001
b3306,5702.8169464934999
b1635,1163.6986625155
b3405,1651.0486204439999
b1131,628.72150830559997
b2508,982.53068854520006
b3448,761.60377425360002
b1236,2196.7376947257003
b4392,155.76798159879999
b0854,1621.2815954789
b2036,1143.5457623042998
b0578,2232.7016968364001
b4267,143.54375834940001
b0767,2900.9622694935997
b0126,1647.3008725795999
b0324,365.53005275410004
b3011,508.90838957169996
b1611,501.2241106271
b0759,921.62649996919993
b0908,631.88652501640001
b4381,669.39911838969999
b0426,3659.6359276667999
b0660,1031.5348673372
b3730,464.12534929989999
b0605,20288.228258159099
b1175,1963.8119322073999
b3644,426.94898196419996
b4051,837.36926653679996
b0133,958.79830518979998
b3605,455.71925054860003
b2687,3328.9536877740002
b3320,4135.4833216653997
b1817,1219.1456445607
b3052,592.5978035206
b1498,400.33433697390001
b3384,1570.7080362198999
b1901,437.40968784269995
b3771,277.0543445468
b0480,502.58767089879996
b3167,1673.2838212339002
b0406,341.08130934870002
b1260,2913.422885041
b0756,1193.4811323683
b2599,1046.5362773582999
b2913,1749.7758648714998
b3617,209.7369503962
b1783,149.48544842219999
b2665,2457.4067791275002
b1093,2908.2476335998999
b3960,544.05610258019999
b4107,372.18845366959999
b3234,478.30362433050004
b2000,140.21033900809999
b4227,1186.8804784857
b3347,2783.7414423209002
b2514,612.19333454709999
b2417,8895.8449170286003
b2114,238.85405101200001
b4054,858.06850108579999
b2891,918.92168457850005
b4014,480.0453979875
b0954,5720.5086272150002
b3181,1977.1680243079002
b4226,1892.7467203320998
b4375,376.11511122480005
b3303,9753.1821604515007
b0888,1389.9549342138
b3255,2066.349209899
b0838,1645.1423613889001
b0168,1202.1554064683999
b4252,16618.5968193515
b3305,10756.881904721
b1646,528.43457919679997
b3447,208.25771022599997
b3957,722.78141637839997
b3498,226.7943773179
b0800,858.11540954110001
b0860,3494.5046028204997
b3527,185.16848530909999
b1857,409.61035297500001
b2515,553.68363114960005
b2185,6544.5877983819992
b0492,1492.4227147027
b1263,605.88773265259999
b3341,2373.3522270735002
b2239,211.39533710080002
b1014,13.523363589600001
b1091,1276.9466871361999
b3168,106.1098531489
b4244,10837.5336007199
b0120,827.83056550729998
b1004,6549.8750830326999
b3752,654.96449751839998
b4401,2456.5334161438
b2091,1862.0069113095001
b1095,1276.2068042761
b3770,1170.6375267466001
b3229,2318.7552410034
b1658,611.84985315009999
b1851,46.015936580000002
b2231,50.932718085099999
b0727,411.3878972604
b2679,401.50496575209996
b3244,451.73776294959998
b3958,1996.3737310739002
b2329,658.20620087120005
b4005,909.2645041249001
b2421,1387.5568329103
b2661,405.92698664019997
b1406,672.80758393269991
b0123,1070.2097685461999
b1232,749.9272961803
b3566,383.8646530469
b1539,2490.1534161234999
b3147,242.70547546770001
b0059,36.800105290600001
b0104,1226.4982812010001
b2019,1396.1171292125
b3315,2902.4320162174999
b0222,3206.0613387077001
b0077,365.0593687608
b1613,876.15664067089995
b3744,620.39684190779997
b3966,214.05848047400002
b3500,432.95690965809996
b2021,692.74916457589995
b1723,993.78950311559993
b0642,44.557261336899998
b3959,2192.7457306301999
b0757,505.66009847319998
b1712,2881.7777891981
b3986,7728.6376888880004
b2962,2576.9896464584999
b2316,1044.6459500360002
b3231,7409.2555329276001
b3735,3533.8604366826003
b4174,642.82687426480004
b2143,464.61178030559995
b1237,15367.9780163417
b0889,4217.2736593484005
b3764,4087.5690434394
b3860,2351.6998192040001
b0661,263.1823682749
b3831,1055.3889024794
b2762,1056.0869975625999
b2938,372.45853686620001
b0897,1467.1968179411999
b1130,1530.4667810092001
b0197,706.80509890719998
b1127,435.19564843069998
b0801,809.8515395869
b2521,912.43143134579998
b2131,518.90836208389999
b2523,275.51992204919998
b1431,1112.4552884092
b2169,158.43978690969999
b1525,256.41312369270003
b1329,302.39530439110001
b0423,16.2474811604
b0419,539.70237774410009
b1247,37.746775603000003
b4154,298.34731506470001
b4037,2285.4616549836001
b2947,583.12933088470004
b0932,129.49369782510001
b2320,295.10878695000002
b2499,1601.7793645457
b1281,511.07255678830001
b0015,582.60038336059995
b1189,239.51284230080003
b0381,315.70397547850001
b2478,2412.4119329277
b3225,144.35015103040001
b4025,117.6935624617
b0678,1463.6818924682998
b2518,16389.108630073901
