gene,abundance
b0166,6220.0331163226001
b0200,1006.2703166647
b0596,68.41872612649999
b2096,6769.3625042879003
b0755,10277.097054056801
b2029,7498.0969494346
b0415,8002.7554037100999
b1612,1500.8297798886999
b2095,1354.6049732372001
b0754,3759.7388232178005
b0819,2517.1219963664998
b3612,2137.8612737334001
b4213,333.11310101729998
b3941,3697.3912539987
b1200,590.78766550470004
b4214,946.03209061389998
b3439,288.31591849339998
b2041,1271.2592037635
b1487,151.707783619
b1678,965.39032154710003
b2303,1169.9014375058
b0154,1369.5526856030999
b1199,370.24585261639999
b1764,541.0917605738
b2601,824.36883968979998
b2262,470.06828574489998
b3012,774.64560378699991
b1738,389.89438543519998
b4129,251.18886575169998
b2038,569.58366432749995
b0085,254.8822267935
b3041,425.48583275690004
b4232,581.71364882950002
b1990,176.63378732709998
b1896,288.2044465326
b1198,312.29883303490004
b1190,98.249352847500006
b0207,244.43610843720001
b0110,289.6728211679
b0925,55.248679061300003
b1270,142.0123434013
b0224,162.96173184239998
b1704,259.29966650220001
b3925,130.2733543141
b2436,49.081072040000002
b3432,48.807336193799998
b1113,98.563760074699999
b4053,50.605543113900005
b3579,3.6871008261
b3788,148.9512085655
b3081,7.3528880938999999
b0662,48.705742322100001
b2965,22.552592453200003
b3132,2.7839685862999999
b2746,17.167377711900002
b4571,6.5733897904999994
b4122,7.6606776132000007
b1478,0.43554604210000003
b1736,1.5311555750999999
b3987,2030.7395114893
b0114,5898.0901689819993
b0118,4364.8357333416998
b4143,15062.7100821514
b0014,10470.578918277501
b3774,10078.371139774999
b3544,8229.8530574870001
b3988,393.89105748989999
b3829,7944.0681577823998
b0033,1194.2012520846001
b1241,1938.0565668485001
b0911,13595.827425367701
b3340,13646.3612511228
b2697,1280.9913218493
b2416,2742.8643056333999
b3732,13161.468678601201
b1243,8800.5328548965008
b2530,6194.0619709941002
b1136,16595.303766082299
b0436,9120.9018042309999
b0115,5115.0054657023002
b3339,52645.424163620097
b3559,1652.7166037841
b3164,3851.4216139865998
b0903,1648.1551217143999
b0473,1985.2386316351001
b3734,10886.5193155248
b3172,4975.9311859393001
b3926,724.30607551369997
b2551,17539.3471283043
b0726,1143.675239705
b0194,2750.4132112574998
b2926,16038.895187061002
b1415,4082.6009071415001
b1761,5883.9171227636998
b3213,2819.0585041616996
b2779,17805.843830422098
b3870,9387.7419428184003
b0177,1426.2864369296999
b1779,21291.657514022299
b1676,4921.1411454415993
b4177,6939.4283641980001
b4015,16048.8243678947
b0723,2026.0020887495998
b2150,3416.5926377746996
b3426,180.6077520755
b4006,2520.3372972048001
b0074,2224.6382009208
b0170,9990.3928538444998
b1866,1211.8525750055001
b2935,2734.5763033132002
b2942,7464.0405809937001
b0095,3840.0805929433
b3783,2391.0879454905999
b3942,1172.9222147782
b1830,784.74003685259993
b0680,1133.9942903174001
b1713,1405.9099589123998
b3403,3161.4371250255999
b3871,1681.9994178493
b2976,482.20286145769995
b3236,21895.622661873898
b2463,524.63400557379998
b0116,7923.1416487134993
b1084,626.59363751139995
b1702,879.71392502330002
b0655,3261.7445049538001
b0439,557.74473752480003
b2763,1508.4405379184
b4391,1325.3377155124001
b0053,2311.5067608943
b4034,885.75335624859997
b3169,2267.4852571104002
b0928,3649.0098591743999
b3956,383.5081093174
b3458,3317.6535006970003
b3453,1070.6173433097001
b2425,2792.0557127232
b2764,2224.3761282923001
b0004,5276.1255112251001
b2400,1358.2938227202999
b4245,11869.596347916899
b0893,1736.3082965567
b2323,10906.543054072901
b2925,11998.445115063501
b0720,3086.6507610044
b3699,598.51395609610006
b2557,267.40961737480001
b1479,767.0806627003999
b1048,1515.9078717699999
b0688,1115.2609447074999
b3671,1582.2063487985001
b3212,172.82862471490003
b2780,1172.9346620509
b3984,9071.0865053773996
b3295,8215.5726252126005
b3708,487.00502673789998
b0008,7297.2682040843001
