gene,abundance
b3987,3028.4153625900999
b0114,4937.6427611834006
b0118,4637.2380780966996
b4143,14847.8319820053
b0014,10485.701933477099
b3774,15922.197243576202
b3544,6461.3325700313999
b3988,713.03965919929988
b3829,14994.398433171698
b0033,2219.4033119471001
b1241,3406.9393311650001
b0911,16452.2360248195
b3340,16692.597706095501
b2697,1869.6786806622001
b2416,5478.0648670797
b3732,12168.878830426202
b1243,7261.6967633826998
b2530,7653.1979096341001
b1136,17773.343548004701
b0436,10564.0167315258
b0115,4396.1397107121002
b3339,58506.109351782499
b3559,1843.7236792992001
b3164,4268.8939516798
b0903,2343.5664126482002
b0473,2262.1108228142998
b3734,10440.3315814661
b3172,6787.9850350955003
b3926,740.68349705859998
b2551,18107.798569586397
b0726,1252.8567423934001
b0194,3338.3762290215996
b2926,17198.7420896976
b1415,2311.6269147077001
b1761,8123.5411871452006
b3213,4515.0115185277
b2779,17936.969792637101
b3870,14058.324958385501
b2029,10172.412887762199
b0177,1526.0633703688
b1779,27519.925955492301
b1676,5794.0640136006996
b4177,6543.6389602238005
b4015,15278.960175951299
b0723,2049.6082347858001
b2150,1710.7594703314999
b3426,156.75703642650001
b4006,3103.5716386443
b0074,2654.7224367183999
b0170,12668.178388446298
b1866,1563.3702543615
b2935,3319.2176577484001
b2942,8936.842829626401
b0095,4101.2221603263997
b1612,1268.9007522211
b3783,2960.4704972390996
b3942,1095.4074171015
b1830,796.36497340309995
b3612,2880.6507245509997
b0680,1466.0047389434001
b1713,2273.2992564377
b3403,1835.3269445455999
b3871,2441.4244171179002
b2976,618.48408074330007
b3236,20054.160135898997
b2463,512.47763340839992
b0116,8117.3552980422
b1084,915.68591397440002
b1702,830.5387455847
b0655,3514.4431379788002
b0439,880.985261745
b2763,1962.4258393883999
b4391,2027.9959500129999
b0053,2300.2063202120003
b4034,824.72094963220002
b3169,2507.4754173038
b0928,4188.3804482915994
b3956,646.94771930440004
b3458,3670.2738610138999
b3453,1049.2545860170001
b2425,3017.0606430420003
b2764,3236.6781291686998
b0004,6394.4065589907996
b2400,2047.9865427317002
b4245,13270.345163808701
b0893,2259.7670903761
b2323,12178.759190679399
b2925,14634.71771291
b0720,3805.2211365769999
b3699,922.36413243289996
b2557,393.59298912099996
b1479,1063.1394135613
b1048,1856.4847953501999
b0688,1302.9391002197999
b3671,1922.3879102685
b4213,305.5796376632
b3212,431.7645173157
b2780,1492.8877345985998
b3984,10424.3484442593
b3295,9179.8639456189994
b3708,291.16033732969998
b0008,8334.262157417299
b2297,1235.3944677559
b2414,28505.2322064527
b0811,4459.8033855413005
b1002,851.15155443179992
b0907,8827.2846029356006
b3308,16322.9185906456
b2890,1955.8990823085999
b3433,14132.670827763
b3460,22264.450069228598
b1440,541.67819374440001
b3863,411.72150269949998
b2507,2005.3412007551999
b2133,565.42784978489999
b2296,3047.9095136965002
b0438,2258.5107211736999
b2533,1846.3737118092001
b1920,2893.0615682936
b0161,2586.5626657595999
b4019,307.1193102597
b2283,397.69726929889998
b0574,2141.0538259291002
b1062,4087.7987024316999
b3931,1485.4538436091
b2498,11594.1580090388
b1719,534.07694336980001
b3733,2988.3305754391999
b2095,1027.5070369701
b0098,422.75859468970003
b3359,4328.9595011485999
b1276,219.82919940439999
b3962,645.5171477934
b1286,1099.5252043052001
b2465,999.21678449259991
b0763,1523.3623583270999
b0724,1586.1000385198001
b2310,3517.8335562791999
b4058,33.956456297999999
b4383,1863.0740315756
b1261,3944.7427498444999
b0882,629.14830984110006
b3941,3725.3710439240003
b4235,1059.7080081637
b2096,4024.1755243484004
b3464,1219.262728083
b1197,324.76576285260001
b0237,2971.2541960939002
b4069,184.38802208869998
b3176,1251.2896732392999
b0325,2285.1180969151001
b1487,127.898610268
b4200,17889.508326748899
b1714,3294.9441500440003
b0072,2988.3854799061
b2476,6404.2608280939003
b0728,3905.1880903224001
b3919,8605.7909744155004
b0930,2689.9163668116003
b3162,544.56827322890001
b1852,901.42977587399992
b1876,738.43435279580001
b1854,1715.0339861258999
b3256,1744.4795394498001
b0073,5278.9054224018
b0863,2581.6052771190998
b2132,269.65928260620001
b0606,1484.3910999382001
b3553,3092.7102953489002
b1678,631.30368034730009
b0026,300.27592268720002
b0839,1151.9228456961
b0032,8486.1345992571005
b2294,2179.6934878582997
b2042,3723.4449367020002
b1288,6861.1213401758996
b0526,820.93832883660002
b3619,2179.6130043742
b3908,4134.4647856236998
b3751,3493.8870464639003
b3600,1001.2532032186
b2153,4996.8380354326
b1207,5593.8588850136002
b3916,2820.2548493920003
b0169,13957.246083465099
b0172,4858.0917583665005
b0740,3196.2600062190004
b4266,600.66648525109997
b1018,684.63906047360001
b0754,5907.0490529624003
b0185,2364.4386930739997
b1203,2577.7023838354999
b2898,2229.5485968251
b2309,6039.3117748612003
b0729,5967.4390864068992
b1740,3595.3768293723997
b0474,4604.1718039410998
b1604,2481.6291740460001
b1614,882.28934047890004
b3067,665.97403301209999
b0243,1156.5426505977
b2614,5511.2472094526001
b1215,3017.1084265246996
b0945,1279.0439673173
b2464,1269.4178183371
b0957,2545.6018488007999
b3251,4097.9591366669001
b1092,5268.3473658820003
b4139,668.16784642020002
b3357,3004.6814399721002
b0632,1613.4957503492999
b3982,4820.1422177694003
b1123,1261.7568984288
b3729,790.46407486390001
b2752,2605.6437041564
b3847,1381.5968795901999
b2039,1049.2557321534
b0755,10944.3962519908
b1452,2927.8472647520002
b4382,414.86416036949998
b3432,48.5205503699
b2526,877.83301327160007
b3306,9021.0621847766997
b1635,1362.8310058386
b3405,1638.7104721735998
b1131,1156.7647802536999
b2508,2227.0908914516999
b3448,723.35364287039988
b1236,3390.4504128277003
b4392,197.01691266220001
b0854,2051.6977931391002
b2036,1355.7076501106001
b2041,1175.8404816312
b0578,3010.7637273615001
b4267,273.62082742659999
b0767,3369.7268092442
b0126,3905.8154700675
b0324,320.18003688610003
b3011,1389.6471734689999
b1611,336.04225081369998
b0759,1254.6860501311
b0908,1444.1173920779001
b4381,1123.9483546792001
b0426,5020.8750928864001
b0166,7599.3605097913005
b0660,1533.2116909795002
b3730,737.24711026590001
b0605,24566.157321205497
b1175,2393.5019222229002
b3644,679.41593863339995
b4051,905.26031774820012
b0133,1412.2068880820002
b3605,359.05049106050001
b2687,5948.9636589214006
b3320,7551.0992135136003
b1817,2565.8668119141003
b3052,792.5285250009
b1498,139.9525209999
b3384,2661.0963540171001
b1901,450.84434582519998
b3771,574.11628266139996
b0480,636.27060199020002
b3167,2416.4789199218999
b0406,736.2600858623
b1260,5011.1461199545001
b0756,1593.5145842751999
b2599,1542.3245808393999
b2913,4340.7186962114001
b3617,161.15038627440001
b1783,319.39193465779999
b2665,3288.1217754313002
b1093,3724.4238892754997
b3960,1385.9801492397
b4107,427.43355874330001
b3234,649.56712010720003
b2000,163.62556313440001
b4227,548.44825504870005
b3347,3545.1037339338
b2514,1076.1970917223
b2417,13462.842260515101
b2114,518.87442115780004
b4054,1519.7428264510002
b2891,1593.1661724328001
b4014,469.96132585430001
b0954,5526.3396265012998
b3181,2772.1203771840001
b4226,4567.9361924374998
b4375,551.53596405120004
b3303,15185.569275791699
b0888,3116.3096311531999
b3255,2811.6987361320002
b0838,1818.3805587560998
b0168,1898.8771978856
b4252,17841.922727082201
b3305,19723.123388607299
b1646,827.58637586999998
b3447,238.2381243138
b0154,1768.9238370854998
b3957,1939.6071969926002
b3498,268.35906112509997
b0800,1093.8258169746
b0860,5195.8755308655
b3527,375.00164312679999
b1857,515.26103986980002
b2515,746.39779733660009
b2185,10903.4036402945
b1200,699.71760159070004
b0492,1887.4811273283999
b3012,614.57320976860001
b1263,1539.327803575
b3341,3075.4046515506002
b2239,227.1003246919
b1014,70.742381476199995
b1091,1971.0734331760998
b3168,275.0145697854
b4244,11242.877457583201
b0120,1724.0668578839002
b1004,6429.1589476885001
b3752,327.78900941659998
b4401,2941.4507734701001
b2091,558.91980297949999
b1095,2190.7748729651998
b0819,2543.0324665899998
b3770,2559.9005768042002
b3229,2982.0573634346997
b1658,921.05657183300002
b1851,81.391221970000004
b2231,119.10637518110001
b0727,465.07272781249998
b2679,350.47025421809997
b3244,703.28848307700002
b3958,3897.4404287090001
b2329,983.04771915360004
b4005,1770.3141757797
b2421,2068.9065067635997
b2661,305.26049219449999
b1406,492.62929419599999
b0123,1264.4023047429
b1232,1450.6981249853
b1198,471.03376902389999
b3566,142.9684404516
b1539,3008.4725735420002
b3147,274.94478605289999
b0059,83.823423424799998
b0104,1564.2614696522
b2019,2458.4041584814004
b3315,5100.2514934634
b0222,3158.5865700431
b0077,618.30006078400004
b1613,972.778779267
b3744,1416.0632548397
b3966,331.99373149090002
b3500,788.89870137949993
b2021,1325.5503319977001
b1723,1523.6887102063001
b0642,105.8335142656
b3959,4203.5401406844003
b0757,342.36812920070003
b1712,4306.6818208602999
b3986,19138.016385460502
b2962,3731.0599187184002
b4232,652.15297142680004
b2316,1754.1676373798
b3231,13138.535363917399
b3735,3454.9552786179997
b4174,1080.5536401496001
b2143,633.71122793910001
b1237,15448.3217454029
b0889,6302.3475665668002
b3764,5845.4213378521999
b3860,2686.2354841823003
b0661,509.67005618889999
b3831,1607.9164146096
b2762,1526.8696417318999
b2938,719.70584232329998
b0897,1702.8845777047
b0085,345.84609608110003
b1130,1656.7571233342999
b0197,2893.9343669894001
b1127,568.74882042670004
b0801,1296.139871462
b2521,715.39726448780004
b2131,504.43754946109999
b2523,438.80860380309997
b1431,1256.617372183
b2169,282.62708463900003
b1525,168.23179704660001
b1329,219.16520747290002
b0423,21.222646990099999
b0419,589.95592353649999
b1247,48.570638259200003
b4154,93.314661959399999
b4037,806.59325567880001
b2947,814.59579327530003
b0932,190.07089228479998
b2320,585.3157916358
b2499,2591.1392081852
b1281,923.34943598500001
b0015,822.57294406389997
b1189,158.7776357724
b0381,364.21371928230002
b2478,3441.3061390753005
b3225,114.42266353719999
b4025,306.71386658019998
b0678,1751.4890646197
b2518,11499.419030708001
b2699,1233.1834212896999
b2567,627.80805752749995
b0471,4323.5766076710997
b2007,11021.576542955701
b1056,1317.0279929430999
b1850,4615.4622593163003
b0386,1506.1530656312
b0125,929.31845031880005
b0820,377.87288844760002
b2415,18694.292517750302
b1333,1120.8233019478
b0094,847.06922371550002
b0145,4415.4836060769003
b2262,650.89666023780001
b3209,1693.6797854979998
b1064,2430.4058490367001
b0369,721.33061981850005
b3670,2574.9202731127998
b2480,4876.6086122996994
b3495,17753.349424544398
b2287,914.37051912309994
b3363,3338.5866008723997
b1637,768.77110366630006
b2662,239.91013639580001
b3967,179.40822285459998
b0525,6296.7359962077999
b4322,248.85867581069999
b0054,135.26305243019999
b1967,1793.4073490101
b3620,189.39637804189999
b1376,1117.2077236949001
b0607,1464.6378021707001
b1831,789.2458301273
b3407,326.23080472970003
b0628,526.1113107891
b2569,351.99892902720001
b0891,1192.1376179027
b0415,7500.3966086139999
b2494,275.04779201360003
b2217,1637.9616925045002
b0870,642.81880851139999
b2431,511.91298961910002
b1743,582.91991652930005
b2989,984.36572705109995
b2838,687.70939850339994
b2366,143.86269315760001
b3056,62.6947266966
b0150,30.5332131718
b2319,1040.7834187034
b4349,227.04085384869998
b1749,637.38462747870005
b0565,385.23036411539999
b3287,1316.5551540677
b1718,2479.8126122537001
b0242,471.20625898139997
b2914,3698.3738947059001
b1324,25777.9157782822
b1864,1095.2010679374
b3866,1101.9544629299
b3701,630.87765944609998
b3925,188.61243832740001
b4207,3302.5540532325999
b2183,1783.0216730085001
b0753,1111.0103572908999
b1765,2022.3658196194001
b2893,1128.4131522663999
b3509,4263.7413639212
b2113,964.26935212289993
b3003,189.09375045150003
b2582,548.15535479489995
b3290,93.559464331900003
b2422,654.22273669540004
b2155,175.96196900430002
b3845,251.5099365895
b2965,60.1050130028
b1732,316.23791156970003
b4214,1081.7888716528
b1623,610.44597753879998
b0071,4419.718511264
b1847,2332.8757296571998
b0393,607.00004138089992
b1059,1183.0780185474
b0082,580.31206920989996
b3319,11478.145318876699
b3414,4132.1783876271002
b2579,1105.4440086878001
b0469,2863.0327753389001
b2094,3921.8193507797996
b1033,807.22482779439997
b1113,129.85113525759999
b1516,320.62345861669996
b0573,16184.078226699299
b0334,28.2869121813
b3001,186.2006213327
b0003,1505.2884769988
b2601,1304.7380104289
b1710,1737.0053291544
b3805,314.62763136550001
b2020,2296.7464537217002
b0151,154.4865915808
b3731,5894.3138304333997
b4142,12252.525924926598
b1087,1667.1286019932002
b3189,741.9036056612
b2564,976.23345536520003
b3642,200.02504960709999
b3985,12974.5245096376
b3983,7349.4200433239002
b4203,13920.242455435
b3321,17111.463612014399
b3314,718.34233864689998
b3296,745.11397972589998
b3649,4123.3516195920001
b3833,987.53465724279999
b3938,2245.3262146929997
b2268,179.02003922099999
b3697,514.18154616080005
b0683,3194.8043525233002
b3455,568.33630081370006
b2834,930.42710914369991
b0812,1085.9039706903
b2529,10088.096093492701
b2669,3949.1295693609004
b4135,804.67194773660003
b0220,2502.8450701155998
b3200,1483.5292738482001
b0441,40.416299576199997
b3310,2879.5715936914003
b0675,837.49246814270009
b1638,917.12651808300006
b0384,270.22056958780001
b1267,1236.0766584664
b2125,147.38029083309999
b0523,2831.6362763496995
b3302,6726.4998947965005
b2610,266.28458317180002
b2581,1011.5010609756
b2024,1081.2232984805
b3590,236.65484349869999
b2908,347.26961939029997
b2232,968.80927503079999
b0611,461.24492223650003
b0674,345.16236854699997
b2733,65.842854030500007
b4389,144.97281060489999
b0356,1113.9183071307
