gene,abundance
b3987,1510.0317319919
b0114,2648.0750555156001
b0118,3925.9152970560999
b4143,12770.852505108101
b0014,7001.8185926172
b3774,10411.0459827007
b3544,9070.7894932048002
b3988,251.8754255035
b3829,4930.0099233029996
b0033,692.91295182940007
b1241,1845.8770866266
b0911,9908.5260215192011
b3340,9919.8418708205008
b2697,962.94870174369998
b2416,2476.0754131423
b3732,11372.305558446298
b1243,6848.8923994313
b2530,5219.5479254827005
b1136,12945.817977621598
b0436,6706.0977174565005
b0115,2021.5646098097
b3339,39021.7351281589
b3559,1282.9153377456
b3164,2996.5897371254
b0903,1835.6816751655999
b0473,1754.3806692676001
b3734,10061.817834708399
b3172,3341.8206404566999
b3926,13970.0674696715
b2551,10476.623574035799
b0726,749.82016668649999
b0194,2171.3406609127001
b2926,15051.481903350601
b1415,6691.3350491518995
b1761,4022.5238176359003
b3213,1726.9258024242001
b2779,13198.8632374478
b3870,6108.1003091444991
b2029,4885.7452769171996
b0177,1093.8389121121002
b1779,18962.957682770601
b1676,3691.6345364294002
b4177,4696.7599609009003
b4015,22481.976242332901
b0723,1747.2118279914998
b2150,7233.9512796334993
b3426,4153.9499817213
b4006,1464.5485408242002
b0074,1964.2142822179001
b0170,7658.9659023431996
b1866,893.28849555789998
b2935,2301.8191952785996
b2942,4596.9898607695004
b0095,2705.5316199862
b1612,1204.7673451061999
b3783,1806.9560706701002
b3942,832.46532281689997
b1830,606.67927410419998
b3612,1718.4425316902
b0680,781.30269511029996
b1713,1396.5847752184
b3403,4213.7124714925003
b3871,983.26602256499996
b2976,831.26210761720006
b3236,22148.756451453301
b2463,476.71283458050004
b0116,4950.3157940596993
b1084,346.94411324230003
b1702,729.46166951529995
b0655,3620.9453074696003
b0439,441.58982246519997
b2763,1124.2696660833999
b4391,1194.4137715576001
b0053,1670.7099975163001
b4034,1299.5941217192999
b3169,1728.1398858058999
b0928,3859.9732002241999
b3956,265.23034832490004
b3458,2785.2533880953001
b3453,822.22245474470003
