gene,abundance
b0166,866.34183025610002
b0200,174.22660187029999
b0596,11.0748166785
b2096,1119.4055462558999
b0755,3802.1362205615001
b2029,1161.2296364468
b0415,7302.0562738256003
b1612,295.7434221771
b2095,184.0950299278
b0754,586.97932801419995
b0819,1659.4768907067998
b3612,546.43195070579998
b4213,166.47199070170001
b3941,480.16140098430003
b1200,147.19576219780001
b4214,1181.1333316353998
b3439,313.97412459219998
b2041,90.780490619399998
b1487,968.62607962720006
b1678,5744.3912333159997
b2303,327.09355410069998
b0154,185.6522501323
b1199,275.74603628220001
b1764,70.223827514500002
b2601,347.53351626010004
b2262,108.3957470782
b3012,789.20163627289992
b1738,622.1260380297
b4129,161.89637334350002
b2038,121.2611789302
b0085,65.839178150699993
b3041,177.27184859279998
b4232,44.676807945500002
b1990,373.76480320640002
b1896,34.0119116101
b1198,75.897698050800003
b1190,48.590688099300003
b0207,30.779614438899998
b0110,118.21571021299999
b0925,104.41634761450001
b1270,50.939803335900002
b0224,1.7844918378000001
b1704,18.846608310600001
b3925,34.623124267899996
b2436,17.273413501700002
b3432,13.1710880911
b1113,10.9906190622
b4053,11.5911857123
b3579,3.8811334007
b3788,10.0776670022
b3081,1.7139235905000001
b0662,0.13174030949999999
b2965,8.838015522300001
b3132,0.82024704230000001
b2746,7.4907016113999996
b4571,2.9589118469
b4122,1.3347997051
b1478,0.1146194848
b1736,0.63927378869999996
b3987,245.26277792499999
b0114,536.28711308009997
b0118,664.47302237860004
b4143,2666.060522016
b0014,3174.1312791686
b3774,1566.9796783414999
b3544,3045.6959189941999
b3988,70.729806015400001
b3829,781.29974416360005
b0033,192.2039381896
b1241,646.06638494769993
b0911,2036.3099458597001
b3340,1874.417967549
b2697,202.03119867929999
b2416,720.08554040619993
b3732,1754.4842958585998
b1243,5069.9250116983003
b2530,480.36390052489998
b1136,2233.0753669343999
b0436,1174.7912584137
b0115,545.4455791593
b3339,6164.5003079960998
b3559,181.87188184459998
b3164,487.20205581260001
b0903,366.80022764910001
b0473,329.88789265209999
b3734,2167.1000374729997
b3172,453.53912652800005
b3926,493.47603253519998
b2551,1582.5296291069001
b0726,209.22475816799999
b0194,361.72477624930002
b2926,4931.5987444603006
b1415,464.75890487539999
b1761,523.66121953219999
b3213,1001.5941108306
b2779,3554.2145576887001
b3870,2946.7873520910998
b0177,397.50788873350001
b1779,4102.1453038615
b1676,928.75845967580005
b4177,788.83655777499996
b4015,1832.5120269954998
b0723,422.85299242949998
b2150,4387.3066815771999
b3426,94.656415019500002
b4006,276.79638563099996
b0074,187.7011739038
b0170,2974.7677227657
b1866,183.70540216310002
b2935,254.4170750445
b2942,489.14513405989999
b0095,735.23704964289993
b3783,284.07877553009996
b3942,133.95682467879999
b1830,701.64762321169997
b0680,196.7265439988
b1713,241.70919434380002
b3403,419.24495003470003
b3871,286.07773736950003
b2976,185.7424067794
b3236,2977.1585300023999
b2463,86.267294840800005
b0116,1947.6218181345998
b1084,178.26970654799999
b1702,138.78066753280001
b0655,7356.1707277342002
b0439,140.84395218129998
b2763,110.27530234790001
b4391,202.9374511796
b0053,1673.7540775389002
b4034,298.40757988569999
b3169,496.25969968730004
b0928,422.65374477
b3956,101.28674996940001
b3458,3053.4880124415999
b3453,1038.8154687811
b2425,2128.1200933392997
b2764,283.18850102919998
b0004,727.78667388100007
b2400,518.36124514890003
b4245,1564.5792175304
b0893,455.57318062040002
b2323,1624.1703587014999
b2925,2303.6783430810997
b0720,397.65815679309998
b3699,116.34470717479999
b2557,38.396257588400005
b1479,109.2491003937
b1048,1262.6626769892998
b0688,170.61254500549998
b3671,182.17792991439998
b3212,84.817196112200008
b2780,278.5614028274
b3984,2254.9961201706001
b3295,1436.6619615421
b3708,207.75258685790001
b0008,1909.3324087945002
b2297,299.59482150490004
b2414,3419.5895786806
b0811,10788.368258180699
b1002,741.0138235236999
b0907,1313.0144435980001
b3308,5024.2100592534998
b2890,322.72581464019999
b3433,1244.6142074505001
b3460,23101.042419113797
b1440,1958.9539527127999
b3863,47.203231115200005
b2507,155.76938017239999
b2133,120.1969964657
b2296,711.00083158159998
b0438,187.1614223652
b2533,185.71525574310002
b1920,3602.8899862815997
b0161,1952.6226485504999
b4019,24.642967197399997
b2283,113.5785397993
b0574,1248.2676499730001
b1062,924.52755450699999
b3931,240.84292161819999
b2498,2605.4676566100002
b1719,72.466493740700002
b3733,611.79781754210001
b0098,46.350558840799998
b3359,465.23172874919999
b1276,178.55188875089999
b3962,160.97732120430001
b1286,185.32556647249999
b2465,265.511182878
b0763,6063.3071683674998
b0724,272.63048248249999
b2310,12458.476251870501
b4058,10.9732363642
b4383,971.75241361910003
b1261,441.84173477580003
b0882,73.060021343399995
b4235,153.7863997494
b3464,151.55827232659999
b1197,443.36447944059995
b0237,482.89733882749999
b4069,173.26826019040001
b3176,154.22804670030001
b0325,739.15041878990007
b4200,12773.316834257501
b1714,493.21142484199999
b0072,131.58407441
b2476,820.82958534800002
b0728,670.87667400769999
b3919,3229.8199799691997
b0930,587.76737669550005
b3162,57.397900066499993
b1852,115.59886791540001
b1876,125.85698039360001
b1854,1228.9000819891
b3256,248.9008524377
b0073,610.35332613160006
b0863,5183.8955035934005
b2132,172.94193167810002
b0606,249.48774622259998
b3553,214.46579327990003
b0026,105.57707646
b0839,577.08675940720002
b0032,744.08222603859997
b2294,375.28978336029996
b2042,716.49797377410005
b1288,754.49590568100007
b0526,126.9009097516
b3619,385.45827742379998
