gene,abundance
b2432,2880.4790373615
b3439,3318.4312775529
b1885,3440.6898903875
b1097,3501.4574175022
b1421,4635.3860112674
b1076,5150.2069353785
b3869,6053.5532120612
b3099,6790.8033146816
b0795,6947.2675209093
b1683,6970.3400976991
b0951,7189.2227546392
b2291,7363.4257443387
b1194,7364.967670529
b2785,8011.2673555477
b0969,8289.4861474528
b2293,8342.7503374568
b3438,9001.2274040113
b1857,9257.482320407
b3232,9376.559606978
b4392,9592.5772806948
b1766,9654.7302242439
b2280,9655.0908627212
b3655,9784.6376648475
b3247,9864.9875173864
b3058,10872.7954016493
b2811,10929.2290966775
b0273,11053.7761480751
b3990,11471.5662405363
b2369,11754.3454207601
b4111,11996.8229573125
b2026,12190.7346094125
b2475,12538.826266559
b2352,12637.0381617937
b3202,12852.7138923067
b3526,12876.9426944221
b2685,12882.5744278015
b3813,12925.1984534202
b3030,13053.268287631
b3887,13079.6988464418
b3003,13189.9571574856
b2423,13311.7004377649
b0287,13352.2006576134
b0522,13481.6542268468
b3423,13592.4764013618
b4180,13608.5273662567
b0096,13754.3492132094
b0947,13755.1749186911
b0712,13939.5154576876
b0357,13983.531668629
b3755,14088.8865570202
b2574,14110.3157293597
b0599,14287.3352886845
b3591,14307.327276387
b1881,14341.1410088648
b3741,14376.8318397745
b2249,14452.7748657709
b1446,14818.9741300552
b0887,14846.4293372722
b4388,14922.0299925067
b1063,14941.4397728269
b2750,15011.8861001215
b3868,15024.3588474724
b0450,15055.8267703626
b4278,15106.2564305287
b3352,15253.4606793516
b0637,15480.0099964673
b0949,15941.9939993496
b2817,15984.4158225944
b3917,15989.2229314517
b3724,16177.6628968329
b3281,16244.8799961618
b0086,16301.0094776748
b3925,16520.1280674528
b3613,16547.1722216636
b3187,16938.0578416727
b0758,17006.1317768291
b3752,17067.7663183519
b1806,17135.7708748378
b4173,17146.792064713
b0030,17213.1620931017
b4386,17398.0914053756
b0174,17470.2929712212
b4360,17522.1369358219
b0090,17882.6276648409
b0878,17908.0593142876
b0143,18036.1345391563
b2573,18133.7800533444
b4323,18134.5570313246
b0435,18216.8921658768
b3177,18219.6075480771
b3725,18371.5319896173
b1277,18393.3552740079
b2965,18413.344313252
b2299,18446.5544913407
b3070,18532.3959470206
b4024,18587.8378918939
b0259,18685.852708461
b0662,18884.3245411572
b3838,19045.7467944131
b3542,19080.086687949
b4033,19127.5693654823
b0490,19427.415075477
b0410,19478.2214983509
b3195,19551.7086475722
b1193,19624.7543187564
b4049,19716.4882148031
b0760,19765.3652298709
b2501,19894.8942483213
b4352,20150.2748821212
b2500,20219.6822037229
b3250,20243.4645337222
b3064,20270.6639099896
b1180,20274.1967551964
b3396,20373.4040471679
b2745,20481.2451697291
b3702,20555.0705777323
b0429,20611.7242851221
b0652,20996.1981843604
b0778,21139.2435942503
b3462,21234.1289637331
b1079,21239.3156493235
b0765,21367.6397666075
b2580,21611.8672201546
b2948,21682.6678658445
b1323,21685.9850685762
b0009,21765.2106062291
b0506,21790.4870560476
b4537,21813.2071271804
b3974,21901.0515740952
b3005,21912.2733216889
b1703,21918.0629770734
b2255,21926.8462074958
b3740,22141.7127641513
b3648,22208.4259258061
b0102,22253.9960944196
b1680,22657.9900699295
b3706,22765.9078239294
b3772,22990.4586214016
b3416,22993.3115401534
b1917,23107.1135726577
b0905,23329.8123451258
b1300,23401.3682153248
b1870,23588.3200275193
b3687,23960.9159257117
b1424,24153.7938976839
b3068,24334.0804794203
b1086,24433.7735599665
b3356,24462.9689717828
b4219,24529.0630166648
b3885,24529.5856119827
b3179,24692.9545799078
b2582,24729.927302063
b4269,24814.0773936213
b0405,25308.3170261657
b0091,25318.9316913264
b1615,25371.3310943928
b3933,25455.0941980057
b3448,25617.8983130118
b1887,25663.8611019167
b0444,25925.5631994396
b1176,25984.1460953963
b2168,26036.5840926332
b3163,26055.9684897396
b1487,26058.6889997714
b3850,26167.2237579104
b0465,26213.8106864471
b2155,26591.3949265554
b3244,26616.9615638241
b1678,26776.8240261804
b4043,26935.1788817386
b1682,27075.1353680971
b4113,27084.4623637965
b3697,27220.0959792341
b3279,27399.7786590363
b3924,27480.690248164
b1583,27651.6733071864
b1187,27703.0091460829
b0584,27712.9296632155
b0481,27850.3443486446
b1918,27908.6065369075
b0766,28200.1501318714
b0200,28403.5287705091
b0421,28455.4914582897
b2351,28530.9306887461
b0595,28893.0972557761
b2187,29283.2185874545
b0124,29570.5619477011
b2795,29737.1354918592
b3210,30252.0530928803
b0452,30349.3773567582
b0196,30661.656515938
b2742,30740.5737524342
b2958,30744.2170422794
b1198,30869.8466417749
b2601,31019.078895546
b0346,31034.4935228951
b2600,31043.104529264
b3572,31211.5475398729
b0391,31524.4376947727
b2418,32473.6392114723
b3617,32544.206824721
b2342,32612.5166330712
b2315,32631.49027511
b3034,32714.5225086099
b0783,32726.3550580231
b3054,32863.9076867982
b2951,32881.6862631689
b2065,33012.4831362195
b2584,33031.258717453
b2393,33206.0703287783
b3432,33252.8450206068
b1908,33346.6564874428
b2411,33533.0145262031
b0914,33564.3313681873
b1117,33661.6556811443
b2066,33988.8723183206
b2910,34001.7298287594
b1414,34499.8978907084
b2306,34561.7186069415
b2794,34669.1641436284
b1664,34727.3484473437
b1413,34732.2322156562
b2527,34733.7367181094
b1305,34933.0840691802
b3698,34940.9544869834
b1976,35219.0586174477
b0967,35333.5842502221
b0424,35408.6813624982
b0651,35418.3320670715
b0112,35440.9017243486
b0127,35599.3988017549
b1271,35603.6613634683
