gene,abundance
b0002,5102
b0003,658
b0004,9394
b0005,
b0006,167
b0007,
b0008,12880
b0009,204
b0010,
b0011,
b0013,
b0014,11433
b0015,624
b0018,
b0019,
b0020,
b0023,28815
b0024,
b0025,
b0026,2261
b0027,
b0028,2121
b0029,314
b0030,57
b0031,1853
b0032,3821
b0033,3505
b0034,
b0035,
b0036,
b0037,
b0038,
b0039,
b0040,
b0041,
b0042,
b0043,
b0044,
b0045,
b0046,
b0047,
b0048,408
b0049,119
b0050,
b0051,548
b0052,
b0053,2431
b0054,54
b0055,
b0058,
b0059,187
b0060,
b0061,
b0062,
b0063,
b0065,
b0066,
b0067,
b0068,1721
b0069,
b0070,
b0071,11316
b0072,5772
b0073,5491
b0074,4352
b0075,
b0076,
b0077,1254
b0078,1686
b0080,299
b0081,
b0082,291
b0083,
b0084,
b0085,243
b0086,262
b0087,
b0088,132
b0089,
b0090,
b0091,243
b0092,210
b0093,
b0094,571
b0095,3599
b0096,
b0097,
b0098,1083
b0099,
b0101,
b0102,263
b0103,
b0104,927
b0106,
b0107,
b0108,
b0109,537
b0110,
b0111,
b0112,687
b0113,307
b0114,10114
b0115,6478
b0116,16157
b0117,
b0118,7847
b0119,
b0120,
b0121,721
b0122,
b0123,925
b0124,433
b0125,1785
b0126,4558
b0127,351
b0128,
b0129,
b0130,
b0131,
b0132,
b0133,1442
b0134,3411
b0135,
b0136,
b0137,
b0138,
b0139,
b0140,
b0141,
b0142,
b0143,
b0144,
b0145,6278
b0146,
b0147,
b0148,
b0149,304
b0150,
b0151,
b0152,
b0153,
b0154,2596
b0155,
b0156,2358
b0157,
b0158,
b0159,1239
b0160,
b0161,2153
b0162,
b0163,3149
b0164,
b0166,7680
b0167,22
b0168,2205
b0169,29743
b0170,21717
b0171,1985
b0172,7088
b0173,
b0174,
b0175,
b0176,
b0177,717
b0178,12630
b0179,1256
b0180,6855
b0181,996
b0182,526
b0183,
b0184,
b0185,3066
b0186,
b0187,396
b0188,
b0189,1391
b0190,
b0191,
b0192,
b0193,
b0194,5049
b0195,
b0196,
b0197,14855
b0198,
b0199,828
b0200,
b0201,
b0204,
b0207,222
b0208,34
b0209,
b0210,
b0211,
b0212,444
b0213,
b0214,
b0215,
b0217,
b0218,
b0219,
b0220,2031
b0221,96
b0222,2811
b0223,
b0224,
b0225,
b0226,
b0227,
b0228,
b0229,
b0230,
b0231,
b0232,
b0233,
b0234,
b0235,
b0236,
b0237,3426
b0238,1881
b0239,142
b0240,2539
b0241,
b0242,552
b0243,730
b0244,
b0245,
b0246,
b0247,
b0248,
b0249,
b0250,
b0251,
b0252,
b0253,
b0254,
b0256,
b0258,
b0260,
b0261,74
b0262,
b0263,
b0266,
b0267,
b0268,
b0269,
b0270,
b0271,
b0272,
b0273,
b0276,
b0277,
b0278,
b0279,
b0280,
b0281,
b0283,
b0284,
b0285,
b0286,
b0287,
b0288,
b0289,
b0290,
b0291,
b0292,
b0293,
b0294,
b0295,
b0296,
b0297,
b0300,
b0301,
b0303,
b0304,
b0305,
b0306,
b0307,
b0308,
b0310,
b0311,
b0312,
b0313,
b0314,
b0315,
b0316,
b0317,
b0318,
b0319,
b0320,
b0321,
b0323,
b0324,
b0325,2219
b0326,
b0327,
b0328,
b0329,3939
b0330,
b0331,
b0333,
b0334,
b0335,
b0336,
b0337,2820
b0338,
b0339,
b0340,
b0341,
b0346,15
b0347,
b0348,
b0349,
b0350,
b0351,
b0352,
b0353,
b0354,396
b0355,
b0356,751
b0357,306
b0358,
b0363,
b0364,
b0365,
b0366,
b0367,
b0368,
b0369,2659
b0375,
b0376,
b0377,
b0378,
b0379,
b0380,
b0381,64
b0382,
b0383,
b0384,
b0385,
b0386,1030
b0387,
b0388,403
b0389,1150
b0390,
b0391,
b0392,
b0393,632
b0394,255
b0396,
b0397,
b0398,
b0399,
b0400,
b0401,
b0402,
b0403,
b0404,
b0405,
b0406,263
b0407,3330
b0408,257
b0409,43
b0410,478
b0411,273
b0412,
b0413,332
b0414,64
b0415,11177
b0416,3052
b0417,234
b0418,
b0419,589
b0420,117
b0421,225
b0422,533
b0423,
b0424,788
b0425,
b0426,6977
b0427,
b0428,
b0429,
b0430,
b0431,3239
b0432,3152
b0433,
b0434,1655
b0435,2351
b0436,15336
b0437,6506
b0438,2314
b0439,2319
b0440,18370
b0441,1123
b0442,
b0443,60
b0444,549
b0445,
b0446,
b0447,
b0448,
b0449,
b0450,
b0451,
b0452,266
b0453,2881
b0454,
