id,abundance
YGR192C,20684.1539248
YBR118W,17669.3442775
YCR012W,22805.4232915
YHR174W,19801.6742665
YDR385W,7152.03545454
YLR044C,12808.2007345
YLL024C,15878.3134938
YPL231W,2365.23509492
YKL182W,2711.7485937
YNR016C,1817.57627743
YMR186W,10013.0234461
YNL209W,8763.1731154
YAL038W,25562.6784459
YLR167W,1185.54071195
YOL086C,15536.224244
YML045W,4268.37318703
YLR249W,7477.84978855
YBR079C,2358.75673038
YJL130C,1934.4238526
YOR063W,10152.0712705
YAL003W,2255.7349332
YBR196C,3431.08407166
YPL106C,5509.13800652
YJL080C,1240.52780615
YKL060C,10194.7336712
YJR045C,1650.95590148
YER091C,6287.25279207
YLR304C,1348.84290118
YOR335C,1584.19714488
YDR127W,752.833362934
YLR259C,1515.06825491
YJL034W,1886.15213629
YBL076C,699.592266987
YEL034W,3129.28708915
YKL152C,11785.8832073
YPL160W,761.357942624
YLL045C,7677.96804947
YLR150W,774.78869839
YGR094W,1221.96176141
YLR106C,339.142383993
YGL206C,739.931936954
YGR234W,7949.42732485
YOR341W,1360.29854581
YIL078W,758.758696361
YGL253W,2022.59281399
YMR229C,535.665942635
YMR012W,775.815756184
YDR037W,1428.40037799
YGL009C,2535.72668871
YBR121C,1819.55138858
YDL185W,1781.5502502
YOR027W,890.617116209
YER165W,2054.51061004
YGR264C,597.336812937
YLR180W,2025.99000515
YJR109C,1471.299792
YLR340W,3074.77402162
YGL008C,5648.42284426
YMR031C,774.298870827
YJL138C,592.478039527
YGR204W,767.362280496
YJR016C,1293.22377142
YJR007W,510.645234686
YML072C,398.735437373
YOR198C,965.197312936
YMR169C,703.060562153
YER110C,1268.8113977
YFL018C,1312.42185172
YNL064C,945.288192623
YDR226W,961.405099543
YER043C,7230.96089578
YDL215C,409.882964659
YPR145W,531.842127464
YJR064W,270.463819359
YOR375C,1411.17740883
YMR116C,4547.10087141
YOR317W,593.023170202
YKL210W,2442.18542502
YDL055C,1620.22317211
YGL173C,468.267250021
YLL026W,775.53134018
YGL147C,3261.856549
YBL047C,245.024387848
YBR084W,522.140381534
YNL121C,649.629855536
YMR217W,1877.22463393
YNL247W,490.048775696
YOR168W,480.141618207
YLR432W,1099.66287949
YGL135W,1215.48339687
YLR355C,3935.13243513
YOR374W,1697.01549332
YPR074C,1487.65371225
YPL061W,8613.85471306
YPL226W,446.77014035
YGL245W,999.485242363
YML063W,6115.89214938
YCL043C,743.550340566
YDR353W,368.516236899
YGR155W,1890.02335413
YMR108W,683.459559178
YPL093W,489.487844132
YGL195W,371.091781828
YGR061C,651.999988906
YGR240C,568.753004488
YHR027C,445.253254993
YLR335W,501.196302982
YLR354C,5237.99474893
YDL126C,1000.43329571
YER069W,467.232291782
YKR001C,672.880863901
YMR205C,725.442521615
YIL115C,474.990528349
YCL030C,619.110438168
YGR244C,504.625095925
YJR137C,318.948847676
YML070W,668.393411386
YBR011C,1687.69296873
YDL171C,1516.41133048
YGL148W,378.494498389
YDR129C,268.164789989
YIL053W,6771.1550219
YOR332W,693.485223336
YDL195W,538.952527575
YHR183W,1856.05144248
YLR197W,582.776293597
YMR309C,458.099377861
YKR095W,93.4227570228
YBL039C,675.582815943
YER025W,849.850822236
YGR162W,209.74890285
YGR090W,302.365814526
YNL302C,3692.90480466
YOR310C,464.159018845
YOR326W,1442.06814709
YER006W,341.702128033
YBR039W,740.54817163
YHR007C,500.216647856
YKL157W,358.05604829
YMR145C,1247.55920182
YOR007C,843.293453244
YBR181C,4706.92686503
YGR116W,226.640053337
YNL069C,5671.72915574
YDR172W,274.943371429
YPR191W,398.688034706
YDR341C,490.269988144
YFL022C,970.964637471
YGR218W,377.878263712
YLL018C,849.613808899
YLR027C,735.665696887
YOL109W,2385.14421524
YBL024W,307.098180823
YBR143C,629.270409883
YEL031W,303.242763874
YML126C,1441.9101382
YHR064C,870.945009234
YNL055C,8061.61363772
YAL035W,177.420283675
YFL039C,2479.1595056
YLR061W,1068.53512789
YDL066W,808.452492697
YDR238C,145.889609402
YGL026C,937.940779175
YJL167W,823.621346268
YER003C,322.970173961
YER120W,293.51731661
YGL076C,10570.7948327
YHR019C,809.479550491
YML008C,749.199158433
YDR233C,1219.19660581
YER073W,592.801957754
YHR020W,771.478412116
YIL075C,1135.37288894
YLR153C,664.056067318
YBR086C,242.164426914
YDR050C,437.716230874
YLR309C,168.121460418
YOR206W,279.059503049
YOR323C,361.160923005
YBL030C,2271.21980456
YDR258C,707.152992439
YER036C,669.712785629
YJL014W,392.983913727
YBR245C,318.964648565
YKL212W,381.95489311
YNR050C,364.550213725
YDL097C,332.640318113
YDL174C,199.707437803
YER070W,349.128545927
YGR180C,1192.73011651
YJL008C,325.498316223
YPR041W,1117.12286199
YDR099W,462.563129042
YER052C,250.380889266
YKR097W,576.692951279
YBL022C,500.706475419
YDL040C,235.820369926
YEL071W,610.285641584
YER065C,2355.675557
YKL085W,421.393912396
YLR058C,834.444955327
YLL048C,249.638247476
YBR218C,395.764870215
YDR023W,2130.27587346
YDR150W,236.499808159
YNL287W,233.90846234
YCR053W,1310.44674058
YDL147W,457.996672082
YDR158W,2173.49130525
YEL055C,225.478687986
YER074W,1350.89701677
YJL041W,311.317018223
YNL138W,415.950506088
YOL127W,3911.27309254
YCL057W,179.419096151
YER103W,481.903417346
YGR254W,685.205557428
YLR060W,328.026458485
YPL019C,285.142845367
YPL145C,608.041915327
YPL260W,310.076648425
YJL177W,2636.85237919
YJR077C,428.204095614
YBR106W,420.232547044
YCL050C,527.141362945
YDL124W,339.29249244
YDR060W,241.263776233
YDR168W,202.512095625
YHL015W,6960.76569154
YHR068W,340.074636452
YPL048W,290.807464123
YPL078C,444.281500311
YDR188W,244.550361174
YDR212W,375.342221006
YHR179W,203.815668979
YHR203C,5468.84573922
YLR129W,268.196391768
YOR209C,325.703727782
YDL084W,977.443002017
YDL130W,283.07292889
YFR053C,425.328333791
YGL105W,548.030138385
YGR103W,205.372056559
YGR130C,385.660201612
YGR185C,2185.42097654
YGR285C,658.399349007
YKL081W,4486.10943934
YLR222C,120.592385894
YLR314C,1448.38850275
YLR410W,132.648464305
YMR079W,193.584593262
YDR074W,168.713993761
YFR030W,207.868597042
YFR044C,624.861961813
YGL030W,3602.28670546
YIL155C,275.409497659
YMR146C,660.327057481
YMR226C,341.907539592
YPL028W,365.063742622
YBL099W,590.574032386
YBR025C,2008.29300932
YBR263W,326.817690466
YJL012C,412.197794918
YJR121W,479.398976418
YKL054C,346.876919225
YBL027W,1423.5811068
YBR088C,634.998232195
YDR447C,2299.89841834
YGL167C,386.236934066
YHR208W,298.865917583
YLR109W,2035.70755197
YNL112W,321.461189049
YOR165W,177.823206348
YOR361C,481.058069777
YFL014W,652.600422693
YJR105W,376.598391692
YOL097C,276.199542115
YBR248C,317.558369432
YCR088W,196.681567533
YDL145C,1093.34252384
YDR234W,144.262117821
YMR062C,356.77617627
YMR105C,280.007556397
YOR243C,153.063213071
YDL103C,255.516178235
YDL140C,533.714532826
YDR170C,690.056430393
YHR052W,201.263825383
YJR139C,1104.48215068
YLL001W,179.363793039
YLR429W,224.680743084
YPR010C,270.400615802
YPR148C,172.601012488
YCL040W,1232.78537047
YCR093W,192.660241248
YDR194C,183.65373444
YFR010W,182.879490872
YJL111W,703.250172822
YNL134C,438.996102894
YFR009W,296.314073987
YIL018W,1079.59575029
YNL061W,371.455202278
YNL087W,140.501506207
YNL243W,155.204233549
YOL098C,285.055940477
YDL058W,134.647276781
YDR012W,4322.49123233
YDR450W,1870.35124715
YEL046C,288.389928085
YHR193C,1289.9055847
YJL050W,116.831774279
YLR303W,2668.6911708
YLR389C,119.731237436
YML010W,170.618000902
YNL007C,1091.99944826
YNL241C,499.173789173
YPL217C,135.903447468
YBL015W,168.690292427
YDL168W,198.743583566
YLL040C,114.832961803
YOL039W,237.38465795
YOR142W,475.883278585
YOR230W,589.562775481
YDR368W,369.819810252
YER080W,201.96696495
YLR075W,327.947454039
YNL137C,161.39818209
YOL145C,99.6167055645
YBR015C,179.284788593
YBR048W,12353.9251718
YDL074C,115.939024043
YDL226C,182.666178869
YGL092W,144.309520489
YGL123W,1967.92173757
YGR211W,247.884348782
YIL043C,310.400566653
YIL125W,379.608461073
YJL109C,675.100888825
YKL056C,1481.41236104
YKL150W,475.567260802
YLR448W,2662.44981959
YML054C,269.168146449
YOL027C,193.434484816
YPL043W,122.725505927
YBR249C,732.268505722
YHR190W,424.182769328
YOR184W,205.379957003
YBR127C,1236.8145972
YBR286W,1949.59270617
YFL016C,197.787629773
YIL136W,633.971174401
YMR235C,362.598803917
YPR112C,210.918168646
YBR208C,264.980910828
YJL191W,3180.16595217
YLR244C,178.976671255
YML075C,193.039462587
YMR083W,610.040727803
YMR129W,196.855377314
YPL063W,124.123884616
YPL091W,245.158695406
YPL126W,78.9388719953
YDR101C,250.831214606
YDR298C,1478.72620989
YIL051C,2383.48512188
YJL020C,107.485548355
YJL026W,1056.13142992
YJL076W,88.0741560499
YKR046C,286.809839171
YLR028C,434.516550824
YML128C,155.741463779
YNL071W,565.537523548
YNL096C,1154.57096924
YOR086C,1353.34615459
YDR002W,239.810094433
YGL202W,459.995484558
YGR178C,128.998458915
YHR039C,226.395139556
YHR049W,301.394059844
YKL104C,269.207648672
YKL195W,168.137261307
YLR216C,391.46702837
YLR359W,731.723375047
YMR189W,150.945893926
YNL010W,246.225255423
YNL175C,242.820163813
YPL079W,16190.3810543
YDR189W,94.5051179286
YEL058W,169.172219546
YGL207W,275.148782988
YIL041W,2653.75933057
YKL035W,519.64384105
YLR325C,1120.12503092
YOR096W,10551.0437213
YOR151C,242.843865147
YDL100C,192.865652807
YDR507C,216.867203406
YER178W,222.041994598
YGR209C,1166.89566277
YJR009C,634.121282848
YNL001W,128.390124683
YOL021C,180.161737941
YOL040C,678.948405329
YOR117W,148.164937438
YPR108W,195.10147862
YDL022W,457.206627625
YDR155C,2893.69583211
YFR002W,204.265994319
YGL103W,7951.79745822
YGL137W,160.22101585
YGR034W,6739.07921695
YGR054W,142.160599566
YHR146W,171.234235578
YIL033C,165.988340385
YKL172W,149.018185451
YKL211C,460.074489003
YMR290C,805.687337098
YNL132W,334.931447038
YOL058W,441.848163384
YPL117C,163.31799012
YDL182W,210.017517965
YER023W,405.008390361
YGR124W,157.850882479
YGR167W,135.540027018
YGR233C,207.528877926
YIR006C,121.698448133
YMR096W,238.917344197
YNR053C,265.202123276
YPL085W,65.9458008579
YAL060W,117.400606288
YBL092W,4007.73752072
YBR101C,136.567084811
YDL031W,322.195930393
YDL112W,87.4342200398
YFR052W,647.457233279
YGR193C,77.0087933872
YJR002W,92.2376903375
YKR066C,194.422040387
YLR257W,105.123315429
YOR046C,442.843619399
YPR189W,134.02314166
YDR483W,917.399623297
YER136W,234.050670342
YFR037C,229.168195599
YGL234W,204.028980982
YHR104W,355.67011403
YLR175W,396.072987554
YLR342W,732.21320261
YNL117W,554.650710933
YPL012W,366.367315976
YAR002W,60.981161491
YAR015W,259.031876068
YBL068W,182.279057085
YBR115C,138.874014625
YBR155W,150.851088591
YDL014W,560.00721235
YDL137W,288.698045423
YDR418W,1880.77983398
YER090W,315.053928503
YGL048C,403.262392111
YGR128C,138.60539951
YIL022W,143.503675143
YIL142W,243.167783374
YNR043W,748.124697971
YOL004W,133.691322988
YOL139C,291.510603689
YOR153W,228.615164479
YOR254C,166.34386039
YBL007C,182.990097096
YBR080C,114.303632017
YDL143W,167.947650638
YDR299W,210.617951752
YDR496C,122.243578809
YEL047C,347.090231229
YFL004W,1119.88801759
YGL129C,124.084382393
YMR241W,259.490101853
YPR033C,199.557329356
YDR035W,280.355175959
