gene,abundance
BSU38530,74.6103964248
BSU22540,103.4378303772
BSU18480,71.7789744032
BSU12030,104.0782890877
BSU24680,30.9252922188
BSU15060,72.4026893494
BSU37400,37.5317315153
BSU28860,5230.8919041922
BSU32860,15.8111601894
BSU25140,244.2687444144
BSU15870,128.0620052076
BSU05610,43.3730844857
BSU20400,31.4010748438
BSU07520,339.0309387447
BSU09790,76.343785755
BSU13600,165.6071577723
BSU06070,58.6892305875
BSU38520,200.6481306708
BSU12020,23.6621373424
BSU18490,117.57364526
BSU22550,44.8531997054
BSU01400,12361.8486820101
BSU15050,117.8527957472
BSU28870,1995.7930582456
BSU15880,285.8825647185
BSU24690,75.9903602375
BSU25130,214.542724034
BSU32870,137.3230914668
BSU07510,22.0831316906
BSU20410,169.6564114819
BSU05620,76.0880507651
BSU06060,78.8270481722
BSU28840,64.5084566063
BSU26610,31.6794888091
BSU22560,155.6583537037
BSU15080,3714.41122775
BSU37420,50.3423770553
BSU13620,1738.602652029
BSU15850,70.9591263813
BSU38550,463.7942224477
BSU12050,13.6409415591
BSU25160,147.1134204566
BSU32880,25.6358749935
BSU20420,159.1221388264
BSU05630,59.5953702814
BSU26619,26.6081569859
BSU07540,24.428318442
BSU15090,81.1547990904
BSU09770,33.7803591812
BSU26600,58.875116226
BSU22570,46.610350456
BSU28850,2947.8675192337
BSU15070,209.1582060195
BSU05200,7.6965273944
BSU13610,802.4424686443
BSU06090,124.4253539649
BSU38540,71.4500768892
BSU37410,26.33934447
BSU32890,28.3348368836
BSU25150,152.0468492631
BSU12040,113.3459755482
BSU15860,144.1748323326
BSU20430,2.9406611541
BSU05640,112.9713294277
BSU09780,71.5234700756
BSU07530,20.061745238
BSU15830,426.2362001363
BSU12070,37.3208709014
BSU38570,55.6119788327
BSU25100,147.6719557816
BSU15020,48.852785604
BSU26630,162.977003296
BSU19970,71.2998147013
BSU24640,160.0841965678
BSU19090,53.3169148179
BSU07560,36.4240078
BSU22500,353.3336260807
BSU06030,2716.0651062659
BSU32820,95.5365121924
BSU05650,59.7302236283
BSU15840,98.6121754648
BSU38560,79.6865498363
BSU10090,187.6183797556
BSU12060,186.0553456955
BSU15010,85.9589279677
BSU24650,73.1092260339
BSU19980,31.3587978433
BSU26620,11.8576258915
BSU07550,265.4642102439
BSU05660,206.5011899093
BSU06020,3030.1501095058
BSU19080,70.8192209712
BSU22510,27.3970146893
BSU32830,64.6340047645
BSU15810,133.3248310093
BSU12090,3.9492772445
BSU38590,80.7523336888
BSU19990,4.776929954
BSU26650,4.517932986
BSU25120,125.1564898875
BSU15040,24.2762608816
BSU22520,72.935912481
BSU07580,16.7393701816
BSU19070,73.3699297984
BSU05670,87.5223465982
BSU32840,69.900363492
BSU29490,853.7156495057
BSU38580,21.0668290138
BSU28890,69.8413813278
BSU12080,97.6136672993
BSU15820,1636.5612794931
BSU22530,3.0722698964
BSU15030,28.3066281752
BSU25110,32.08121468
BSU26640,35.7018210382
BSU24670,67.9014889776
BSU06040,75.0936878035
BSU21400,141.3870319142
BSU19060,168.0347788746
BSU07570,46.289258809
BSU05680,41.8955821272
BSU32850,35.8886434816
BSU31730,11.2974850829
BSU09710,33.8098893624
BSU08260,66.1048852353
BSU21410,59.9650049998
BSU23550,77.5965107477
BSU10040,95.1457424855
BSU16590,719.8467155529
BSU14220,226.3469756859
BSU10990,50.044695913
BSU08270,35.7874191697
BSU27330,105.1295559749
BSU18400,15.0956414037
BSU37480,25.272982887
BSU29480,61.9695918912
BSU26670,49.4809432194
BSU00330,154.7296384329
BSU20480,42.03616528
BSU09720,48.0076619951
BSU31740,79.3834925365
BSU11500,107.9581369466
BSU07590,53.4708521566
BSU26660,27.3427071546
BSU21420,429.5721735465
BSU16580,84.4285070039
BSU23560,104.2816227788
BSU10050,40.6781457586
BSU08280,57.7908632795
BSU10980,19.9951138315
BSU29690,94.2742573962
BSU14230,132.6321444185
BSU18410,54.7124368678
BSU27340,143.4930055446
BSU29470,247.5071085118
BSU00320,341.7120113865
BSU20490,82.7410440643
BSU31750,212.1750378271
BSU11510,9.8681999303
BSU06010,38.2956160859
BSU08240,23.9367840708
BSU18420,22.3383299938
BSU14200,50.5028619238
BSU27310,41.3799219891
BSU10970,92.6467911501
BSU21430,44.3632849758
BSU23570,103.4198332755
BSU29460,151.6149879483
BSU10060,49.316117685
BSU26690,15.7786121915
BSU00350,90.1983506944
BSU09700,68.5153982081
BSU08250,16.3738535615
BSU10960,115.807153807
BSU06000,61.1982830862
BSU11520,79.7792080797
BSU14210,55.0770281721
BSU27320,1797.5093410004
BSU18430,24.6439443193
BSU23580,31.0526699824
BSU21440,35.3626686174
BSU10070,110.1214061351
BSU26680,73.9544639643
BSU31760,324.3586310956
BSU37490,198.6815615141
BSU00340,75.0785517239
BSU29450,796.8657539693
BSU10950,28.1124328143
BSU08220,22.9562032583
BSU09750,25.0659243574
BSU33100,34.579648856
BSU14260,133.3840753183
BSU29440,184.873858695
BSU20440,28.371569496
BSU00370,1521.6595960373
BSU31770,54.8489957486
BSU23590,36.0369143578
BSU37440,20.350839484
BSU28820,282.577272559
BSU21450,94.3159163625
BSU29660,4263.0859363419
BSU40400,51.2002317157
BSU10000,902.8849262867
BSU11530,71.3869728613
BSU18440,883.151793377
BSU10940,31.8448696884
BSU08230,33.515348313
BSU09760,55.2611261736
BSU00360,108.5783393421
BSU14270,61.4154445855
BSU20450,48.2405133964
BSU31780,189.6913569447
BSU29650,74.5939812362
BSU37430,101.1994567042
BSU28830,106.8673870125
BSU21460,130.2574192888
BSU18450,568.6707803443
BSU27300,276.0234211395
BSU10010,5.1729355465
BSU40410,191.0865048555
BSU11540,276.2151744857
BSU09730,112.8207954061
BSU08200,90.4125839106
BSU10930,65.3382268668
BSU37460,149.4030978117
BSU20460,12.6959975211
BSU14240,1147.8685558917
BSU29420,186.7258953713
BSU11550,46.2421406753
BSU04100,71.6084248766
BSU40420,875.8159751023
BSU00390,119.1127727401
BSU21470,92.2074049173
BSU29680,98.040512182
BSU12010,52.2538759868
BSU18460,58.1977418887
BSU38510,32.5889043919
BSU15890,199.5844601394
BSU10020,810.2660155333
BSU28800,67.9139768342
BSU10920,77.5849002455
BSU08210,20.9925597404
BSU09740,133.7497466644
BSU05600,27.1492517189
BSU33900,2160.9846856633
BSU37450,23.6105221319
BSU20470,21.2706318792
BSU14250,109.9218979175
BSU29679,2.8994343655
BSU38500,103.4086550779
BSU40430,27.6231630871
BSU29410,372.8330664164
BSU00380,274.8577081601
BSU21480,143.8654750222
BSU04110,62.3452194788
BSU10030,405.450695714
BSU11560,249.5551225583
BSU18470,47.8888112453
BSU29670,277.7075004272
BSU28810,37.4092699082
BSU12000,53.8564662627
BSU21380,59.5503306153
BSU04640,91.5610039357
BSU02410,176.9480818682
BSU03510,340.0922418573
BSU11460,92.6868405352
BSU35290,232.6685979466
BSU33010,167.243857575
BSU29610,166.0776395735
BSU04130,185.3988488261
BSU16500,2574.9905051169
BSU33920,3189.9598313335
BSU10900,61.8810543449
BSU40450,14.7395528786
BSU23600,38.1316751185
BSU02400,60.295518197
BSU39700,51.1214861839
BSU40440,56.933480205
BSU04650,166.1521314956
BSU29400,55.4163794932
BSU21370,42.7879368348
BSU11450,81.8018312021
BSU03520,83.3625821371
BSU33020,43.3564753417
BSU16510,361.9730138574
BSU29620,43.4643061912
BSU33910,602.2712241896
BSU10910,69.9388106951
BSU09000,192.7944203382
BSU11480,38.3268895276
BSU23620,109.7324124474
BSU10110,36.6956731401
BSU04660,146.4726241224
BSU03530,32.8887330862
BSU39710,33.5197952543
BSU04150,64.6302862823
BSU16520,1276.0014043964
BSU29630,65.3666416406
BSU14290,36.7033771915
BSU33940,3487.563903457
BSU40470,86.117469876
BSU29640,264.1625958479
BSU11470,136.7119684437
BSU39720,44.3996007101
BSU10100,284.9436991308
BSU03540,74.4258014866
BSU21390,43.8647504892
BSU04140,215.967453722
BSU04670,47.8096920739
BSU33000,102.9057542836
BSU16530,124.7342762154
BSU27390,303.6968822165
BSU14280,85.4819742096
BSU33930,1443.4622514986
BSU23610,278.7865366198
BSU40460,78.2490170946
BSU27380,610.0960843769
BSU16540,37.1577648905
BSU04170,74.4538273634
BSU35250,270.7342065985
BSU13590,239.2374838792
BSU04680,64.3811307746
BSU33960,11.1528442739
BSU23640,38.8081985252
BSU36300,76.5987389668
BSU02450,91.2981061208
BSU33050,50.0224674517
BSU34180,30.2104607068
BSU40490,56.1085765842
BSU31700,64.655348779
BSU00400,96.1380755191
BSU04160,42.2198679696
BSU05290,115.4507867145
BSU11490,90.187432928
BSU01390,1319.1787925689
BSU00410,79.0680837107
BSU27370,64.1797296579
BSU04690,238.7802894959
BSU35260,232.9971704014
BSU36310,280.4047009447
BSU34190,57.2145288754
BSU08190,76.7424250578
BSU23630,166.2008385682
BSU33060,42.0845405724
BSU02440,27.542259405
BSU16550,97.2643903748
BSU40480,10.9786904096
BSU33950,79.4382203466
BSU33980,70.5691485211
BSU35270,294.7852220843
BSU27360,60.2748146566
BSU01380,254.6188315068
BSU00420,120.7731327326
BSU33030,100.9331559414
BSU04190,31.1243867321
BSU23660,273.0198571498
BSU16560,87.0361800087
BSU34160,255.6641631957
BSU02430,39.5173037007
BSU08180,131.3444268639
BSU36320,62.6783204969
BSU31720,177.0378903566
BSU33970,49.6910359386
BSU35280,83.4522316583
BSU27350,209.8325050089
BSU00430,66.1365929225
BSU29600,27.603622677
BSU33040,530.492977296
BSU04180,117.9859318959
BSU01370,805.3360867372
