gene,abundance
BSU38530,91
BSU22540,46
BSU18480,55
BSU12030,15
BSU24680,20
BSU15060,93
BSU37400,45
BSU28860,688
BSU32860,4
BSU25140,305
BSU15870,241
BSU05610,69
BSU20400,35
BSU07520,231
BSU09790,118
BSU13600,115
BSU06070,49
BSU38520,43
BSU12020,27
BSU18490,43
BSU22550,26
BSU01400,471
BSU15050,110
BSU28870,658
BSU15880,127
BSU24690,22
BSU25130,118
BSU32870,88
BSU07510,10
BSU20410,60
BSU05620,62
BSU06060,109
BSU28840,7
BSU26610,36
BSU22560,64
BSU15080,282
BSU37420,60
BSU13620,803
BSU15850,54
BSU38550,522
BSU12050,4
BSU25160,130
BSU32880,32
BSU20420,74
BSU05630,30
BSU26619,6
BSU07540,6
BSU15090,58
BSU09770,54
BSU26600,27
BSU22570,26
BSU28850,665
BSU15070,107
BSU05200,2
BSU13610,273
BSU06090,98
BSU38540,46
BSU37410,28
BSU32890,8
BSU25150,71
BSU12040,46
BSU15860,93
BSU20430,2
BSU05640,32
BSU09780,78
BSU07530,10
BSU15830,115
BSU12070,10
BSU38570,28
BSU25100,57
BSU15020,15
BSU26630,155
BSU19970,19
BSU24640,103
BSU19090,27
BSU07560,33
BSU22500,70
BSU06030,3654
BSU32820,148
BSU05650,109
BSU15840,114
BSU38560,88
BSU10090,61
BSU12060,72
BSU15010,41
BSU24650,20
BSU19980,7
BSU26620,12
BSU07550,85
BSU05660,115
BSU06020,752
BSU19080,35
BSU22510,13
BSU32830,61
BSU15810,7
BSU12090,2
BSU38590,16
BSU19990,2
BSU26650,4
BSU25120,32
BSU15040,20
BSU22520,64
BSU07580,31
BSU19070,44
BSU05670,41
BSU32840,172
BSU29490,407
BSU38580,17
BSU28890,40
BSU12080,27
BSU15820,196
BSU22530,2
BSU15030,22
BSU25110,11
BSU26640,43
BSU24670,37
BSU06040,33
BSU21400,130
BSU19060,75
BSU07570,38
BSU05680,17
BSU32850,39
BSU31730,4
BSU09710,45
BSU08260,50
BSU21410,58
BSU23550,68
BSU10040,66
BSU16590,216
BSU14220,104
BSU10990,70
BSU08270,23
BSU27330,74
BSU18400,4
BSU37480,6
BSU29480,69
BSU26670,53
BSU00330,60
BSU20480,6
BSU09720,87
BSU31740,128
BSU11500,40
BSU07590,32
BSU26660,18
BSU21420,35
BSU16580,357
BSU23560,46
BSU10050,30
BSU08280,67
BSU10980,47
BSU29690,66
BSU14230,51
BSU18410,81
BSU27340,148
BSU29470,326
BSU00320,278
BSU20490,76
BSU31750,295
BSU11510,2
BSU06010,18
BSU08240,20
BSU18420,20
BSU14200,12
BSU27310,92
BSU10970,86
BSU21430,20
BSU23570,98
BSU29460,66
BSU10060,33
BSU26690,18
BSU00350,26
BSU09700,8
BSU08250,22
BSU10960,30
BSU06000,2
BSU11520,45
BSU14210,42
BSU27320,694
BSU18430,23
BSU23580,18
BSU21440,13
BSU10070,104
BSU26680,33
BSU31760,154
BSU37490,140
BSU00340,47
BSU29450,829
BSU10950,21
BSU08220,38
BSU09750,16
BSU33100,17
BSU14260,56
BSU29440,250
BSU20440,10
BSU00370,445
BSU31770,22
