gene,abundance
b0166,7144.1143645357997
b0200,1285.8788489859
b0596,39.581860197899999
b2096,6624.5296223056002
b0755,12767.579555754999
b2029,11645.095370938201
b0415,12685.938610659199
b1612,2526.8400389590001
b2095,5147.3199029638999
b0754,2383.5938887095003
b0819,3166.9059653549998
b3612,3538.2612827402004
b4213,581.01690155599999
b3941,1170.3559264512
b1200,1497.9669537699999
b4214,1476.0986886810999
b3439,180.28573093720001
b2041,3018.2183382830999
b1487,155.01537242290001
b1678,455.30432457559999
b2303,1644.9122578719
b0154,3023.8964850556999
b1199,881.55679642500002
b1764,1305.4756025419001
b2601,675.20186007170003
b2262,1072.7131368933999
b3012,688.92375270039997
b1738,521.54223785099998
b4129,1066.8325343655001
b2038,1665.5702896765999
b0085,629.87543337010004
b3041,1239.7318176787001
b4232,1285.3966674220001
b1990,68.814765861200001
b1896,191.2094870505
b1198,972.06370880529994
b1190,368.31458164750001
b0207,273.29524536380001
b0110,165.6796697133
b0925,46.573065276199998
b1270,130.31687591850002
b0224,68.490268341999993
b1704,290.50275906600001
b3925,430.35322171669998
b2436,44.080018239700003
b3432,32.000988943700001
b1113,114.90984460530001
b4053,62.615033639099998
b3579,8.6452554017000001
b3788,340.08734623449999
b3081,5.9130725866999994
b0662,203.57792507240001
b2965,16.054813678199999
b3132,9.0914113892999993
b2746,30.330896709200001
b4571,25.664191587600001
b4122,26.088546449799999
b1478,9.7869670318999997
b1736,28.5878452625
b3987,5753.7369446392004
b0114,13859.0660426094
b0118,5948.5614152831004
b4143,29172.5335439314
b0014,22032.842875347298
b3774,2295.2909146478
b3544,3012.9126764177004
b3988,2397.6905641969001
b3829,3260.6982038368001
b0033,408.37589950900002
b1241,3521.4652938178001
b0911,34799.658315106804
b3340,31959.0822045731
b2697,2543.8321896755001
b2416,7482.0839398960998
b3732,18751.010731615101
b1243,6902.4627961729002
b2530,8049.3641907954006
b1136,10987.228223744301
b0436,23447.470852345697
b0115,11633.6741565754
b3339,103700.70672323901
b3559,3931.1046747118999
b3164,6838.7201304131995
b0903,2884.1832078146999
b0473,6808.1061827702006
b3734,14616.838720939098
b3172,1117.7149171986
b3926,9432.0408527411
b2551,7911.3720968456992
b0726,2177.3229827835999
b0194,4727.5446925690994
b2926,23916.343822758299
b1415,4760.2581116804995
b1761,1045.2424881813999
b3213,1115.1520794636001
b2779,23490.267105270999
b3870,5672.9013387318992
b0177,1471.7172577450001
b1779,33422.427910894505
b1676,8321.8230565959002
b4177,9771.5783374541006
b4015,11769.297590306298
b0723,3747.8485715329998
b2150,7960.7615293154004
b3426,4437.1228028129999
b4006,786.53173841419994
b0074,652.92990487359998
b0170,28299.611337648301
b1866,2609.5745782709
b2935,4624.5598828655002
b2942,7233.7170098503002
b0095,5363.3667946750002
b3783,5838.6744052376998
b3942,1285.0216071537
b1830,922.51809656199998
b0680,2165.3621626551999
b1713,4157.3210764021997
b3403,6227.5650798981997
b3871,4132.6641971803001
b2976,837.32864968299998
b3236,17437.063926335501
b2463,989.67585138410004
b0116,14175.4510103665
b1084,1471.5221848964002
b1702,640.1631231266
b0655,1802.8168401435
b0439,1711.4223151091001
b2763,381.89973018129996
b4391,2983.6267750983002
b0053,3459.3800573321
b4034,2629.5080013898
b3169,5312.8496695524
b0928,2816.5278924046997
b3956,305.3785386591
b3458,955.13442363729996
b3453,1680.7900910072001
b2425,881.20390546750002
b2764,459.99824321239998
b0004,2446.0316782005998
b2400,3028.7923049358001
b4245,2463.9005150329999
b0893,4802.9552367640999
b2323,20002.587474074098
b2925,17489.311355051799
b0720,3579.822661277
b3699,1467.1557748513001
b2557,142.67275121820001
b1479,1945.2408375999998
b1048,2388.5258599396998
b0688,2047.5884933329999
b3671,1685.5291006932
b3212,134.08732404399998
b2780,3027.4459391283003
b3984,28188.634519597901
b3295,19268.473247207101
b3708,10985.433205239
b0008,12124.669079488898
b2297,3777.0062815379997
b2414,5964.467485814399
b0811,4023.4314138852001
b1002,1271.3973731610999
b0907,2800.4005764308004
b3308,41772.165657016398
b2890,3868.3101720955001
b3433,3899.8153422005998
b3460,3172.9250493733002
b1440,807.82327545380008
b3863,760.93009062889996
b2507,2277.8414959643001
b2133,422.0132075057
b2296,14285.514958169801
b0438,3509.9101319933002
b2533,5435.2087826657998
b1920,1258.9145537633999
b0161,2149.2603964354003
b4019,91.10619608559999
b2283,1189.3982869156
b0574,502.92255438149999
b1062,1480.1490863457998
b3931,4078.1816777003996
b2498,11431.963422301202
b1719,1114.8200607118999
b3733,4681.8645412469004
b0098,987.66878692529997
b3359,1230.0683385006
b1276,532.0331056727
b3962,2197.2069515932999
b1286,1260.6254499519
b2465,891.72437488330002
b0763,1839.4193229409
b0724,3892.9575396913001
b2310,2653.9351459019999
b4058,129.3591049572
b4383,6234.7270833663997
b1261,1043.252742053
b0882,599.9471217414
b4235,1576.3076114937001
b3464,2025.9335437462
b1197,382.92950840349999
b0237,5005.7607064446001
b4069,167.2458245629
b3176,2217.7052874472001
b0325,2179.0732654017997
b4200,45483.451642336797
b1714,5220.9705422785
b0072,688.51073105590001
b2476,1729.6632281101001
b0728,6267.6095348810995
b3919,8998.777735514599
b0930,4110.0701146046003
b3162,2984.8111605257
b1852,1289.8789226192
b1876,1294.2896546905999
b1854,2604.0361023260998
b3256,4214.9998546457
