gene,abundance
b0166,8295.3458424584005
b0200,781.00843130589999
b0596,39.243382725899998
b2096,5068.7741168344
b0755,11595.151667413998
b2029,10541.909511030201
b0415,8090.0301866943992
b1612,1191.0766812960001
b2095,1084.2554623383
b0754,6297.4688058806005
b0819,2826.3272441636
b3612,2510.6758876270001
b4213,286.88475552689999
b3941,3238.5157591750999
b1200,623.82301156790004
b4214,1255.3894985224001
b3439,198.17240261310002
b2041,1286.7422946928
b1487,124.9203647607
b1678,686.88922312
b2303,1420.5411139663001
b0154,1334.2543765558
b1199,341.2849940694
b1764,525.61643438930003
b2601,1231.3885764007
b2262,591.45672650040001
b3012,691.17629660179989
b1738,268.24382660689997
b4129,296.92135340689998
b2038,641.37760263600001
b0085,352.29806186400003
b3041,401.35062904559999
b4232,546.69456468650003
b1990,138.54970791530002
b1896,426.77942279849998
b1198,428.54308188510004
b1190,61.988706702700007
b0207,143.06471830629999
b0110,72.913098551800005
b0925,77.503367770699995
b1270,112.81591548370001
b0224,160.40102656530001
b1704,362.2052141744
b3925,196.52795910560002
b2436,103.4967314336
b3432,207.53940838169999
b1113,8.5678135520000005
b4053,61.386563324499996
b3579,0.88236529780000006
b3788,87.137331788500006
b3081,2.3459155387999999
b0662,102.00967355799999
b2965,35.141939804400003
b3132,2.7523932347000004
b2746,26.3994142982
b4571,5.9078893023000001
b4122,5.3358346436000001
b1478,18.321945074999999
b1736,4.7228295170000001
b3987,2339.6754971464998
b0114,5097.4427296601998
b0118,4225.5196770708999
b4143,14133.413299355601
b0014,9316.586318264699
b3774,12037.708441550702
b3544,8155.6397532359997
b3988,474.37065686089994
b3829,6806.3361015112996
b0033,1294.9156640132001
b1241,2585.1702737045002
b0911,15855.816323928899
b3340,14402.2462707554
b2697,1630.1924597341001
b2416,4750.6231540004001
b3732,11475.1721943101
b1243,10136.467180982199
b2530,6917.0794731623
b1136,21051.1301827397
b0436,9657.2022479278003
b0115,4046.9878538656999
b3339,55134.477995574598
b3559,1639.9843140817002
b3164,4055.0346003615996
b0903,1897.8214237913
b0473,1946.0559258850001
b3734,9942.0619021476996
b3172,7456.1478868446993
b3926,664.28743116980002
b2551,19444.047732606297
b0726,1045.6679970022999
b0194,3191.6109032543
b2926,18858.033532896799
b1415,1760.8510031341
b1761,7747.4848287825998
b3213,4655.3752299644002
b2779,18789.856309241899
b3870,13460.4376474702
b0177,1440.3807474125001
b1779,27759.378026100698
b1676,5719.2792519598997
b4177,6360.2162971055004
b4015,12330.842532467099
b0723,1823.1378054604002
b2150,1499.3757265658999
b3426,167.52833799360002
b4006,2871.7636021678004
b0074,2149.493225749
b0170,12120.677696868001
b1866,1586.8179593842001
b2935,3021.9015782536999
b2942,10753.6202118606
b0095,4148.9245097696994
b3783,2905.7414476813001
b3942,791.66801557240001
b1830,830.13834094869992
b0680,1151.4077169254999
b1713,1471.9979185120999
b3403,1678.772057768
b3871,2213.1115194911999
b2976,484.33371627989999
b3236,20048.219204286699
b2463,279.61712549319998
b0116,6223.1173089668991
b1084,697.47839508570007
b1702,947.50736546070004
b0655,4192.8954466147998
b0439,693.29793850520002
b2763,1526.3894070117999
b4391,1204.1645321697001
b0053,2457.8398304066
b4034,813.08405966570012
b3169,2588.0281503073998
b0928,3868.2312508514001
b3956,523.89790351429997
b3458,3786.5587915128003
b3453,837.08987031179993
b2425,3096.0004473045001
b2764,2062.2062915817
b0004,6334.5989238831007
b2400,1676.0521868767
b4245,15329.845397163701
b0893,2146.2861985407003
b2323,12302.550382683101
b2925,15955.578324981499
b0720,3124.6965835675001
b3699,714.47406905800005
b2557,205.5200497468
b1479,932.02057801009994
b1048,1912.1899787860998
b0688,1158.8182999303999
b3671,1394.8246880201
b3212,273.23359214599998
b2780,974.31338110640002
b3984,11197.237244956399
b3295,9646.0305089175999
b3708,237.29535745869998
b0008,7853.4708211827001
b2297,1213.4630695842
b2414,28481.309688340498
b0811,4293.8497586650001
b1002,821.51610861710003
b0907,8798.5926193033993
b3308,16965.204993703799
b2890,1799.4351218749
b3433,14251.92965405
b3460,25844.8026543546
b1440,428.29740994900004
b3863,374.66496006510005
b2507,1770.9583554810999
b2133,457.4250584614
b2296,2924.9513653355998
b0438,2266.8523726825001
b2533,1633.918276141
b1920,3819.850280695
b0161,2317.0042303275
b4019,180.71918000310001
b2283,345.54455537410001
b0574,1938.5803921534
b1062,4054.5888489027002
b3931,1319.266688273
b2498,11726.8874178072
b1719,249.93887686880001
b3733,2930.3810287846004
b0098,259.93747765569998
b3359,3845.0196240552
b1276,164.5292741314
b3962,555.16417848360004
b1286,748.06855961309998
b2465,1306.566341466
b0763,1335.8237247611
b0724,1638.0272710973002
b2310,3559.2072644994
b4058,48.292162730900003
b4383,2341.2418254022
b1261,3186.5709309771
b0882,586.92631913419996
b4235,1101.0485803683
b3464,1235.3581282022999
b1197,443.83438953000001
b0237,3051.2106050201
b4069,74.135627893500001
b3176,1144.3016872655999
b0325,3130.7637434646003
b4200,18865.3302464552
b1714,2898.8040421872997
b0072,2559.6999558982002
b2476,8244.6658720150008
b0728,3861.3755351462
b3919,11322.9351351516
b0930,2470.4165226027999
b3162,415.50921912809997
b1852,770.0914921486999
b1876,641.14188020120002
b1854,1649.1303293323001
b3256,1377.320747705
b0073,4102.6294077434995
b0863,3502.5171875701003
b2132,241.82463363720001
b0606,1405.1608454232
b3553,3251.4931054571998
b0026,197.9539032239
b0839,1064.8832982214999
b0032,8064.6796189688002
b2294,2074.8162194543002
b2042,4066.1668355500001
b1288,7294.6999509786001
b0526,630.75682365660009
b3619,2264.8176387811
b3908,6752.7865915962002
b3751,2892.5708915771997
b3600,1183.8589621934
b2153,4799.0634752455999
b1207,5597.3044939972997
b3916,2688.8101548067998
b0169,13809.547909172199
b0172,4807.1763360159002
b0740,3295.4687076527002
b4266,511.70004081550002
b1018,1331.7868089108001
b0185,2330.3570749311998
b1203,2028.1634557789998
b2898,2366.8561776604997
b2309,5966.5888985240999
b0729,6201.9598798856005
b1740,3845.4172044267998
b0474,5329.0128959875001
b1604,2727.3819269548999
b1614,663.45446485730008
b3067,478.2868633882
b0243,1033.3585546219999
b2614,5342.7428559096006
b1215,3186.8585981679998
b0945,1220.5935256353
b2464,1968.3072837764998
b0957,2620.6796708825
b3251,3571.0209877833004
b1092,5803.9338988464006
b4139,653.43783049779995
b3357,3315.2695281021001
b0632,1459.3057997236999
b3982,4613.5801754274999
b1123,1459.9805226045999
b3729,574.64768652919997
b2752,2597.1932885239999
b3847,757.4446963419
b2039,1123.7071425018
