gene,abundance
b0166,2969.6075247202002
b0200,658.3991895012
b0596,35.596972483099997
b2096,14368.8274036725
b0755,8894.1148169182998
b2029,2207.4688628183999
b0415,6987.2235931409996
b1612,1568.0827179017001
b2095,1973.8559075661999
b0754,1694.2496285486
b0819,1743.4853825154999
b3612,757.5427081473
b4213,596.02783451350001
b3941,1064.6846470155001
b1200,661.2548316466
b4214,851.68479131130005
b3439,851.95517704410008
b2041,532.94986107660009
b1487,367.4662522287
b1678,534.76715704109995
b2303,1098.3992227663
b0154,315.32795386319998
b1199,561.80650816100001
b1764,345.13148180769997
b2601,296.83592473589999
b2262,345.25109308160006
b3012,351.04712251489997
b1738,947.3550925264999
b4129,176.53693901529999
b2038,440.54375549959997
b0085,144.57745726389999
b3041,316.3470327064
b4232,183.29061603700001
b1990,183.4424667852
b1896,102.1262121171
b1198,89.197038089000003
b1190,113.31621051409999
b0207,149.31924764670001
b0110,199.85173340630001
b0925,46.084701012799997
b1270,131.72821685860001
b0224,101.45811219629999
b1704,68.333766002600001
b3925,49.954126913100005
b2436,48.788367899099995
b3432,19.825478290699998
b1113,46.875593167299996
b4053,39.974339869399998
b3579,31.486680289000002
b3788,22.390485135700001
b3081,8.0145455872000007
b0662,10.8427825361
b2965,5.5682749538999996
b3132,7.9783741790999994
b2746,9.3005181742999987
b4571,1.3259477649
b4122,0.53516619389999998
b1478,0.15620597529999999
b1736,0.3317414011
b3987,744.59895238429988
b0114,1244.2846361207
b0118,4596.9696331992
b4143,12543.0579899895
b0014,6244.3081437768005
b3774,5227.0511907218997
b3544,12752.939791729999
b3988,143.57319808969999
b3829,1780.5044646438
b0033,299.5830189678
b1241,774.28894495070006
b0911,7277.7812110972
b3340,6865.8394228928
b2697,454.3355751222
b2416,1490.9764812617002
b3732,9096.7022682679999
b1243,8061.9703417606006
b2530,3049.5958875740998
b1136,16448.2737242722
b0436,6394.3169831981004
b0115,1554.5434828986999
b3339,41656.226996065896
b3559,403.79508328190002
b3164,2042.7307733851001
b0903,270.41123370700001
b0473,946.55313912050008
b3734,9250.8655890457994
b3172,1666.1319135189999
b3926,676.51983104370004
b2551,5965.0398654312003
b0726,535.55247647699991
b0194,1612.4096399857999
b2926,14865.777711471101
b1415,6050.6593392938003
b1761,2808.4529517719002
b3213,1285.5074692692999
b2779,10123.2387308009
b3870,4768.1727060309004
b0177,891.48633695910007
b1779,15332.491114370201
b1676,2577.4801551952
b4177,4160.0608577532003
b4015,39645.663910886498
b0723,1977.8356764242001
b2150,21732.7882629169
b3426,175.99869632400001
b4006,713.67576318320005
b0074,1477.4660211569001
b0170,8981.0434069845996
b1866,549.06757969750004
b2935,662.66253010160005
b2942,3773.9988822772998
b0095,2618.6281540107998
b3783,1137.9515141672
b3942,896.69778797770005
b1830,611.65391169739996
b0680,536.31150164610006
b1713,504.32779406349999
b3403,4555.8682625849997
b3871,511.4682483835
b2976,1114.0551723332001
b3236,35427.480057500601
b2463,514.77909480339997
b0116,4197.1581868134999
b1084,298.22255486580002
b1702,297.73963568660002
b0655,6028.8615796627
b0439,256.42862700939997
b2763,771.70902546360003
b4391,583.03776720500002
b0053,2265.4830483084002
b4034,5395.9177186098996
b3169,1469.2472484072
b0928,1324.3690299780001
b3956,82.873343008199996
b3458,3838.5547110901002
b3453,1349.7773651067
b2425,2761.5548334171003
b2764,549.10057976379994
b0004,1483.2388466214002
b2400,766.17552895109998
b4245,5470.3104395432001
b0893,653.52180476039996
b2323,8248.3776229697996
b2925,7272.1491532095997
b0720,1207.8905506154999
b3699,150.24675529749999
b2557,62.803717844700003
b1479,440.8329097811
b1048,1533.7722253656
b0688,559.74103477160008
b3671,854.10043122429988
b3212,47.358050804300007
b2780,309.46516391849997
b3984,7897.7173643464002
b3295,5857.8567368653003
b3708,959.54322645299999
b0008,4123.4550206957001
b2297,400.83068318400001
b2414,15806.719871786599
b0811,10206.443551251401
b1002,2523.6938741294002
b0907,2605.5072691307
b3308,9459.0943434014007
b2890,278.08069870090003
b3433,3799.0693946065003
b3460,39165.158229410699
b1440,2174.5944012970003
b3863,85.861465099699998
b2507,302.68652784669996
b2133,321.79791151879999
b2296,1201.2296559179999
b0438,1028.5962298311001
b2533,631.22716070900003
b1920,6190.8798319863999
b0161,1730.1625834002
b4019,48.277407807499998
b2283,243.56952319189998
b0574,1643.3359111769
b1062,2648.5231727320997
b3931,751.73997653589993
b2498,6577.9033327815005
b1719,111.84388665860001
b3733,3067.3785402671001
b0098,75.006768205
b3359,1364.7807840006001
b1276,207.54456809939998
b3962,525.21536966989993
b1286,212.39802875340001
b2465,198.5622054566
b0763,13841.5335419316
b0724,3814.6998071970002
b2310,15840.012969944299
b4058,14.817911825199999
b4383,1499.1267069979999
b1261,1576.4128623734
b0882,184.2835000943
b4235,504.89186897849999
b3464,768.11734835109996
b1197,537.61037504699993
b0237,1417.6054481482001
b4069,256.55833250400002
b3176,577.67137727049999
b0325,1881.2235492345999
b4200,14772.253242895
b1714,1324.5831769532001
b0072,1997.0126633704001
b2476,3666.0264517384003
b0728,3246.2831470434999
b3919,7647.6367498586997
b0930,536.97288931280002
b3162,113.14096652790001
b1852,121.00286429180001
b1876,192.18668828189999
b1854,1485.1585656085999
b3256,591.46191376010006
b0073,2612.8362887151998
b0863,5347.8104570112
b2132,394.92176947199999
b0606,724.71190541889996
b3553,602.20879680150006
b0026,117.5380800489
b0839,949.75036516699993
b0032,2337.0303785265
b2294,919.22233522089994
b2042,2018.8075589320001
b1288,3164.4644179922998
b0526,190.18829610740002
b3619,1100.2275833693
b3908,7999.1044577274997
b3751,15330.4860420651
b3600,741.59440802300003
b2153,1380.5242021854001
b1207,2944.5497702281
b3916,1286.7207067797999
b0169,9087.6063723775005
b0172,3392.5261835140996
b0740,2076.4095761732001
b4266,571.00216878319998
b1018,736.66923177230001
b0185,1600.3619695483999
b1203,1114.8591535941
b2898,1441.3868405698001
b2309,7706.7707673418008
b0729,8248.2557642160991
b1740,1795.0821181483
b0474,3989.2893402259997
b1604,2562.0120966806999
b1614,422.36418005600001
b3067,163.6364200502
b0243,569.51676809139997
b2614,4200.1734970510997
b1215,2604.2637783552
b0945,423.90991962999999
b2464,750.54967426789995
b0957,1499.8890894870999
b3251,2083.7199233879001
b1092,3196.2413487058002
b4139,361.29894076260001
b3357,2674.5329528646998
b0632,813.80326405210008
b3982,3059.8140726566999
b1123,2795.9573031639002
b3729,123.61689475049999
b2752,834.93368282059998
b3847,499.46999459449995
b2039,660.67653139160007
b1452,2161.1100043308998
b4382,354.43734157699998
b2526,234.48457286110002
b3306,7263.6362568207996
b1635,1183.8943316811999
b3405,1535.1501452733999
b1131,94.4309325376
b2508,470.16067137070002
b3448,827.31816436999998
b1236,1492.2774366248998
b4392,159.60090962620001
b0854,2846.5620589077002
b2036,740.14219613419993
b0578,2410.6240741360998
b4267,150.4577797021
b0767,2312.9541594960997
b0126,762.89200270789991
b0324,96.332686193700013
b3011,407.8790245989
b1611,397.80551837460001
b0759,847.7789571978999
b0908,444.35866898730001
b4381,1034.4904422074001
b0426,4517.0499441063002
b0660,651.4221905764
b3730,240.52083616019999
b0605,32497.771562981401
b1175,2563.1343496590998
b3644,375.94470607839997
b4051,634.81663273300001
b0133,883.49332264850011
b3605,163.9750161165
b2687,2601.8232535235998
b3320,5690.7315259397001
b1817,2722.2509491843998
b3052,393.37233174410005
b1498,577.66172506880002
b3384,881.03538227199999
b1901,700.3802026574001
b3771,168.07519220200001
b0480,576.98164500839994
b3167,2268.871575876
b0406,113.89299373899999
b1260,3447.8544959882001
b0756,1004.6169728128999
b2599,573.15838151740002
b2913,810.4961854439
b3617,114.75919730870001
b1783,48.132521477200001
b2665,3941.3049534919001
b1093,2051.3085538885002
b3960,167.00358212820001
b4107,389.09750110190004
b3234,622.6819976859
b2000,104.95227095979999
b4227,2199.2230001679
b3347,2593.2899976376002
b2514,179.4690544785
b2417,16641.844325492599
b2114,93.594958129500014
b4054,291.5505005224
b2891,570.74616219170002
b4014,283.19329884860002
b0954,6572.3457247236001
b3181,2176.6008390676998
b4226,1177.9337291305999
b4375,116.68736024170001
b3303,10354.838167459
b0888,950.49101747420002
b3255,1284.9226857153001
b0838,1394.12527084
b0168,716.15236474570008
b4252,24501.884736597098
b3305,12107.005308235501
b1646,894.29395114110002
b3447,271.24569850879999
b3957,553.68976146910006
b3498,33.251040847199995
b0800,530.25661412010004
b0860,4973.4933956511995
b3527,259.2904156674
b1857,213.66446744619998
b2515,568.50738256300008
b2185,7492.0184743317004
b0492,1577.7454268812
b1263,329.93215608819997
b3341,3739.4107933487999
b2239,297.78691956709997
b1014,3.4614874133999995
b1091,1012.5457548536
b3168,199.66832751439998
b4244,11178.614322623202
b0120,459.95261874610003
b1004,6621.7380385909
b3752,690.12954143410002
b4401,3177.3434130865003
b2091,1271.869042029
b1095,738.09605867530001
b3770,1178.0866048301
b3229,2320.3052480725
b1658,496.62458492040003
b1851,38.6488609779
b2231,67.7739005241
b0727,184.8355896935
b2679,388.41007969330002
b3244,230.6340879288
b3958,939.81367050359995
b2329,426.057265465
b4005,396.87893768539999
b2421,1181.9553545160002
b2661,334.00891241459999
b1406,826.23223884820004
b0123,1039.3865508689
b1232,358.98519877519999
b3566,843.98195090789989
b1539,2024.1297019220999
b3147,363.98183808599998
b0059,32.063145366800001
b0104,460.94204088999999
b2019,1401.3253636287
b3315,5609.6150690671993
b0222,2632.8065909529
b0077,226.83441237720001
b1613,520.46014489469997
b3744,417.6603092501
b3966,116.7323637307
b3500,298.38647102589999
b2021,648.32628154680003
b1723,981.29717008149998
b0642,21.8699127412
b3959,1866.9407958311999
b0757,330.68746233400003
b1712,5058.2882070936002
b3986,12725.321055331799
b2962,3145.8671201991997
b2316,971.16286399720002
b3231,9981.9379747954008
b3735,4887.1183304140995
b4174,234.47863372470002
b2143,531.49186981720004
b1237,22365.235194601901
b0889,5237.9089547910999
b3764,4858.0339083257004
b3860,2550.8979243685999
b0661,144.24085305200001
b3831,791.02934518740005
b2762,728.44657277110002
b2938,89.471557103199999
b0897,1034.2818826706
b1130,1257.2740880111
b0197,585.88060752440003
b1127,340.53792507380001
b0801,274.8830665296
b2521,628.10099085219997
b2131,871.13857347740009
b2523,125.3246491643
b1431,2015.7888850903
b2169,250.9576153543
b1525,88.498641862299991
b1329,432.25118742760003
b0423,80.574465594700001
b0419,483.36241120080001
b1247,21.1869498762
b4154,64.107991140300001
b4037,5198.3630710665993
b2947,405.9232423011
b0932,22.297917835100002
b2320,122.2667067892
b2499,747.46654821200002
b1281,518.24028655090001
b0015,583.33579935620003
b1189,79.293330060900004
b0381,251.50576470110002
b2478,1163.1387130963999
b3225,157.66205068780002
b4025,93.113276283600001
b0678,1152.1202703627
b2518,20658.156345482999
b2699,339.0127726101
b2567,363.50538654870002
b0471,2903.8131962174998
b2007,10930.3349777728
b1056,1399.5427929888001
b1850,4361.7358020825004
b0386,1088.5953372091999
b0125,567.82858371839995
b0820,100.1746646373
b2415,26036.817150814302
b1333,686.43631436600003
b0094,382.84108384389998
b0145,6314.2899697851999
b3209,2396.1665709556
b1064,1205.0490997267
b0369,297.94302488030002
b3670,2579.6117365057999
b2480,3691.1494865645
b3495,21329.817916186497
b2287,862.7193651788001
b3363,2760.8622835241999
b1637,113.26141987450001
b2662,281.5543110731
b3967,70.818655174599996
b0525,4296.7272362063004
b4322,285.02412218929999
b0054,61.988907802299998
b1967,1432.6005432404002
b3620,55.505013674099999
b1376,5135.7066784314002
b0607,1962.7260899151001
b1831,333.62579535219999
b3407,38.563413110700004
b0628,510.03104308970001
b2569,65.519927938799995
b0891,969.8271810727
b2494,235.93407149950002
b2217,1089.6950546794001
b0870,393.97902665449999
b2431,183.86174674540001
b1743,574.45923367180001
b2989,865.44577473660001
b2838,266.7426476485
b2366,56.660747837799995
b3056,319.44068722650002
b0150,12.2653401009
b2319,551.52964725239997
b4349,176.4221244453
b1749,377.3496589037
b0565,320.6647792302
b3287,1009.3745460399001
b1718,1784.5641728869
b0242,116.4678142451
b2914,3907.8956448365002
b1324,28860.617777518597
b1864,1051.9264850847001
b3866,490.08678694910003
b3701,353.78243614410002
b4207,2584.2363161501003
b2183,1038.6943004836999
b0753,1991.4835245252
b1765,2122.9171884007001
b2893,722.42430879649999
b3509,3530.4370496817
b2113,328.45637394070002
b3003,91.61551559290001
b2582,501.59294631150004
b3290,25.509888993099999
b2422,49.548492129700001
b2155,46.765856201600002
b3845,863.03892215940004
b1732,82.984282308000004
b1623,693.98502192559999
b0071,5401.4225655871996
b1847,3893.1615443328001
b0393,204.31519300619999
b1059,540.608981976
b0082,284.85631754100001
b3319,4909.9331936496001
b3414,3334.9615621373
b2579,1735.7885861614002
b0469,1830.8899630348001
