gene,abundance
b0166,2835.6514371084004
b0200,596.39249871230004
b0596,47.301487261300004
b2096,9512.0975182379007
b0755,6566.5084258300003
b2029,4492.9591862532998
b0415,5770.7720507375998
b1612,1823.8684475278001
b2095,1957.7204281735001
b0754,1822.8227992607001
b0819,1909.3550568917999
b3612,592.69606642349993
b4213,381.63697676870004
b3941,1092.7330966288
b1200,430.76180460180001
b4214,711.9777531794
b3439,353.18411786980005
b2041,650.64614234110002
b1487,221.7722955868
b1678,460.94760629769996
b2303,669.08011677339994
b0154,592.69283885289997
b1199,229.55601635869999
b1764,352.8245612444
b2601,1091.9008178757001
b2262,376.28532515449996
b3012,404.1450549242
b1738,448.20227384190002
b4129,100.983267348
b2038,416.52216094739998
b0085,130.25587066010002
b3041,485.49125167730006
b4232,634.175287368
b1990,120.9245624725
b1896,132.59616872270001
b1198,106.6364540512
b1190,147.8624431314
b0207,107.68449467790001
b0110,120.9936059976
b0925,39.174217452600004
b1270,87.436822637600002
b0224,92.588557338799987
b1704,120.6275094298
b3925,80.978467903500004
b2436,45.042825113799999
b3432,45.966895476099999
b1113,77.663681311399998
b4053,35.9085897386
b3579,26.212292377699999
b3788,33.387297795900004
b3081,5.1905032067999999
b0662,25.582585054099997
b2965,12.553797363499999
b3132,2.4982866044000001
b2746,9.3116198288999996
b4571,3.5516772197000002
b4122,2.3642046513999997
b1478,1.4299932028
b1736,0.51135253420000004
b3987,1025.9390491531001
b0114,5128.9130315334996
b0118,5085.8700146527999
b4143,11011.8218690052
b0014,6380.4404236751998
b3774,5248.2888819488999
b3544,9816.3414077157995
b3988,142.2617487146
b3829,2110.3611659112998
b0033,508.05684847079999
b1241,938.11997775649991
b0911,7760.3082849598995
b3340,9353.9931233587995
b2697,573.37454828689999
b2416,1323.1114988690999
b3732,12124.2579975848
b1243,7723.1656130395995
b2530,3410.1386722715001
b1136,16052.6586220629
b0436,5837.8976723528003
b0115,6261.9713808921997
b3339,39412.178608644601
b3559,735.99947927999995
b3164,2510.4935017888001
b0903,800.56825941449995
b0473,1083.2626032754999
b3734,10596.671062685
b3172,2939.8931841474
b3926,470.42246067089997
b2551,9862.8701024881011
b0726,1140.6680828358001
b0194,1817.5249665715
b2926,12338.020915913501
b1415,5392.3138856266996
b1761,3672.4167427046996
