gene,abundance
b0166,3740.3930367011999
b0200,783.62974233479997
b0596,70.232529177299995
b2096,14352.0212836094
b0755,7242.5832911973002
b2029,5197.4314959428002
b0415,6894.4059502185
b1612,2549.1742868984002
b2095,2937.5984647851001
b0754,2718.5499049303999
b0819,1927.2917125995002
b3612,792.97541906880008
b4213,462.13541884199998
b3941,1735.0680607801999
b1200,619.09838073510002
b4214,786.72205220289993
b3439,318.93109611220001
b2041,1005.4436586664999
b1487,229.06911023840001
b1678,247.0419531222
b2303,869.77154615789993
b0154,1016.8840414846001
b1199,253.93433626290002
b1764,521.68065165179996
b2601,612.84127389510002
b2262,376.37406139929999
b3012,308.83358367470004
b1738,440.73412154830004
b4129,122.51701744629999
b2038,485.45732253199998
b0085,184.18488561790002
b3041,322.74560549739999
b4232,603.87744810549998
b1990,101.46216128559999
b1896,154.9312679606
b1198,129.5777324076
b1190,112.9608157536
b0207,108.7696550047
b0110,128.72867601819999
b0925,24.358382348899998
b1270,80.859459335600008
b0224,82.665106743599992
b1704,171.23285908620002
b3925,144.09558894579999
b2436,28.462935410500002
b3432,53.910470228100003
b1113,190.8524352419
b4053,38.971453697000001
b3579,9.0223842244999997
b3788,50.913198301400001
b3081,14.1140273464
b0662,51.129880056499999
b2965,20.470870449500001
b3132,4.8292942181000003
b2746,4.8212703458999995
b4571,3.9805981797000003
b4122,12.9167398831
b1478,6.9608941335000001
b1736,8.1079050778999999
b3987,1409.4184696327
b0114,3141.0655188656001
b0118,6957.8369306146997
b4143,14968.5816792029
b0014,8406.6790300356006
b3774,8726.2674282041007
b3544,9950.236206502299
b3988,243.279514205
b3829,5543.8683045881999
b0033,795.54045817320002
b1241,1131.6634207611
b0911,10557.021110874301
b3340,11606.244091123601
b2697,888.97318211240008
b2416,1832.6983696510999
b3732,12690.873633073401
b1243,6906.9189683794993
b2530,4243.1503802709994
b1136,17876.4706162478
b0436,7189.5898717115006
b0115,2693.704849704
b3339,45964.728948144802
b3559,1058.2775676036001
b3164,3237.4555220609996
b0903,958.39521979890003
b0473,1681.6171244339002
b3734,11070.7661229726
b3172,3099.3703120434998
b3926,564.92552906360004
b2551,11908.806726189399
b0726,1236.0536610663
b0194,2126.7963128320998
b2926,12737.0640599912
b1415,7172.3642949155001
