gene,abundance
b1132,4578.2930142954
b1885,6937.3816691362
b2821,7413.1844718697
b1003,8136.1726315788
b3543,8576.3570477615
b1120,9350.3094253025
b1939,9984.4595402275
b1583,10027.9216139833
b3232,10270.0039724658
b0657,10776.4165241863
b1766,11454.7429916645
b1414,11759.2031324249
b3225,12902.7392433691
b1211,13218.1405297347
b1079,13303.6739188638
b2143,13390.7768905107
b3791,13625.0859617953
b3247,14722.4446204059
b0419,14947.4321289349
b0112,15178.7645589669
b2216,15888.7511213638
b4352,16026.4732965872
b1908,16694.7129447223
b1277,17229.9885567809
b4135,17299.8456250738
b3830,18715.708181807
b3925,18807.5353386919
b0490,19000.0605195328
b1946,19206.4810752874
b1187,20099.0685042136
b0677,20160.3219986043
b1918,20163.8159017314
b2958,20431.8344128081
b2423,20734.1374080796
b0452,20819.4494303407
b2795,20829.6918258868
b3038,20974.2414424414
b3725,22488.7447888153
b0119,23679.8235638921
b3064,23780.8306766624
b4108,23827.3695469926
b1194,23965.7261612433
b2893,24084.3824502901
b2352,24476.2829321851
b4396,24506.6553465465
b1263,25064.9310807709
b0382,25318.8507781646
b3054,26133.2182653583
b4262,26268.1042797164
b2038,26347.928041426
b2977,26371.5485144384
b3933,26484.0346969288
b4111,26779.7964135628
b2026,26930.1683556589
b3244,27055.1610929049
b4558,27918.5281377947
b3868,28117.4807490726
b0405,28268.2560766457
b1881,28512.5461034353
b3287,28518.0046038754
b0082,28539.1425690248
b3037,28609.1272610529
b0287,28634.8651711619
b4159,28713.1593203001
b4052,28894.9810994399
b0080,28948.9925973624
b4214,28984.4503975296
b2834,29357.028445798
b0923,29833.8501206912
b2016,30522.7023594929
b0109,30635.3400775217
b3704,30760.4742518843
b1693,30813.5818351784
b0927,31648.8168226525
b1034,31705.8694754877
b3198,32200.823899071
b0480,32952.4888719773
b0124,33239.1641783997
b0413,33320.6885746728
b1647,33910.0866003778
b1264,34555.675584607
b1882,34559.6761595156
b1086,34583.0431902016
b2936,35143.4621914662
b1651,35281.261847846
b0914,35307.557094113
b4376,35430.2019473392
b0333,35838.4227076051
b2916,36024.715048309
b0450,36621.8808112335
b1105,36704.2088666198
b3713,37206.6833275863
b0965,37842.7259348709
b1832,37980.4068258054
b2393,38398.7073577939
b0429,38451.0961922757
b2688,38465.1809553553
b3639,38568.8125198331
b3237,38838.6928035134
b2597,39684.2541696007
b4213,40040.8325776991
b3428,40051.3286975631
b0897,40083.8779536795
b1983,40107.2628218334
b1378,40196.5236643921
b0871,40395.653103878
b3836,40409.486971736
b0902,40429.8367142796
b0675,40767.7071393241
b3772,40844.5719843478
b3177,40859.432175711
b2351,41789.3591418668
b3640,41872.3180512171
b3192,42366.0638560843
b2155,42526.739157944
b3816,43067.5834817401
b2024,43153.5262147453
b0085,43679.208496309
b3556,43686.5616943905
b1413,44507.8928988696
b1723,44842.3679270149
b3866,45009.3898872539
b2954,45069.4832338821
b4024,45204.6315117836
b3346,45539.9819493092
b2568,45558.7625345749
b2290,45723.218939612
b3607,46278.2993421954
b0088,46477.8111294386
b2528,46620.3404082628
b1887,46670.3090779862
b1174,47390.2559732964
b0870,48142.7614075083
b1778,48211.4500340073
b0917,48967.2830915169
b1204,49327.403150517
b0273,49818.4365931288
b2495,50459.8759775888
b3785,50800.0083408431
b0655,50803.3879296094
b0775,51102.8694906864
b0068,51189.8156854375
b4162,51211.2950232769
b3697,51241.2788638176
b0737,51302.4976647234
b2319,51490.3758567907
b1198,51739.4106421968
b1128,52841.3413416897
b2183,52843.6199486944
b3858,54194.8819652069
b0028,54521.5868562733
b3253,54788.1039787591
b1678,54865.2317147249
b3775,55510.9227483747
b2464,55914.3192876587
