gene,abundance
A0AV37,20.967137918924514
A0AV56,94.290217618777476
A0AVF1,12.994096852324944
A0AVK6,13.951764796609186
A0AVT1-1,83.453273987241161
A0JI59,42.772487221763839
A0JLT2-1,34.407981499848219
A0JNW5-1,18.472645435307879
A0MZ66-1,40.447663956109743
A0PJW6,36.954959188037819
A0PK00,25.14850964103902
A0PK02,43.089128070679841
A0T4C8,16.050863410559593
A1L020,17.54897666659593
A1L0T0-1,45.656948559874728
A1L0V1,78.313999179938392
A1L3A5,28.022343038183049
A1L3X0,61.952774993128529
A1L430,31.383796920549113
A2A274,125.55975873734303
A2A284,46.718720606174031
A2A2G4,9.2755832406388734
A2A2Q9,39.912168555508288
A2A305,63.544484355384924
A2ICT2,90.072205782721468
A2RRB4,12.640091483139411
A2RRD8,14.524977261350987
A2RRP1-1,44.764134346369616
A2RTX5-1,15.706403212214099
A2RUC4-1,34.230797520136178
A2VCT3,72.881249139907126
A2VDJ0-5,8.7024754511273876
A3KMH1-1,19.513250066583765
A3KN83-1,58.218669305135244
A4D0V7-2,28.302167380872479
A4D0Z6,71.577012614768776
A4D110,91.562521959627261
A4D150,25.059834817158819
A4D1E9-1,49.871990059678929
A4D1P6-1,25.679585275408296
A4D1Z4,38.357765634280817
A4D2N6,22.239409662550742
A4D2Q0,31.277634056502404
A4FVD0,14.206950397245745
A4KVA4,17.450796727397648
A5D8V6,56.226638004898135
A5D8W6,61.144113466171376
A5D8X2,76.134953805490184
A5JGZ4,69.807388242040901
A5PLN9-5,61.816653138060154
A5YKK6-1,58.697513683423296
A5YKK6-2,14.026119309795751
A5YVE9,96.450349511078187
A6H8L7,26.170760689759408
A6NCD9,26.211645134851327
A6NCE7,99.372302210877947
A6NCI0,56.407961411718233
A6NCK0,72.067898677769094
A6ND70,18.847953762810711
A6NDB9,8.6963439399058302
A6NDG6,72.80394102883497
A6NDI6,16.770909215993861
A6NDU8,61.703491472828752
A6NDY9,16.638436893433376
A6NDZ0,41.136900521885821
A6NED2,21.581651400676424
A6NEM2,68.004892063172477
A6NEV4,33.174401087616531
A6NF09,50.390002972571175
A6NFX8,159.36881328267293
A6NG32,43.261276576508813
A6NG58,56.167706915168353
A6NGJ0,42.303120547566778
A6NGJ4,42.855768362470847
A6NGM8,61.941997390479138
A6NHB1,52.852177262230754
A6NHB5,31.897640274048086
A6NHJ8,51.168059485222933
A6NHR9-1,68.751603466302512
A6NHT5,20.719696993803737
A6NHX0,35.722281733715761
A6NHZ2,27.810859466815625
A6NHZ8,87.464166367424198
A6NIF0,26.937912278609556
A6NIH7,54.848409486967405
A6NIW2,32.478134607488521
A6NIW8,70.133654485084037
A6NJ78-1,33.989780661277663
A6NJB3,59.069569846010914
A6NKB8,83.002399611467013
A6NKD9,22.791376860924817
A6NKF1-1,27.920483115798689
A6NKV8,47.355875585893273
A6NL17,41.899612604450141
A6NLM9,25.460855670148415
A6NMJ5,39.359982752206385
A6NMN0,27.616370856070709
A6NMP7,24.289956479908035
A6NMQ1,47.689098572321171
A6NN38,81.297417024132969
A6NN80,65.742745831727021
A6NNQ7,51.200631125589844
A6PVW9,59.416412497569809
A6PZH2,43.444477009944087
A6XND3,42.73418784996953
A6XND5,58.55451570039363
A6ZJ12,32.034765393967398
A7BI36,35.418063219705466
A7E2E7,53.826108040303147
A7E2V4-4,15.022614366764431
A7MAP0,106.79236224645467
A7YIJ8,71.848199558795216
A7YIK0,26.957056551172137
A8CG34,41.811363548642056
A8CGI3,124.28842470132808
A8K024,62.995653409441218
A8K039,44.778273541295427
A8K040,24.1551858719568
A8K0A4,39.993689061502444
A8K0E5,86.054356762409654
A8K0F6,17.088987302746155
A8K0H3,156.17948247725818
A8K0K1,24.295428963612089
A8K0Z3,31.740529166153408
A8K140,34.400390512469052
A8K1F5,7.4606482986540605
A8K1M2,206.06668958747716
A8K1U0,28.412463085800312
A8K1V0,29.016797977425671
A8K1Z3,18.372906928154201
A8K2P8,25.832934982966965
A8K2S4,10.167844733079635
A8K2X6,40.011454905891483
A8K3A8,89.500352239834015
A8K3B4,95.173729915760575
A8K435,49.076416367197403
A8K4E8,24.584667687728526
A8K4L9,92.228098164099762
A8K4T7,41.217911076072426
A8K5E5,20.18869237677924
A8K5U9,105.06695268889875
A8K5W5,49.498924655894051
A8K607,64.637417279987687
A8K654,24.747103814477498
A8K6Z9,24.561027306207819
A8K727,22.494306746853525
A8K7F3,12.600403251397296
A8K7K1,16.1198453729818
A8K7U3,37.161490380938616
A8K7X6,22.43974461071484
A8K822,52.642930128527162
A8K878,92.75376800078682
A8K8F9,41.349078818090334
A8K8W6,12.177853859795308
A8K8Z0,43.209016593282023
A8K948,23.375408196136512
A8K976,21.994754364865187
A8K9D9,22.777934113583431
A8K9F5,53.2370970504222
A8K9G4,29.891677739145937
A8K9J8,30.542697213985463
A8KA40,34.379823354750471
A8KA79,33.273344910991149
A8KAH5,66.18564146136427
A8MPP1,19.935515410848168
A8MPQ8,31.728729761713225
A8MPR9,57.555343862341495
A8MPS7-1,36.524864387037617
A8MQ59,45.486061708159092
A8MSJ7,23.574476582783049
A8MSQ1,23.564115035869865
A8MSS2,9.6516259178481256
A8MST8,31.205578539902319
A8MSW6,49.483280855064635
A8MSZ5,28.111470161120913
A8MT65,10.500841209957979
A8MT69-1,20.850339937453349
A8MTC3,26.058872161523009
A8MTG2,17.087367354486975
A8MTQ3,38.408265314264227
A8MTR8,44.624040805359094
A8MU24,77.961828792555565
A8MUB1,87.525887680141864
A8MUM1,63.11074058582399
A8MUW3,46.196133653805461
A8MUW5,75.606971546701857
A8MUX6,46.786097785295915
A8MVY7,30.839738440104458
A8MW61,90.521204561988711
A8MWB4,25.60468667859103
A8MWC4,23.167219514939941
A8MWD3,134.37974165179307
A8MWD6,73.427930512681101
A8MWD9,166.64760150254929
