#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_000964.3	410	1750	+	939978	dnaA	BSU00010	NP_387882.1	446	-	chromosomal replication initiator protein DnaA
chr	NC_000964.3	1939	3075	+	939970	dnaN	BSU00020	NP_387883.1	378	-	DNA polymerase III subunit beta
chr	NC_000964.3	3206	3421	+	939444	yaaA	BSU00030	NP_387884.1	71	-	hypothetical protein BSU00030
chr	NC_000964.3	3437	4549	+	939454	recF	BSU00040	NP_387885.1	370	-	DNA replication and repair protein RecF
chr	NC_000964.3	4567	4812	+	939466	yaaB	BSU00050	NP_387886.2	81	-	hypothetical protein BSU00050
chr	NC_000964.3	4867	6783	+	939456	gyrB	BSU00060	NP_387887.1	638	-	DNA gyrase subunit B
chr	NC_000964.3	6994	9459	+	940002	gyrA	BSU00070	NP_387888.1	821	-	DNA gyrase subunit A
chr	NC_000964.3	14847	15794	-	939969	yaaC	BSU00080	NP_387889.1	315	-	hypothetical protein BSU00080
chr	NC_000964.3	15915	17381	+	938032	guaB	BSU00090	NP_387890.1	488	-	inosine-5\'-monophosphate dehydrogenase
chr	NC_000964.3	17534	18865	+	940000	dacA	BSU00100	NP_387891.1	443	-	D-alanyl-D-alanine carboxypeptidase DacA
chr	NC_000964.3	19062	19946	+	939988	yaaD	BSU00110	NP_387892.1	294	-	pyridoxal biosynthesis lyase PdxS
chr	NC_000964.3	19968	20558	+	939971	yaaE	BSU00120	NP_387893.1	196	-	glutamine amidotransferase subunit PdxT
chr	NC_000964.3	20880	22157	+	939994	serS	BSU00130	NP_387894.1	425	-	serine--tRNA ligase
chr	NC_000964.3	22496	23149	-	936793	dck	BSU00140	NP_387895.1	217	-	deoxyadenosine/deoxycytidine kinase
chr	NC_000964.3	23146	23769	-	937037	dgk	BSU00150	NP_387896.1	207	-	deoxyguanosine kinase
chr	NC_000964.3	23868	25151	-	937029	yaaH	BSU00160	NP_387897.1	427	-	spore germination protein YaaH
chr	NC_000964.3	25221	25766	-	937036	yaaI	BSU00170	NP_387898.1	181	-	isochorismatase
chr	NC_000964.3	25852	26337	+	937989	tadA	BSU00180	NP_387899.1	161	-	tRNA-specific adenosine deaminase
chr	NC_000964.3	26814	28505	+	936899	dnaX	BSU00190	NP_387900.2	563	-	DNA polymerase III subunit gamma/tau
chr	NC_000964.3	28529	28852	+	937027	yaaK	BSU00200	NP_387901.1	107	-	nucleoid-associated protein YaaK
chr	NC_000964.3	28867	29463	+	937197	recR	BSU00210	NP_387902.1	198	-	recombination protein RecR
chr	NC_000964.3	29481	29705	+	937026	yaaL	BSU00220	NP_387903.1	74	-	hypothetical protein BSU00220
chr	NC_000964.3	29772	30035	+	937025	bofA	BSU00230	NP_387904.2	87	-	sigma-K factor-processing regulator BofA
chr	NC_000964.3	35531	35725	+	937016	csfB	BSU00240	NP_387905.1	64	-	sporulation protein CsfB
chr	NC_000964.3	35845	36459	+	937019	xpaC	BSU00250	NP_387906.1	204	-	5-bromo 4-chloroindolyl phosphate hydrolysis protein XpaC
chr	NC_000964.3	36478	37638	+	936551	yaaN	BSU00260	NP_387907.1	386	-	hypothetical protein BSU00260
chr	NC_000964.3	37720	39162	+	937013	yaaO	BSU00270	NP_387908.1	480	-	hypothetical protein BSU00270
chr	NC_000964.3	39159	39797	+	937018	tmk	BSU00280	NP_387909.2	212	-	thymidylate kinase
chr	NC_000964.3	39871	40200	+	938610	yaaQ	BSU00290	NP_387910.1	109	-	hypothetical protein BSU00290
chr	NC_000964.3	40213	40653	+	936756	yaaR	BSU00300	NP_387911.1	146	-	hypothetical protein BSU00300
chr	NC_000964.3	40665	41654	+	935949	holB	BSU00310	NP_387912.1	329	-	DNA polymerase III subunit delta\'
chr	NC_000964.3	41657	42484	+	937012	yaaT	BSU00320	NP_387913.1	275	-	stage 0 sporulation protein YaaT
chr	NC_000964.3	42499	42858	+	937008	yabA	BSU00330	NP_387914.1	119	-	initiation-control protein YabA
chr	NC_000964.3	42917	43660	+	937011	yabB	BSU00340	NP_387915.1	247	-	hypothetical protein BSU00340
chr	NC_000964.3	43647	43946	+	937002	yazA	BSU00350	NP_387916.1	99	-	hypothetical protein BSU00350
chr	NC_000964.3	43921	44799	+	937010	yabC	BSU00360	NP_387917.1	292	-	ribosomal RNA small subunit methyltransferase I
chr	NC_000964.3	44848	45138	-	937009	abrB	BSU00370	NP_387918.1	96	-	transition state regulatory protein AbrB
chr	NC_000964.3	45633	47627	+	936877	metS	BSU00380	NP_387919.1	664	-	methionine--tRNA ligase
chr	NC_000964.3	47706	48473	+	936949	yabD	BSU00390	NP_387920.1	255	-	deoxyribonuclease YabD
chr	NC_000964.3	48629	49942	+	936891	yabE	BSU00400	NP_387921.1	437	-	hypothetical protein BSU00400
chr	NC_000964.3	50087	50647	+	937001	rnmV	BSU00410	NP_387922.1	186	-	ribonuclease M5
chr	NC_000964.3	50640	51518	+	936358	ksgA	BSU00420	NP_387923.1	292	-	ribosomal RNA small subunit methyltransferase A
chr	NC_000964.3	51680	52552	+	937005	yabG	BSU00430	NP_387924.1	290	-	sporulation-specific protease YabG
chr	NC_000964.3	52763	53023	+	936744	veg	BSU00440	NP_387925.1	86	-	protein Veg
chr	NC_000964.3	53183	53368	+	936996	sspF	BSU00450	NP_387926.1	61	-	small acid-soluble spore protein SspF
chr	NC_000964.3	53516	54385	+	936970	ipk	BSU00460	NP_387927.1	289	-	4-diphosphocytidyl-2-c-methyl-d-erythritol kinase
chr	NC_000964.3	54441	55298	+	937000	purR	BSU00470	NP_387928.1	285	-	Pur operon repressor
chr	NC_000964.3	55295	55672	+	936988	yabJ	BSU00480	NP_387929.1	125	-	enamine/imine deaminase
chr	NC_000964.3	55866	56159	+	936959	spoVG	BSU00490	NP_387930.1	97	-	septation protein SpoVG
chr	NC_000964.3	56352	57722	+	936139	glmU	BSU00500	NP_387931.1	456	-	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
chr	NC_000964.3	57745	58698	+	936985	prs	BSU00510	NP_387932.1	317	-	ribose-phosphate pyrophosphokinase
chr	NC_000964.3	58783	59397	+	936984	ctc	BSU00520	NP_387933.1	204	-	general stress protein CTC
chr	NC_000964.3	59504	60070	+	936740	pth	BSU00530	NP_387934.1	188	-	peptidyl-tRNA hydrolase
chr	NC_000964.3	60130	60360	+	936978	yabK	BSU00540	NP_387935.1	76	-	hypothetical protein BSU00540
chr	NC_000964.3	60430	63963	+	936653	mfd	BSU00550	NP_387936.1	1177	-	transcription-repair-coupling factor
chr	NC_000964.3	64099	64635	+	936975	spoVT	BSU00560	NP_387937.1	178	-	stage V sporulation protein T
chr	NC_000964.3	64817	66415	+	936539	yabM	BSU00570	NP_387938.1	532	-	membrane protein
chr	NC_000964.3	66405	67874	+	936973	yabN	BSU00580	NP_387939.1	489	-	hypothetical protein BSU00580
chr	NC_000964.3	67877	68137	+	936800	yabO	BSU00590	NP_387940.1	86	-	hypothetical protein BSU00590
chr	NC_000964.3	68216	68518	+	936966	yabP	BSU00600	NP_387941.1	100	-	spore protein YabP
chr	NC_000964.3	68515	69150	+	936971	yabQ	BSU00610	NP_387942.1	211	-	spore protein YabQ
chr	NC_000964.3	69168	69545	+	936786	divIC	BSU00620	NP_387943.1	125	-	cell division protein DivIC
chr	NC_000964.3	69626	70012	+	936574	yabR	BSU00630	NP_387944.1	128	-	hypothetical protein BSU00630
chr	NC_000964.3	70538	73021	+	938480	spoIIE	BSU00640	NP_387945.1	827	-	stage II sporulation protein E
