gene,length
Q8TBF5,258
Q8TBF4,217
Q5T848,1215
P30613,599
Q5H9L4,462
P20933,346
P20936,1047
Q5STK2,129
B3KT19,724
F2Z2J4,535
P31213,254
Q9H999,370
P23919,212
Q9Y394,375
Q8N3E9,789
Q8NHX9,752
Q8WWE6,803
Q9NXR8,418
Q92914,225
P40616,194
E9PN47,523
Q9C0H6,718
Q00535,292
A5YRV2,1255
Q00537,523
A5YRV0,1255
P51812,740
Q96J66,1382
O00712,570
Q9UBM8,478
Q96J65,1359
O00241,398
O00716,465
Q6FHY1,621
Q8N7S2,189
Q9UBM1,232
Q9UBM7,475
Q6BEB4,398
P51993,365
Q9Y6M9,221
Q13835,747
Q7Z3T1,314
P40424,430
P40425,463
P40426,455
B3KVK0,808
B3KVK3,408
Q7Z3T8,1539
Q13838,487
A6H8Z7,414
P08842,583
B4DFH7,597
P48960,835
P03897,115
A8K563,516
P05386,114
P05387,115
Q06587,406
P05388,317
Q7L266,308
Q9UQ07,419
Q9UQ05,1017
Q9UJ70,390
Q9UJ71,328
Q15165,375
Q15166,354
O15254,700
B0ZTD4,463
B3KNQ8,1226
P41180,1088
Q9P2J3,617
P29401,855
Q6GRK0,503
B8Y636,633
Q9H0S4,455
A8MUE4,226
Q7RTW3,645
P39023,403
Q7RTW5,645
Q53XM5,622
Q53XM9,587
Q6NWU0,500
Q01118,1682
Q9H840,131
A4D2Q3,333
Q96CS4,500
Q9UK13,617
P62807,126
Q9UK11,482
P62805,103
Q6NUN0,579
Q8IY92,1834
Q9P212,2302
P83881,112
Q92830,837
Q92837,279
Q9H3M9,355
P21452,398
P00540,346
Q92839,578
Q92838,391
Q9H3M0,494
P51878,434
Q969K0,474
Q9BVC4,326
Q9BZG1,274
Q2T9G7,706
B4DJY3,436
Q9BZG2,426
B4DJY4,872
Q9NZL9,334
Q9BVC3,393
P01236,430
B0YIW9,179
O43570,354
Q09161,790
Q5HYU8,118
Q5JQ44,183
Q6NX49,715
Q96FV2,425
P53708,1063
P04035,888
P60520,117
P53701,268
Q9Y2K7,1162
Q14563,771
Q14562,1220
Q8WYB5,2073
Q14566,821
Q14565,788
A1L0U9,3685
Q6P1A2,487
Q9NRH2,765
Q9NRH3,451
P58397,1594
Q9UHF0,121
Q8N1K8,870
Q9UHF5,180
P41219,470
P41217,278
Q9UHC6,1331
P41212,452
E5KSU5,246
Q86VY4,417
Q92526,530
Q92521,554
Q92523,772
Q92522,213
Q92529,594
Q9H4P4,317
Q53HV7,270
E9PBP7,501
Q9BYV1,514
Q5T9C9,394
Q02878,288
P27449,155
P27448,753
Q9HAP2,919
Q96HA7,1378
Q96HA1,1249
P31994,310
C9JU95,356
Q96HA9,241
Q6Q788,366
Q8N1A4,1234
O75164,1064
O75165,2243
Q8NH37,302
Q9H211,546
Q13304,367
Q09470,495
P06865,529
Q96G26,593
Q9BWU1,502
Q13232,169
Q01415,458
Q13231,466
B4DRY4,237
Q53T23,267
P30872,391
Q00534,326
A8MV39,276
P10914,325
Q15760,415
P10916,166
Q6UW02,470
P10912,638
Q15768,340
A8MV37,322
P23743,735
Q9H5I1,410
B2RMW6,260
Q9H596,190
Q00532,357
B4DPS8,720
Q02297,645
C9J767,424
B7Z492,454
P48146,333
B7Z490,686
Q99519,415
Q99518,558
Q9BQG0,1328
Q96RU7,358
Q96RU2,1077
Q9NYU1,1516
Q9NYU2,1555
Q96RU8,372
Q96DR7,871
Q96L58,329
Q53Y00,652
Q8NH09,359
P50391,375
Q9Y5A6,473
E9PBI7,1732
Q8NDW4,579
B7Z723,408
B4DSU1,853
E9PCX6,561
Q96H20,258
Q9NS40,1196
B0YJA4,165
P0C0S5,128
Q02127,395
B4DI52,436
P21217,361
Q8NH03,318
Q99956,384
A6NH00,312
Q96N66,472
A8K7S5,491
Q8NH01,316
B4DQS5,498
Q8NH00,348
Q9UKS7,526
P52657,109
Q96CN2,580
A4D2L1,148
Q49A17,601
Q96N76,747
Q03188,943
Q5RKV6,272
B7Z2C9,491
Q03181,441
