id,length
P30613,574
Q5MIZ7,849
P23919,212
Q8NHX4,192
Q8NHX9,752
Q9NXR8,418
Q9C0H2,523
Q9C0H5,1083
Q9C0H6,718
Q9C0H9,1055
Q9NXR1,346
Q07960,439
Q9NXR5,420
Q9NXR7,383
Q96J66,1382
Q96J65,1359
Q96J61,400
Q5H9L2,206
P40424,430
P40425,430
P40426,434
P40429,203
Q9H2I8,198
P08842,583
P03891,347
Q5VUR7,823
Q5VUR0,1043
P03897,115
P02768,609
P05386,114
P05387,115
P02760,352
P02763,201
P02765,367
P02766,147
P39023,403
H0YL14,139
Q8N7S6,290
Q69384,699
Q9P219,2028
Q9P218,1284
Q9P215,609
Q9P217,1185
Q9P212,2302
Q9H3M9,355
Q9H3M7,391
Q9H3M0,494
Q5VVP1,1343
Q9H3M2,1477
Q9BZG1,259
Q69BM2,509
Q9BZG9,131
Q9BZG8,443
P01236,227
P01233,165
Q8N865,590
A6NCC3,632
Q6NX49,715
P09001,348
P53708,1063
P04035,888
P53701,268
Q9H963,129
Q14568,343
Q9H967,626
Q14563,771
Q14562,1220
Q14566,821
Q14565,340
Q9NRH1,226
Q9NRH2,765
Q9NRH3,451
A6NIR3,686
Q6ZMG9,384
Q92527,254
Q92526,530
Q92521,554
Q92520,227
Q92523,772
Q92522,213
Q92529,594
Q86VY9,491
Q02878,288
Q96HA4,380
Q96HA7,1378
Q96HA1,1249
Q96HA9,241
Q96HA8,205
P19075,237
Q15762,336
Q15760,415
Q15761,445
Q6UW02,462
Q6UW01,205
Q15768,340
O95528,541
Q8WUF8,416
Q96BT1,292
Q8WUF5,828
Q96BT3,561
O95522,483
Q96BT7,664
Q02297,640
Q99519,415
Q99518,471
Q02298,640
Q4VC31,144
Q96RU3,617
Q96RU2,1077
Q4VC39,106
Q96RU8,372
Q9Y5A7,615
Q9Y5A6,473
Q13643,280
Q13642,323
Q13641,420
Q9Y5A9,579
Q9NS40,1196
Q02127,395
A6NH00,312
Q96CN9,775
Q6ZRV3,163
Q6ZRV2,1179
Q96CN7,298
Q96CN5,670
Q96CN4,794
P10645,457
P10644,381
P48556,350
P10646,304
P48551,515
P10643,843
P48553,1259
Q5T6X4,162
Q5T6X5,926
Q14CS0,331
A8MZ59,168
Q03989,594
Q9BR01,284
P16520,340
Q8NCJ5,442
Q9Y296,219
Q9Y297,605
Q9Y294,204
Q9Y295,367
Q9BR09,285
Q6ICB4,259
Q6ICB0,168
Q5JTN6,314
P35070,178
Q5T7V8,394
O75420,1035
O75425,235
O75427,683
O75426,580
F8W712,500
Q8NBH2,561
E7ESE7,890
P20138,364
O00507,2555
O00505,521
O00501,218
P20132,328
Q8N9C0,903
Q01581,520
P05388,317
Q8IYD2,350
Q8IYD1,628
O75398,565
Q6IPW1,123
Q9H8I9,1322
O75390,466
O75396,215
O75394,65
Q8IVD9,361
Q8IVD2,809
Q8N328,593
Q8N326,155
Q8N323,547
Q66K89,784
Q66K80,236
Q9BSD7,190
Q9BSD3,238
P68543,259
P62633,177
Q9UI09,145
Q9UI06,370
P24903,491
Q9HCQ5,603
Q9HCQ6,1118
A2RUS2,1198
Q9HCQ8,543
Q14002,265
Q14003,757
Q14004,1512
Q14005,1332
Q9H3P9,875
Q14008,2032
Q5VVM6,783
A5PLK6,1076
Q9H3P2,528
Q9BUV8,137
Q107X0,134
Q9NUT2,735
Q9BUV0,290
P49407,418
P49406,292
P0DL12,118
Q8IZJ3,1885
Q8IZJ0,200
Q8IZJ1,945
Q8IZJ6,230
Q8IZJ4,473
P56937,341
Q29673,266
P37088,669
Q00975,2339
Q7Z719,215
Q00973,533
Q7Z717,610
Q00978,393
Q7Z713,158
P22888,699
P61550,626
P62277,151
Q6TDP4,642
Q6ZS52,159
Q9NV23,265
Q9GJ06,383
Q69383,105
Q9NV29,134
Q2M238,152
Q9UQ26,1411
Q86UA6,219
Q86UA1,669
Q6ZVH7,1005
Q6ZVH6,145
D6RCP7,530
Q14155,803
Q7RTU9,1775
Q7RTU3,272
Q7RTU1,214
Q7RTU0,167
Q7RTU7,201
Q7RTU5,278
Q7RTU4,235
Q96CU9,486
Q5K4E3,855
P0C7I6,412
Q969I3,302
Q969I5,840
Q969I6,547
P0C7I0,530
O43913,435
O43914,113
Q9Y6G9,523
O43916,411
O43918,545
Q9Y6G5,202
Q9Y6G1,99
Q9Y6G3,142
Q9UKX5,1188
Q5HYW2,709
Q9UKX7,468
Q9UKX2,1941
Q9UKX3,1938
Q6PHW0,289
Q86TE4,346
P45984,424
Q6ZUF6,198
Q9BZG2,426
P45983,427
Q9H184,825
Q7Z5G4,137
Q6IS24,598
P08195,630
P23378,1020
P27469,103
Q5W0Z9,365
P54219,525
Q9UEF7,1012
Q9H239,520
Q9H237,461
Q9H232,1755
Q8NEQ5,155
Q8NEQ6,169
Q2NKQ1,1148
Q8N9X3,169
Q8N9X1,494
Q8N9X5,138
Q6VVB1,395
P41091,472
Q9UJT9,491
Q9UJT1,453
Q9UJT0,475
Q9UJT2,592
Q9UJT5,501
Q9UJT7,691
Q6NX45,483
Q9H6L4,198
Q9H6L5,497
Q9H6L2,316
Q9H6L3,1705
Q9H6L1,839
Q9HC47,74
Q9HC46,464
Q9HC44,474
Q8N5Y2,521
Q8N5Y8,322
A8MVJ9,347
Q9BU99,562
Q96N53,147
Q96N57,1495
Q96N58,590
Q5T215,181
Q9H7J1,279
O60830,172
O60831,178
O60832,514
A8MWX3,477
Q9UHF0,121
Q7LDG7,609
Q7M4S5,5762
Q9UHF5,180
Q9NVW2,624
Q9NVW7,558
P41219,470
P17900,193
Q765I0,119
Q2M3I5,1257
Q13029,1718
Q9BXL8,241
Q13023,2319
Q9BXL7,1154
Q13021,153
Q9BXL5,484
Q9BXL1,678
Q8N1K5,641
Q86VY4,417
P43003,542
P43007,532
P43005,524
P43004,574
Q9NPI9,418
Q9NPI8,374
Q9NPI5,230
Q9NPI7,259
Q9NPI6,582
Q9NPI1,651
Q5RI15,118
P04179,222
Q05397,1052
Q14249,297
Q14246,886
Q14247,550
Q14244,749
Q14242,412
Q5VTQ0,682
Q14240,407
Q14241,798
Q7RTN6,431
P46695,156
Q96LT9,517
Q96LT6,269
Q96LT7,481
Q96LT4,415
O94955,611
O94956,709
Q4G0P3,5121
O94952,628
O94953,1096
Q14790,479
P16298,524
P43681,627
Q16790,459
Q16794,1914
Q16795,377
A6NLE4,156
Q16799,776
P62280,158
Q96FK6,387
Q9H8W3,233
Q6MZN7,132
Q75T13,922
Q96MR7,158
Q96MR6,1250
Q96MR9,790
Q7Z2V1,217
P11413,515
Q9UFW3,1504
Q16134,617
A6NJW4,275
Q16131,660
D6R9N7,530
A6NJW9,211
Q15532,418
Q96GK7,314
Q2M3D2,409
Q13568,498
Q13569,410
O95777,96
Q13564,534
Q8WWA0,313
O95772,234
I3L3R5,266
Q13561,401
Q9BY07,1137
Q9BY06,852
Q8NE65,137
Q9BY08,206
Q8NE62,594
Q8NE63,616
P34972,360
Q7Z3X1,758
O00203,1094
O00204,365
O00206,839
Q96AQ8,359
Q96AQ9,280
Q6ZTM0,1684
Q96AQ1,378
Q96AQ2,219
Q96AQ6,731
Q96AQ7,238
Q08708,224
P21145,153
P24310,79
P24311,80
Q00577,322
Q9UID3,782
Q9UID6,485
Q01628,133
Q01629,132
Q68CL5,300
D6RB28,536
P43116,358
Q6ZW61,710
A1E959,279
O60739,113
Q9GZM8,345
Q9GZM9,441
Q9GZM5,350
Q9GZM6,311
Q9GZM7,467
Q9GZM1,352
Q9GZM3,115
P35606,906
P35609,894
Q6P1M9,558
A2CJ06,578
Q6P1M0,643
Q6P1M3,1020
P11908,318
Q8TDB4,240
P57086,179
P57087,298
P57082,545
P57081,412
Q5TG53,156
P57088,247
Q495W5,492
Q8WU76,684
Q8WU79,429
Q8TED9,768
Q8TED0,518
Q8TED1,209
Q8TED4,501
A5PLN7,773
O43598,174
O43597,315
O43592,962
O43593,1189
P40121,348
P40123,477
P40126,519
Q86X51,503
Q86X52,802
Q86X53,443
Q9BQC6,102
Q86X55,608
Q86X59,251
Q9NYI0,1048
Q6IEY1,312
Q9UH17,382
P40692,756
P33778,126
P21964,271
Q8IUI4,249
O95521,474
Q6P988,496
Q9NZI2,227
Q9NZI7,540
Q9NZI6,479
Q9NZI5,618
Q9NZI8,577
Q96L11,122
Q96L12,384
Q96L15,291
Q96L14,293
Q96L16,210
D3W0D1,207
Q9HBR0,1119
Q9HBR9,506
O15417,2968
Q96RU7,358
Q4ZFZ2,695
P34925,604
Q9NTW7,645
Q9NTW4,558
Q9UD33,211
Q5BIV9,151
Q9BTU6,479
Q9Y2P8,373
Q9Y2P0,537
O60583,730
Q9Y2P5,690
Q9Y2P4,619
Q9Y2P7,627
P18848,351
A4D0V7,1026
P18846,271
A6NJJ6,358
P01040,98
Q63HQ2,1017
O00591,440
Q96S21,281
O00590,384
Q96S90,227
Q15053,153
P09693,182
Q9Y4J8,743
O15105,426
Q9P1Z6,592
Q9P1Z3,774
Q9P1Z2,691
Q9P1Z0,1013
Q9P1Z9,1646
Q8IY57,180
Q8IY50,421
Q8IY51,512
Q92777,582
Q92771,950
Q92772,493
P42229,794
Q99788,373
Q99784,485
P42224,750
Q99781,433
P42226,847
Q6NT32,575
Q96JH8,1075
Q96JH7,1222
P0C5Z0,115
P19404,249
P02808,62
Q9UIY4,572
Q9UIY3,292
Q68CQ7,371
A2PYH4,1435
Q68CQ4,756
A6NN90,581
A6NN92,205
Q8N6R0,699
Q6ZWK6,438
Q6ZWK4,172
Q86YL7,162
Q86YL5,185
Q86YL0,354
O14972,297
O14976,1311
O14977,448
O14974,1030
O14975,620
O14978,683
O14979,420
Q5TID7,509
Q9GZP9,239
Q9GZP8,106
Q9GZP7,353
